"EMILIA-ROMAGNA",""
"Piacenza","212"
"Parma","61"
"Modena","29"
"Rimini","19"
"Reggio Emilia","8"
"Bologna","3"
"Ravenna","2"
"Forlì Cesena","1"
"Ferrara","0"
"Totale","335"
