date,notifications
2020-10-01 00:00:00,5236
2020-10-02 00:00:00,5506
2020-10-03 00:00:00,5725
2020-10-04 00:00:00,5831
2020-10-05 00:00:00,6122
2020-10-06 00:00:00,6489
2020-10-07 00:00:00,7090
2020-10-08 00:00:00,7644
2020-10-09 00:00:00,8094
2020-10-10 00:00:00,8638
2020-10-11 00:00:00,9078
2020-10-12 00:00:00,9730
2020-10-13 00:00:00,10397
2020-10-14 00:00:00,11433
2020-10-15 00:00:00,12737
2020-10-16 00:00:00,14460
2020-10-17 00:00:00,15857
2020-10-18 00:00:00,16860
2020-10-19 00:00:00,17900
