sentNotifications,positiveUsers,containedOutbreaks,date,latestdate
5329,338,10,2020-10-03,
5870,357,10,2020-10-05,
6718,378,,2020-10-07,
7361,419,,2020-10-09,
7884,445,,2020-10-10,
8300,477,,2020-10-11,
8887,499,,2020-10-12,
10060,567,,2020-10-13,
17466,899,,2020-10-19,
17900,902,,2020-10-20,
,999,,2020-10-21,2020-10-20
