data,codice_regione,denominazione_regione,mese,terapia_intensiva_mm,ingressi_terapia_intensiva_mm
2021-01-04T17:00:00,5,Veneto,1,369.25,18.75
2021-01-05T17:00:00,13,Abruzzo,1,38.8,2.6
2021-01-05T17:00:00,17,Basilicata,1,3.8,0.4
2021-01-05T17:00:00,18,Calabria,1,18.8,2.2
2021-01-05T17:00:00,15,Campania,1,98.8,10.6
2021-01-05T17:00:00,8,Emilia-Romagna,1,232.2,14.6
2021-01-05T17:00:00,6,Friuli Venezia Giulia,1,61.8,6.2
2021-01-05T17:00:00,12,Lazio,1,311.0,13.8
2021-01-05T17:00:00,7,Liguria,1,69.6,4.4
2021-01-05T17:00:00,3,Lombardia,1,485.2,20.8
2021-01-05T17:00:00,11,Marche,1,64.6,4.8
2021-01-05T17:00:00,14,Molise,1,9.6,0.4
2021-01-05T17:00:00,21,P.A. Bolzano,1,25.4,1.0
2021-01-05T17:00:00,22,P.A. Trento,1,42.4,2.6
2021-01-05T17:00:00,1,Piemonte,1,184.8,7.2
2021-01-05T17:00:00,16,Puglia,1,140.2,13.4
2021-01-05T17:00:00,20,Sardegna,1,42.8,2.8
2021-01-05T17:00:00,19,Sicilia,1,184.4,14.4
2021-01-05T17:00:00,9,Toscana,1,141.8,7.6
2021-01-05T17:00:00,10,Umbria,1,45.6,2.6
2021-01-05T17:00:00,2,Valle d'Aosta,1,1.4,0.4
2021-01-05T17:00:00,5,Veneto,1,367.6,21.4
2021-01-06T17:00:00,13,Abruzzo,1,38.833333333333336,2.8333333333333335
2021-01-06T17:00:00,17,Basilicata,1,3.8333333333333335,0.5
2021-01-06T17:00:00,18,Calabria,1,19.0,2.1666666666666665
2021-01-06T17:00:00,15,Campania,1,98.83333333333333,10.333333333333334
2021-01-06T17:00:00,8,Emilia-Romagna,1,232.83333333333334,14.833333333333334
2021-01-06T17:00:00,6,Friuli Venezia Giulia,1,61.833333333333336,6.333333333333333
2021-01-06T17:00:00,12,Lazio,1,310.1666666666667,14.0
2021-01-06T17:00:00,7,Liguria,1,68.83333333333333,3.6666666666666665
2021-01-06T17:00:00,3,Lombardia,1,482.8333333333333,20.333333333333332
2021-01-06T17:00:00,11,Marche,1,65.0,5.166666666666667
2021-01-06T17:00:00,14,Molise,1,9.5,0.5
2021-01-06T17:00:00,21,P.A. Bolzano,1,25.666666666666668,1.0
2021-01-06T17:00:00,22,P.A. Trento,1,42.833333333333336,2.8333333333333335
2021-01-06T17:00:00,1,Piemonte,1,186.0,9.333333333333334
2021-01-06T17:00:00,16,Puglia,1,142.33333333333334,12.833333333333334
2021-01-06T17:00:00,20,Sardegna,1,43.5,2.8333333333333335
2021-01-06T17:00:00,19,Sicilia,1,186.0,14.833333333333334
2021-01-06T17:00:00,9,Toscana,1,142.5,8.333333333333334
2021-01-06T17:00:00,10,Umbria,1,45.5,3.0
2021-01-06T17:00:00,2,Valle d'Aosta,1,1.3333333333333333,0.3333333333333333
2021-01-06T17:00:00,5,Veneto,1,363.5,23.0
2021-01-07T17:00:00,13,Abruzzo,1,38.42857142857143,2.5714285714285716
2021-01-07T17:00:00,17,Basilicata,1,3.857142857142857,0.42857142857142855
2021-01-07T17:00:00,18,Calabria,1,19.285714285714285,2.142857142857143
2021-01-07T17:00:00,15,Campania,1,98.42857142857143,9.714285714285714
2021-01-07T17:00:00,8,Emilia-Romagna,1,233.85714285714286,14.714285714285714
2021-01-07T17:00:00,6,Friuli Venezia Giulia,1,62.142857142857146,6.285714285714286
2021-01-07T17:00:00,12,Lazio,1,310.14285714285717,14.571428571428571
2021-01-07T17:00:00,7,Liguria,1,67.85714285714286,3.2857142857142856
2021-01-07T17:00:00,3,Lombardia,1,481.42857142857144,21.0
2021-01-07T17:00:00,11,Marche,1,65.57142857142857,5.285714285714286
2021-01-07T17:00:00,14,Molise,1,9.285714285714286,0.5714285714285714
2021-01-07T17:00:00,21,P.A. Bolzano,1,25.571428571428573,0.8571428571428571
2021-01-07T17:00:00,22,P.A. Trento,1,43.42857142857143,2.857142857142857
