datasetIniISO,ITF6,ITF3,ITI4,ITC4,ITF2,ITC1,ITH2,ITF4,ITG2,ITG1,ITC2,ITH3,ITF1,ITF5,ITC3,ITH1,ITI1,ITI2,ITH5,ITH4,ITI3
2020-11-06,rossa,gialla,gialla,rossa,gialla,rossa,gialla,arancione,gialla,arancione,rossa,gialla,,,,,,,,,
2020-11-10,rossa,gialla,gialla,rossa,gialla,rossa,gialla,arancione,gialla,arancione,rossa,gialla,arancione,arancione,arancione,rossa,arancione,arancione,,,
2020-11-15,rossa,rossa,gialla,rossa,gialla,rossa,gialla,arancione,gialla,arancione,rossa,gialla,arancione,arancione,arancione,rossa,rossa,arancione,arancione,arancione,arancione
2020-11-20,rossa,rossa,gialla,rossa,gialla,rossa,gialla,arancione,gialla,arancione,rossa,gialla,arancione,arancione,arancione,rossa,rossa,arancione,arancione,arancione,arancione
2020-11-22,rossa,rossa,gialla,rossa,gialla,rossa,gialla,arancione,gialla,arancione,rossa,gialla,rossa,arancione,arancione,rossa,rossa,arancione,arancione,arancione,arancione
2020-11-24,rossa,rossa,gialla,rossa,gialla,rossa,gialla,arancione,gialla,arancione,rossa,gialla,rossa,arancione,arancione,rossa,rossa,arancione,arancione,arancione,arancione
2020-11-29,arancione,rossa,gialla,arancione,gialla,arancione,gialla,arancione,gialla,gialla,rossa,gialla,rossa,arancione,gialla,rossa,rossa,arancione,arancione,arancione,arancione
2020-12-06,arancione,arancione,gialla,arancione,gialla,arancione,gialla,gialla,gialla,gialla,arancione,gialla,rossa,arancione,gialla,arancione,arancione,gialla,gialla,gialla,gialla
2020-12-13,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,arancione,gialla,arancione,gialla,gialla,arancione,arancione,gialla,gialla,gialla,gialla
2020-12-24,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
