datasetIniISO,NUTS_code,zona
2020-11-06,ITF6,rossa
2020-11-06,ITF3,gialla
2020-11-06,ITI4,gialla
2020-11-06,ITC4,rossa
2020-11-06,ITF2,gialla
2020-11-06,ITC1,rossa
2020-11-06,ITH2,gialla
2020-11-06,ITF4,arancione
2020-11-06,ITG2,gialla
2020-11-06,ITG1,arancione
2020-11-06,ITC2,rossa
2020-11-06,ITH3,gialla
2020-11-10,ITF1,arancione
2020-11-10,ITF5,arancione
2020-11-10,ITC3,arancione
2020-11-10,ITH1,rossa
2020-11-10,ITI1,arancione
2020-11-10,ITI2,arancione
2020-11-15,ITF3,rossa
2020-11-15,ITI1,rossa
2020-11-15,ITH5,arancione
2020-11-15,ITH4,arancione
2020-11-15,ITI3,arancione
2020-11-20,ITF6,rossa
2020-11-20,ITC4,rossa
2020-11-20,ITC1,rossa
2020-11-20,ITF4,arancione
2020-11-20,ITG1,arancione
2020-11-20,ITC2,rossa
2020-11-22,ITF1,rossa
2020-11-24,ITF5,arancione
2020-11-24,ITC3,arancione
2020-11-24,ITH1,rossa
2020-11-24,ITI2,arancione
2020-11-29,ITF6,arancione
2020-11-29,ITC4,arancione
2020-11-29,ITC1,arancione
2020-11-29,ITG1,gialla
2020-11-29,ITC3,gialla
2020-12-06,ITF6,arancione
2020-12-06,ITF3,arancione
2020-12-06,ITC4,arancione
2020-12-06,ITC1,arancione
2020-12-06,ITF4,gialla
2020-12-06,ITC2,arancione
2020-12-06,ITF1,rossa
2020-12-06,ITF5,arancione
2020-12-06,ITH1,arancione
2020-12-06,ITI1,arancione
2020-12-06,ITI2,gialla
2020-12-06,ITH5,gialla
2020-12-06,ITH4,gialla
2020-12-06,ITI3,gialla
2020-12-13,ITF6,gialla
2020-12-13,ITC4,gialla
2020-12-13,ITC1,gialla
2020-12-13,ITF1,arancione
2020-12-13,ITF5,gialla
2020-12-24,ITF6,rossa
2020-12-24,ITF3,rossa
2020-12-24,ITI4,rossa
2020-12-24,ITC4,rossa
2020-12-24,ITF2,rossa
2020-12-24,ITC1,rossa
2020-12-24,ITH2,rossa
2020-12-24,ITF4,rossa
2020-12-24,ITG2,rossa
2020-12-24,ITG1,rossa
2020-12-24,ITC2,rossa
2020-12-24,ITH3,rossa
2020-12-24,ITF1,rossa
2020-12-24,ITF5,rossa
2020-12-24,ITC3,rossa
2020-12-24,ITH1,rossa
2020-12-24,ITI1,rossa
2020-12-24,ITI2,rossa
2020-12-24,ITH5,rossa
2020-12-24,ITH4,rossa
2020-12-24,ITI3,rossa
2020-12-28,ITF6,arancione
2020-12-28,ITF3,arancione
2020-12-28,ITI4,arancione
2020-12-28,ITC4,arancione
2020-12-28,ITF2,arancione
2020-12-28,ITC1,arancione
2020-12-28,ITH2,arancione
2020-12-28,ITF4,arancione
2020-12-28,ITG2,arancione
2020-12-28,ITG1,arancione
2020-12-28,ITC2,arancione
2020-12-28,ITH3,arancione
