datasetIniISO,ITF6,ITF3,ITI4,ITC4,ITF2,ITC1,ITH2,ITF4,ITG2,ITG1,ITC2,ITH3,ITF1,ITF5,ITC3,ITH1,ITI1,ITI2,ITH5,ITH4,ITI3,IT
2020-11-06,rossa,gialla,gialla,rossa,gialla,rossa,gialla,arancione,gialla,arancione,rossa,gialla,,,,,,,,,,
2020-11-10,,,,,,,,,,,,,arancione,arancione,arancione,rossa,arancione,arancione,,,,
2020-11-15,,rossa,,,,,,,,,,,,,,,rossa,,arancione,arancione,arancione,
2020-11-20,rossa,,,rossa,,rossa,,arancione,,arancione,rossa,,,,,,,,,,,
2020-11-22,,,,,,,,,,,,,rossa,,,,,,,,,
2020-11-24,,,,,,,,,,,,,,arancione,arancione,rossa,,arancione,,,,
2020-11-29,arancione,,,arancione,,arancione,,,,gialla,,,,,gialla,,,,,,,
2020-12-06,arancione,arancione,,arancione,,arancione,,gialla,,,arancione,,rossa,arancione,,arancione,arancione,gialla,gialla,gialla,gialla,
2020-12-13,gialla,,,gialla,,gialla,,,,,,,arancione,gialla,,,,,,,,
2020-12-24,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
2020-12-28,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2020-12-31,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
2021-01-04,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2021-01-05,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
2021-01-07,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla,gialla
2021-01-09,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione,arancione
2021-01-10,arancione,gialla,gialla,arancione,gialla,gialla,gialla,gialla,gialla,arancione,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,arancione,gialla,gialla,
2021-01-16,arancione,gialla,,,gialla,,gialla,,gialla,,,arancione,,gialla,,,gialla,,arancione,,,
2021-01-17,,,arancione,rossa,,arancione,,arancione,,rossa,arancione,,arancione,,arancione,rossa,,arancione,,arancione,arancione,
2021-01-24,arancione,,,arancione,,,,,arancione,,,arancione,,,,,,,arancione,,,
2021-02-01,,,gialla,,,gialla,,arancione,,arancione,gialla,,gialla,,gialla,arancione,,arancione,,gialla,gialla,
2021-02-11,,,,,,,,gialla,,,,,,,,,,,,,,
2021-02-14,,,,,,,arancione,,,,,,arancione,,arancione,,arancione,,,,,
2021-02-15,,,,,,,,,,,,,,,,arancione,,arancione,,,,
2021-02-21,,arancione,,,arancione,,,,,,,,,,,,,,arancione,,,
2021-03-01,,,,arancione,rossa,arancione,arancione,,bianca,,,,arancione,rossa,,arancione,arancione,arancione,,,arancione,
2021-03-08,,rossa,,,,,,,,,,arancione,,,,,,,arancione,arancione,,
2021-03-15,arancione,,rossa,rossa,rossa,rossa,rossa,rossa,,arancione,arancione,rossa,,,arancione,,,,rossa,rossa,rossa,
2021-03-22,,rossa,,,arancione,,,,arancione,,,,,,,,,,,,,
2021-03-29,rossa,,,,,,,,,,rossa,,,,,,rossa,,,,,
2021-03-30,,,,rossa,,rossa,rossa,rossa,,,,rossa,,,,,,,rossa,rossa,rossa,
2021-04-03,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa,rossa
2021-04-06,rossa,rossa,arancione,rossa,arancione,rossa,,rossa,arancione,arancione,rossa,,arancione,arancione,arancione,arancione,rossa,arancione,rossa,rossa,arancione,
2021-04-07,,,arancione,,arancione,,arancione,,arancione,arancione,,arancione,arancione,arancione,arancione,arancione,,arancione,,,,
2021-04-12,arancione,,,arancione,,arancione,,,rossa,,,,,,,,arancione,,arancione,arancione,,
2021-04-19,,arancione,,,,,,rossa,,,rossa,,,,,,,,,,,
2021-04-26,arancione,gialla,gialla,gialla,gialla,gialla,gialla,arancione,rossa,arancione,arancione,gialla,gialla,arancione,gialla,gialla,gialla,gialla,gialla,gialla,gialla,
2021-05-03,,,,,,,,,arancione,,rossa,,,,,,,,,,,
2021-05-10,gialla,,,,,,,gialla,,arancione,arancione,,,gialla,,,,,,,,
2021-05-17,,,,,,,,,gialla,gialla,,,,,,,,,,,,
2021-05-24,,,,,,,,,,,gialla,,,,,,,,,,,
2021-05-31,,,,,bianca,,,,bianca,,,,,,,,,,,bianca,,
2021-06-07,,,,,,,,,,,,bianca,bianca,,bianca,,,bianca,,,,
2021-06-14,,,bianca,bianca,,bianca,bianca,bianca,,,,,,,,,,,bianca,,,
2021-06-21,bianca,bianca,,,,,,,,bianca,,,,bianca,,bianca,bianca,,,,bianca,
2021-06-28,,,,,,,,,,,bianca,,,,,,,,,,,
