COD_RIP,COD_REG,COD_PROV,COD_CM,COD_UTS,PRO_COM,PRO_COM_T,codINT,ALLEGATO
1,1,1,201,201,1235,001235,2040831540,2
1,1,5,0,5,5014,005014,2040830330,2
1,2,7,0,7,7001,007001,1020040010,2
1,2,7,0,7,7003,007003,1020040030,2
1,2,7,0,7,7004,007004,1020040040,2
1,2,7,0,7,7005,007005,1020040050,2
1,2,7,0,7,7006,007006,1020040060,2
1,2,7,0,7,7007,007007,1020040070,2
1,2,7,0,7,7008,007008,1020040080,2
1,2,7,0,7,7009,007009,1020040090,2
1,2,7,0,7,7010,007010,1020040100,2
1,2,7,0,7,7011,007011,1020040110,2
1,2,7,0,7,7012,007012,1020040120,2
1,2,7,0,7,7013,007013,1020040130,2
1,2,7,0,7,7014,007014,1020040140,2
1,2,7,0,7,7015,007015,1020040150,2
1,2,7,0,7,7016,007016,1020040160,2
1,2,7,0,7,7017,007017,1020040170,2
1,2,7,0,7,7018,007018,1020040180,2
1,2,7,0,7,7019,007019,1020040190,2
1,2,7,0,7,7021,007021,1020040210,2
1,2,7,0,7,7022,007022,1020040220,2
1,2,7,0,7,7023,007023,1020040230,2
1,2,7,0,7,7024,007024,1020040240,2
1,2,7,0,7,7025,007025,1020040250,2
1,2,7,0,7,7026,007026,1020040260,2
1,2,7,0,7,7027,007027,1020040270,2
1,2,7,0,7,7028,007028,1020040280,2
1,2,7,0,7,7029,007029,1020040281,2
1,2,7,0,7,7030,007030,1020040290,2
1,2,7,0,7,7031,007031,1020040300,2
1,2,7,0,7,7033,007033,1020040320,2
1,2,7,0,7,7035,007035,1020040340,2
1,2,7,0,7,7036,007036,1020040350,2
1,2,7,0,7,7037,007037,1020040360,2
1,2,7,0,7,7039,007039,1020040380,2
1,2,7,0,7,7040,007040,1020040390,2
1,2,7,0,7,7041,007041,1020040400,2
1,2,7,0,7,7042,007042,1020040410,2
1,2,7,0,7,7043,007043,1020040420,2
1,2,7,0,7,7044,007044,1020040430,2
1,2,7,0,7,7045,007045,1020040440,2
1,2,7,0,7,7046,007046,1020040450,2
1,2,7,0,7,7047,007047,1020040460,2
1,2,7,0,7,7048,007048,1020040470,2
1,2,7,0,7,7049,007049,1020040480,2
1,2,7,0,7,7050,007050,1020040490,2
1,2,7,0,7,7051,007051,1020040500,2
1,2,7,0,7,7052,007052,1020040510,2
1,2,7,0,7,7054,007054,1020040530,2
1,2,7,0,7,7057,007057,1020040560,2
1,2,7,0,7,7058,007058,1020040570,2
1,2,7,0,7,7059,007059,1020040580,2
1,2,7,0,7,7060,007060,1020040590,2
1,2,7,0,7,7061,007061,1020040600,2
1,2,7,0,7,7062,007062,1020040610,2
1,2,7,0,7,7063,007063,1020040620,2
1,2,7,0,7,7064,007064,1020040630,2
1,2,7,0,7,7065,007065,1020040640,2
1,2,7,0,7,7066,007066,1020040650,2
1,2,7,0,7,7067,007067,1020040660,2
1,2,7,0,7,7068,007068,1020040670,2
1,2,7,0,7,7069,007069,1020040680,2
1,2,7,0,7,7070,007070,1020040690,2
1,2,7,0,7,7071,007071,1020040700,2
1,2,7,0,7,7072,007072,1020040710,2
1,2,7,0,7,7073,007073,1020040720,2
1,2,7,0,7,7074,007074,1020040730,2
1,3,13,0,13,13130,013130,2040830990,2
2,4,21,0,21,21001,021001,2040140002,2
2,4,21,0,21,21002,021002,2040140001,2
2,4,21,0,21,21003,021003,2040140010,2
2,4,21,0,21,21004,021004,2040140020,2
2,4,21,0,21,21005,021005,2040140021,2
2,4,21,0,21,21006,021006,2040140030,2
2,4,21,0,21,21007,021007,2040140040,2
2,4,21,0,21,21008,021008,2040140050,2
2,4,21,0,21,21009,021009,2040140060,2
2,4,21,0,21,21010,021010,2040140070,2
2,4,21,0,21,21011,021011,2040140080,2
2,4,21,0,21,21012,021012,2040140090,2
2,4,21,0,21,21013,021013,2040140100,2
2,4,21,0,21,21014,021014,2040140110,2
2,4,21,0,21,21015,021015,2040140120,2
2,4,21,0,21,21016,021016,2040140130,2
2,4,21,0,21,21017,021017,2040140140,2
2,4,21,0,21,21018,021018,2040140150,2
2,4,21,0,21,21019,021019,2040140160,2
2,4,21,0,21,21020,021020,2040140170,2
2,4,21,0,21,21021,021021,2040140180,2
2,4,21,0,21,21022,021022,2040140190,2
2,4,21,0,21,21023,021023,2040140200,2
2,4,21,0,21,21024,021024,2040140210,2
2,4,21,0,21,21025,021025,2040140220,2
2,4,21,0,21,21026,021026,2040140230,2
2,4,21,0,21,21027,021027,2040140240,2
2,4,21,0,21,21028,021028,2040140250,2
2,4,21,0,21,21029,021029,2040140260,2
2,4,21,0,21,21030,021030,2040140270,2
2,4,21,0,21,21031,021031,2040140280,2
2,4,21,0,21,21032,021032,2040140290,2
2,4,21,0,21,21033,021033,2040140300,2
2,4,21,0,21,21034,021034,2040140310,2
2,4,21,0,21,21035,021035,2040140320,2
2,4,21,0,21,21036,021036,2040140330,2
2,4,21,0,21,21037,021037,2040140340,2
2,4,21,0,21,21038,021038,2040140350,2
2,4,21,0,21,21039,021039,2040140360,2
2,4,21,0,21,21040,021040,2040140370,2
2,4,21,0,21,21041,021041,2040140380,2
2,4,21,0,21,21042,021042,2040140390,2
2,4,21,0,21,21043,021043,2040140400,2
2,4,21,0,21,21044,021044,2040140410,2
2,4,21,0,21,21045,021045,2040140420,2
2,4,21,0,21,21046,021046,2040140430,2
2,4,21,0,21,21047,021047,2040140440,2
2,4,21,0,21,21048,021048,2040140450,2
2,4,21,0,21,21049,021049,2040140460,2
2,4,21,0,21,21050,021050,2040140470,2
2,4,21,0,21,21051,021051,2040140480,2
2,4,21,0,21,21052,021052,2040140490,2
2,4,21,0,21,21053,021053,2040140500,2
2,4,21,0,21,21054,021054,2040140510,2
2,4,21,0,21,21055,021055,2040140520,2
2,4,21,0,21,21056,021056,2040140530,2
2,4,21,0,21,21057,021057,2040140540,2
2,4,21,0,21,21058,021058,2040140550,2
2,4,21,0,21,21059,021059,2040140560,2
2,4,21,0,21,21060,021060,2040140570,2
2,4,21,0,21,21061,021061,2040140580,2
2,4,21,0,21,21062,021062,2040140590,2
2,4,21,0,21,21063,021063,2040140600,2
2,4,21,0,21,21064,021064,2040140610,2
2,4,21,0,21,21065,021065,2040140620,2
2,4,21,0,21,21066,021066,2040140630,2
2,4,21,0,21,21067,021067,2040140640,2
2,4,21,0,21,21068,021068,2040140641,2
2,4,21,0,21,21069,021069,2040140650,2
2,4,21,0,21,21070,021070,2040140660,2
2,4,21,0,21,21071,021071,2040140661,2
2,4,21,0,21,21072,021072,2040140680,2
2,4,21,0,21,21073,021073,2040140690,2
2,4,21,0,21,21074,021074,2040140700,2
2,4,21,0,21,21075,021075,2040140701,2
2,4,21,0,21,21076,021076,2040140710,2
2,4,21,0,21,21077,021077,2040140720,2
2,4,21,0,21,21079,021079,2040140740,2
2,4,21,0,21,21080,021080,2040140750,2
2,4,21,0,21,21081,021081,2040140760,2
2,4,21,0,21,21082,021082,2040140770,2
2,4,21,0,21,21083,021083,2040140771,2
2,4,21,0,21,21084,021084,2040140772,2
2,4,21,0,21,21085,021085,2040140780,2
2,4,21,0,21,21086,021086,2040140790,2
2,4,21,0,21,21087,021087,2040140800,2
2,4,21,0,21,21088,021088,2040140820,2
2,4,21,0,21,21089,021089,2040140821,2
2,4,21,0,21,21091,021091,2040140840,2
2,4,21,0,21,21092,021092,2040140850,2
2,4,21,0,21,21093,021093,2040140860,2
2,4,21,0,21,21094,021094,2040140870,2
2,4,21,0,21,21095,021095,2040140871,2
2,4,21,0,21,21096,021096,2040140880,2
2,4,21,0,21,21097,021097,2040140890,2
2,4,21,0,21,21098,021098,2040140900,2
2,4,21,0,21,21099,021099,2040140910,2
2,4,21,0,21,21100,021100,2040140920,2
2,4,21,0,21,21101,021101,2040140930,2
2,4,21,0,21,21102,021102,2040140940,2
2,4,21,0,21,21103,021103,2040140950,2
2,4,21,0,21,21104,021104,2040140960,2
2,4,21,0,21,21105,021105,2040140970,2
2,4,21,0,21,21106,021106,2040140981,2
2,4,21,0,21,21107,021107,2040140990,2
2,4,21,0,21,21108,021108,2040141000,2
2,4,21,0,21,21109,021109,2040141010,2
2,4,21,0,21,21110,021110,2040141020,2
2,4,21,0,21,21111,021111,2040141030,2
2,4,21,0,21,21112,021112,2040141040,2
2,4,21,0,21,21113,021113,2040141050,2
2,4,21,0,21,21114,021114,2040141060,2
2,4,21,0,21,21115,021115,2040141070,2
2,4,21,0,21,21116,021116,2040141031,2
2,4,21,0,21,21117,021117,2040140401,2
2,4,21,0,21,21118,021118,2040140841,2
2,4,22,0,22,22001,022001,2040830010,2
2,4,22,0,22,22002,022002,2040830020,2
2,4,22,0,22,22003,022003,2040830030,2
2,4,22,0,22,22005,022005,2040830050,2
2,4,22,0,22,22006,022006,2040830060,2
2,4,22,0,22,22007,022007,2040830070,2
2,4,22,0,22,22009,022009,2040830100,2
2,4,22,0,22,22011,022011,2040830110,2
2,4,22,0,22,22013,022013,2040830130,2
2,4,22,0,22,22015,022015,2040830150,2
2,4,22,0,22,22017,022017,2040830170,2
2,4,22,0,22,22018,022018,2040830180,2
2,4,22,0,22,22021,022021,2040830201,2
2,4,22,0,22,22022,022022,2040830210,2
2,4,22,0,22,22025,022025,2040830240,2
2,4,22,0,22,22026,022026,2040830250,2
2,4,22,0,22,22029,022029,2040830280,2
2,4,22,0,22,22032,022032,2040830300,2
2,4,22,0,22,22033,022033,2040830310,2
2,4,22,0,22,22034,022034,2040830320,2
2,4,22,0,22,22035,022035,2040830330,2
2,4,22,0,22,22036,022036,2040830331,2
2,4,22,0,22,22037,022037,2040830340,2
2,4,22,0,22,22038,022038,2040830350,2
2,4,22,0,22,22039,022039,2040830360,2
2,4,22,0,22,22040,022040,2040830370,2
2,4,22,0,22,22042,022042,2040830390,2
2,4,22,0,22,22043,022043,2040830400,2
2,4,22,0,22,22045,022045,2040830430,2
2,4,22,0,22,22047,022047,2040830440,2
2,4,22,0,22,22048,022048,2040830450,2
2,4,22,0,22,22049,022049,2040830460,2
2,4,22,0,22,22050,022050,2040830470,2
2,4,22,0,22,22051,022051,2040830480,2
2,4,22,0,22,22052,022052,2040830490,2
2,4,22,0,22,22053,022053,2040830500,2
2,4,22,0,22,22054,022054,2040830501,2
2,4,22,0,22,22058,022058,2040830540,2
2,4,22,0,22,22059,022059,2040830550,2
2,4,22,0,22,22060,022060,2040830560,2
2,4,22,0,22,22061,022061,2040830570,2
2,4,22,0,22,22062,022062,2040830580,2
2,4,22,0,22,22064,022064,2040830600,2
2,4,22,0,22,22068,022068,2040830640,2
2,4,22,0,22,22071,022071,2040830670,2
2,4,22,0,22,22074,022074,2040830700,2
2,4,22,0,22,22078,022078,2040830730,2
2,4,22,0,22,22079,022079,2040830740,2
2,4,22,0,22,22081,022081,2040830760,2
2,4,22,0,22,22083,022083,2040830780,2
2,4,22,0,22,22085,022085,2040830800,2
2,4,22,0,22,22087,022087,2040830820,2
