DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE
20200528,261,88537,LOMBARDIA
20200527,268,88276,LOMBARDIA
20200526,300,88008,LOMBARDIA
20200525,299,87708,LOMBARDIA
20200524,58,87409,LOMBARDIA
20200523,157,87351,LOMBARDIA
20200522,436,87194,LOMBARDIA
20200521,340,86758,LOMBARDIA
20200520,367,86418,LOMBARDIA
20200519,361,86051,LOMBARDIA
20200518,341,85690,LOMBARDIA
20200517,85,85349,LOMBARDIA
20200516,305,85264,LOMBARDIA
20200515,356,84959,LOMBARDIA
20200514,399,84603,LOMBARDIA
20200513,425,84204,LOMBARDIA
20200512,429,83779,LOMBARDIA
20200511,491,83350,LOMBARDIA
20200510,107,82859,LOMBARDIA
20200509,251,82752,LOMBARDIA
20200508,641,82501,LOMBARDIA
20200507,678,81860,LOMBARDIA
20200506,707,81182,LOMBARDIA
20200505,761,80475,LOMBARDIA
20200504,710,79714,LOMBARDIA
20200503,117,79004,LOMBARDIA
20200502,283,78887,LOMBARDIA
20200501,260,78604,LOMBARDIA
20200430,1026,78344,LOMBARDIA
20200429,1053,77318,LOMBARDIA
20200428,872,76265,LOMBARDIA
20200427,917,75393,LOMBARDIA
20200426,223,74476,LOMBARDIA
20200425,500,74253,LOMBARDIA
20200424,1018,73753,LOMBARDIA
20200423,1212,72735,LOMBARDIA
20200422,965,71523,LOMBARDIA
20200421,1061,70558,LOMBARDIA
20200420,1151,69497,LOMBARDIA
20200419,389,68346,LOMBARDIA
20200418,758,67957,LOMBARDIA
20200417,1303,67199,LOMBARDIA
20200416,1256,65896,LOMBARDIA
20200415,1374,64640,LOMBARDIA
20200414,1151,63266,LOMBARDIA
20200413,563,62115,LOMBARDIA
20200412,551,61552,LOMBARDIA
20200411,1139,61001,LOMBARDIA
20200410,2050,59862,LOMBARDIA
20200409,1926,57812,LOMBARDIA
20200408,1504,55886,LOMBARDIA
20200407,1485,54382,LOMBARDIA
20200406,1568,52897,LOMBARDIA
20200405,638,51329,LOMBARDIA
20200404,1063,50691,LOMBARDIA
20200403,1612,49628,LOMBARDIA
20200402,1614,48016,LOMBARDIA
20200401,1818,46402,LOMBARDIA
20200331,1538,44584,LOMBARDIA
20200330,1750,43046,LOMBARDIA
20200329,756,41296,LOMBARDIA
20200328,1361,40540,LOMBARDIA
20200327,1984,39179,LOMBARDIA
20200326,2043,37195,LOMBARDIA
20200325,2047,35152,LOMBARDIA
20200324,2148,33105,LOMBARDIA
20200323,2191,30957,LOMBARDIA
20200322,1158,28766,LOMBARDIA
20200321,1400,27608,LOMBARDIA
20200320,2207,26208,LOMBARDIA
20200319,2223,24001,LOMBARDIA
20200318,2155,21778,LOMBARDIA
20200317,2079,19623,LOMBARDIA
20200316,2120,17544,LOMBARDIA
20200315,1182,15424,LOMBARDIA
20200314,1368,14242,LOMBARDIA
20200313,1718,12874,LOMBARDIA
20200312,1338,11156,LOMBARDIA
20200311,1319,9818,LOMBARDIA
20200310,1343,8499,LOMBARDIA
20200309,1212,7156,LOMBARDIA
20200308,771,5944,LOMBARDIA
20200307,702,5173,LOMBARDIA
20200306,908,4471,LOMBARDIA
20200305,792,3563,LOMBARDIA
20200304,625,2771,LOMBARDIA
20200303,476,2146,LOMBARDIA
20200302,397,1670,LOMBARDIA
20200301,282,1273,LOMBARDIA
20200229,250,991,LOMBARDIA
20200228,208,741,LOMBARDIA
20200227,147,533,LOMBARDIA
20200226,117,386,LOMBARDIA
20200225,96,269,LOMBARDIA
20200224,60,173,LOMBARDIA
20200223,47,113,LOMBARDIA
20200222,32,66,LOMBARDIA
20200221,31,34,LOMBARDIA
20200220,3,3,LOMBARDIA
