DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE
20200603,11,89526,LOMBARDIA
20200602,10,89515,LOMBARDIA
20200601,211,89505,LOMBARDIA
20200531,19,89294,LOMBARDIA
20200530,164,89275,LOMBARDIA
20200529,196,89111,LOMBARDIA
20200528,313,88915,LOMBARDIA
20200527,345,88602,LOMBARDIA
20200526,352,88257,LOMBARDIA
20200525,304,87905,LOMBARDIA
20200524,58,87601,LOMBARDIA
20200523,165,87543,LOMBARDIA
20200522,440,87378,LOMBARDIA
20200521,340,86938,LOMBARDIA
20200520,367,86598,LOMBARDIA
20200519,364,86231,LOMBARDIA
20200518,326,85867,LOMBARDIA
20200517,85,85541,LOMBARDIA
20200516,305,85456,LOMBARDIA
20200515,357,85151,LOMBARDIA
20200514,399,84794,LOMBARDIA
20200513,426,84395,LOMBARDIA
20200512,429,83969,LOMBARDIA
20200511,494,83540,LOMBARDIA
20200510,107,83046,LOMBARDIA
20200509,254,82939,LOMBARDIA
20200508,649,82685,LOMBARDIA
20200507,700,82036,LOMBARDIA
20200506,709,81336,LOMBARDIA
20200505,762,80627,LOMBARDIA
20200504,712,79865,LOMBARDIA
20200503,124,79153,LOMBARDIA
20200502,283,79029,LOMBARDIA
20200501,262,78746,LOMBARDIA
20200430,1028,78484,LOMBARDIA
20200429,1057,77456,LOMBARDIA
20200428,873,76399,LOMBARDIA
20200427,924,75526,LOMBARDIA
20200426,225,74602,LOMBARDIA
20200425,503,74377,LOMBARDIA
20200424,1022,73874,LOMBARDIA
20200423,1212,72852,LOMBARDIA
20200422,965,71640,LOMBARDIA
20200421,1062,70675,LOMBARDIA
20200420,1151,69613,LOMBARDIA
20200419,391,68462,LOMBARDIA
20200418,758,68071,LOMBARDIA
20200417,1311,67313,LOMBARDIA
20200416,1256,66002,LOMBARDIA
20200415,1374,64746,LOMBARDIA
20200414,1165,63372,LOMBARDIA
20200413,563,62207,LOMBARDIA
20200412,553,61644,LOMBARDIA
20200411,1139,61091,LOMBARDIA
20200410,2051,59952,LOMBARDIA
20200409,1927,57901,LOMBARDIA
20200408,1507,55974,LOMBARDIA
20200407,1490,54467,LOMBARDIA
20200406,1570,52977,LOMBARDIA
20200405,638,51407,LOMBARDIA
20200404,1063,50769,LOMBARDIA
20200403,1611,49706,LOMBARDIA
20200402,1618,48095,LOMBARDIA
20200401,1819,46477,LOMBARDIA
20200331,1537,44658,LOMBARDIA
20200330,1749,43121,LOMBARDIA
20200329,755,41372,LOMBARDIA
20200328,1375,40617,LOMBARDIA
20200327,1985,39242,LOMBARDIA
20200326,2051,37257,LOMBARDIA
20200325,2047,35206,LOMBARDIA
20200324,2152,33159,LOMBARDIA
20200323,2189,31007,LOMBARDIA
20200322,1158,28818,LOMBARDIA
20200321,1400,27660,LOMBARDIA
20200320,2215,26260,LOMBARDIA
20200319,2224,24045,LOMBARDIA
20200318,2156,21821,LOMBARDIA
20200317,2092,19665,LOMBARDIA
20200316,2122,17573,LOMBARDIA
20200315,1184,15451,LOMBARDIA
20200314,1378,14267,LOMBARDIA
20200313,1726,12889,LOMBARDIA
20200312,1339,11163,LOMBARDIA
20200311,1319,9824,LOMBARDIA
20200310,1343,8505,LOMBARDIA
20200309,1215,7162,LOMBARDIA
20200308,776,5947,LOMBARDIA
20200307,702,5171,LOMBARDIA
20200306,906,4469,LOMBARDIA
20200305,792,3563,LOMBARDIA
20200304,625,2771,LOMBARDIA
20200303,476,2146,LOMBARDIA
20200302,397,1670,LOMBARDIA
20200301,283,1273,LOMBARDIA
20200229,250,990,LOMBARDIA
20200228,206,740,LOMBARDIA
20200227,147,534,LOMBARDIA
20200226,118,387,LOMBARDIA
20200225,96,269,LOMBARDIA
20200224,60,173,LOMBARDIA
20200223,47,113,LOMBARDIA
20200222,32,66,LOMBARDIA
20200221,31,34,LOMBARDIA
20200220,3,3,LOMBARDIA
