DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE
20200601,82,89205,LOMBARDIA
20200531,15,89123,LOMBARDIA
20200530,73,89108,LOMBARDIA
20200529,154,89035,LOMBARDIA
20200528,309,88881,LOMBARDIA
20200527,345,88572,LOMBARDIA
20200526,352,88227,LOMBARDIA
20200525,303,87875,LOMBARDIA
20200524,58,87572,LOMBARDIA
20200523,165,87514,LOMBARDIA
20200522,438,87349,LOMBARDIA
20200521,340,86911,LOMBARDIA
20200520,367,86571,LOMBARDIA
20200519,363,86204,LOMBARDIA
20200518,323,85841,LOMBARDIA
20200517,84,85518,LOMBARDIA
20200516,305,85434,LOMBARDIA
20200515,357,85129,LOMBARDIA
20200514,397,84772,LOMBARDIA
20200513,426,84375,LOMBARDIA
20200512,429,83949,LOMBARDIA
20200511,494,83520,LOMBARDIA
20200510,107,83026,LOMBARDIA
20200509,251,82919,LOMBARDIA
20200508,648,82668,LOMBARDIA
20200507,686,82020,LOMBARDIA
20200506,709,81334,LOMBARDIA
20200505,762,80625,LOMBARDIA
20200504,712,79863,LOMBARDIA
20200503,124,79151,LOMBARDIA
20200502,283,79027,LOMBARDIA
20200501,262,78744,LOMBARDIA
20200430,1028,78482,LOMBARDIA
20200429,1057,77454,LOMBARDIA
20200428,873,76397,LOMBARDIA
20200427,920,75524,LOMBARDIA
20200426,224,74604,LOMBARDIA
20200425,509,74380,LOMBARDIA
20200424,1022,73871,LOMBARDIA
20200423,1212,72849,LOMBARDIA
20200422,965,71637,LOMBARDIA
20200421,1062,70672,LOMBARDIA
20200420,1151,69610,LOMBARDIA
20200419,391,68459,LOMBARDIA
20200418,758,68068,LOMBARDIA
20200417,1311,67310,LOMBARDIA
20200416,1256,65999,LOMBARDIA
20200415,1374,64743,LOMBARDIA
20200414,1165,63369,LOMBARDIA
20200413,563,62204,LOMBARDIA
20200412,553,61641,LOMBARDIA
20200411,1139,61088,LOMBARDIA
20200410,2051,59949,LOMBARDIA
20200409,1927,57898,LOMBARDIA
20200408,1507,55971,LOMBARDIA
20200407,1490,54464,LOMBARDIA
20200406,1570,52974,LOMBARDIA
20200405,638,51404,LOMBARDIA
20200404,1063,50766,LOMBARDIA
20200403,1611,49703,LOMBARDIA
20200402,1618,48092,LOMBARDIA
20200401,1819,46474,LOMBARDIA
20200331,1537,44655,LOMBARDIA
20200330,1749,43118,LOMBARDIA
20200329,755,41369,LOMBARDIA
20200328,1375,40614,LOMBARDIA
20200327,1985,39239,LOMBARDIA
20200326,2050,37254,LOMBARDIA
20200325,2047,35204,LOMBARDIA
20200324,2152,33157,LOMBARDIA
20200323,2189,31005,LOMBARDIA
20200322,1158,28816,LOMBARDIA
20200321,1400,27658,LOMBARDIA
20200320,2214,26258,LOMBARDIA
20200319,2224,24044,LOMBARDIA
20200318,2156,21820,LOMBARDIA
20200317,2091,19664,LOMBARDIA
20200316,2122,17573,LOMBARDIA
20200315,1184,15451,LOMBARDIA
20200314,1378,14267,LOMBARDIA
20200313,1726,12889,LOMBARDIA
20200312,1339,11163,LOMBARDIA
20200311,1319,9824,LOMBARDIA
20200310,1343,8505,LOMBARDIA
20200309,1221,7162,LOMBARDIA
20200308,770,5941,LOMBARDIA
20200307,702,5171,LOMBARDIA
20200306,906,4469,LOMBARDIA
20200305,792,3563,LOMBARDIA
20200304,625,2771,LOMBARDIA
20200303,476,2146,LOMBARDIA
20200302,397,1670,LOMBARDIA
20200301,283,1273,LOMBARDIA
20200229,250,990,LOMBARDIA
20200228,206,740,LOMBARDIA
20200227,147,534,LOMBARDIA
20200226,118,387,LOMBARDIA
20200225,96,269,LOMBARDIA
20200224,60,173,LOMBARDIA
20200223,47,113,LOMBARDIA
20200222,32,66,LOMBARDIA
20200221,31,34,LOMBARDIA
20200220,3,3,LOMBARDIA
