OBJECTID,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
65,20200424,1031,74079,LOMBARDIA,1
1,20200220,3,3,LOMBARDIA,2
66,20200425,501,74580,LOMBARDIA,3
2,20200221,31,34,LOMBARDIA,4
67,20200426,226,74806,LOMBARDIA,5
68,20200427,929,75735,LOMBARDIA,6
69,20200428,873,76608,LOMBARDIA,7
3,20200222,32,66,LOMBARDIA,8
70,20200429,1059,77667,LOMBARDIA,9
4,20200223,47,113,LOMBARDIA,10
71,20200430,1025,78692,LOMBARDIA,11
5,20200224,60,173,LOMBARDIA,12
72,20200501,262,78954,LOMBARDIA,13
6,20200225,97,270,LOMBARDIA,14
73,20200502,284,79238,LOMBARDIA,15
7,20200226,117,387,LOMBARDIA,16
74,20200503,117,79355,LOMBARDIA,17
8,20200227,147,534,LOMBARDIA,18
75,20200504,713,80068,LOMBARDIA,19
9,20200228,206,740,LOMBARDIA,20
76,20200505,766,80834,LOMBARDIA,21
10,20200229,250,990,LOMBARDIA,22
11,20200301,283,1273,LOMBARDIA,23
77,20200506,709,81543,LOMBARDIA,24
12,20200302,396,1669,LOMBARDIA,25
78,20200507,701,82244,LOMBARDIA,26
13,20200303,478,2147,LOMBARDIA,27
79,20200508,653,82897,LOMBARDIA,28
80,20200509,256,83153,LOMBARDIA,29
14,20200304,628,2775,LOMBARDIA,30
81,20200510,106,83259,LOMBARDIA,31
15,20200305,793,3568,LOMBARDIA,32
82,20200511,495,83754,LOMBARDIA,33
16,20200306,906,4474,LOMBARDIA,34
83,20200512,431,84185,LOMBARDIA,35
17,20200307,703,5177,LOMBARDIA,36
84,20200513,423,84608,LOMBARDIA,37
18,20200308,775,5952,LOMBARDIA,38
85,20200514,403,85011,LOMBARDIA,39
19,20200309,1219,7171,LOMBARDIA,40
20,20200310,1353,8524,LOMBARDIA,41
86,20200515,360,85371,LOMBARDIA,42
21,20200311,1336,9860,LOMBARDIA,43
87,20200516,307,85678,LOMBARDIA,44
22,20200312,1360,11220,LOMBARDIA,45
88,20200517,87,85765,LOMBARDIA,46
23,20200313,1724,12944,LOMBARDIA,47
89,20200518,329,86094,LOMBARDIA,48
24,20200314,1378,14322,LOMBARDIA,49
25,20200315,1195,15517,LOMBARDIA,50
90,20200519,363,86457,LOMBARDIA,51
26,20200316,2131,17648,LOMBARDIA,52
91,20200520,381,86838,LOMBARDIA,53
27,20200317,2086,19734,LOMBARDIA,54
92,20200521,347,87185,LOMBARDIA,55
28,20200318,2161,21895,LOMBARDIA,56
93,20200522,444,87629,LOMBARDIA,57
29,20200319,2229,24124,LOMBARDIA,58
94,20200523,168,87797,LOMBARDIA,59
30,20200320,2221,26345,LOMBARDIA,60
95,20200524,59,87856,LOMBARDIA,61
31,20200321,1409,27754,LOMBARDIA,62
96,20200525,307,88163,LOMBARDIA,63
32,20200322,1162,28916,LOMBARDIA,64
97,20200526,352,88515,LOMBARDIA,65
33,20200323,2191,31107,LOMBARDIA,66
98,20200527,356,88871,LOMBARDIA,67
34,20200324,2162,33269,LOMBARDIA,68
99,20200528,322,89193,LOMBARDIA,69
35,20200325,2051,35320,LOMBARDIA,70
100,20200529,208,89401,LOMBARDIA,71
36,20200326,2057,37377,LOMBARDIA,72
101,20200530,175,89576,LOMBARDIA,73
37,20200327,1999,39376,LOMBARDIA,74
102,20200531,19,89595,LOMBARDIA,75
38,20200328,1366,40742,LOMBARDIA,76
103,20200601,251,89846,LOMBARDIA,77
39,20200329,758,41500,LOMBARDIA,78
104,20200602,31,89877,LOMBARDIA,79
40,20200330,1753,43253,LOMBARDIA,80
105,20200603,248,90125,LOMBARDIA,81
41,20200331,1544,44797,LOMBARDIA,82
106,20200604,250,90375,LOMBARDIA,83
42,20200401,1821,46618,LOMBARDIA,84
107,20200605,262,90637,LOMBARDIA,85
43,20200402,1624,48242,LOMBARDIA,86
108,20200606,114,90751,LOMBARDIA,87
44,20200403,1616,49858,LOMBARDIA,88
109,20200607,33,90784,LOMBARDIA,89
45,20200404,1079,50937,LOMBARDIA,90
110,20200608,179,90963,LOMBARDIA,91
46,20200405,640,51577,LOMBARDIA,92
111,20200609,263,91226,LOMBARDIA,93
47,20200406,1570,53147,LOMBARDIA,94
112,20200610,241,91467,LOMBARDIA,95
48,20200407,1495,54642,LOMBARDIA,96
113,20200611,324,91791,LOMBARDIA,97
49,20200408,1507,56149,LOMBARDIA,98
114,20200612,281,92072,LOMBARDIA,99
50,20200409,1932,58081,LOMBARDIA,100
115,20200613,122,92194,LOMBARDIA,101
51,20200410,2053,60134,LOMBARDIA,102
116,20200614,39,92233,LOMBARDIA,103
52,20200411,1140,61274,LOMBARDIA,104
117,20200615,195,92428,LOMBARDIA,105
118,20200616,166,92594,LOMBARDIA,106
119,20200617,203,92797,LOMBARDIA,107
120,20200618,138,92935,LOMBARDIA,108
121,20200619,187,93122,LOMBARDIA,109
122,20200620,60,93182,LOMBARDIA,110
123,20200621,12,93194,LOMBARDIA,111
124,20200622,179,93373,LOMBARDIA,112
125,20200623,135,93508,LOMBARDIA,113
126,20200624,63,93571,LOMBARDIA,114
127,20200625,14,93585,LOMBARDIA,115
128,20200626,2,93587,LOMBARDIA,116
53,20200412,552,61826,LOMBARDIA,117
54,20200413,564,62390,LOMBARDIA,118
55,20200414,1152,63542,LOMBARDIA,119
56,20200415,1379,64921,LOMBARDIA,120
57,20200416,1260,66181,LOMBARDIA,121
58,20200417,1308,67489,LOMBARDIA,122
59,20200418,758,68247,LOMBARDIA,123
60,20200419,392,68639,LOMBARDIA,124
61,20200420,1152,69791,LOMBARDIA,125
62,20200421,1076,70867,LOMBARDIA,126
63,20200422,966,71833,LOMBARDIA,127
64,20200423,1215,73048,LOMBARDIA,128
