CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,193,86,2021-06-30T15:45:12+0000
012002,ALBIZZATE,VARESE,3256,1486,2021-06-30T15:45:12+0000
012003,ANGERA,VARESE,3251,1530,2021-06-30T15:45:12+0000
012004,ARCISATE,VARESE,6118,2657,2021-06-30T15:45:12+0000
012005,ARSAGO SEPRIO,VARESE,2740,1139,2021-06-30T15:45:12+0000
012006,AZZATE,VARESE,2824,1255,2021-06-30T15:45:12+0000
012007,AZZIO,VARESE,437,196,2021-06-30T15:45:12+0000
012008,BARASSO,VARESE,1107,601,2021-06-30T15:45:12+0000
012009,BARDELLO,VARESE,999,438,2021-06-30T15:45:12+0000
012010,BEDERO VALCUVIA,VARESE,379,151,2021-06-30T15:45:12+0000
012011,BESANO,VARESE,1444,675,2021-06-30T15:45:12+0000
012012,BESNATE,VARESE,3324,1542,2021-06-30T15:45:12+0000
012013,BESOZZO,VARESE,5177,2449,2021-06-30T15:45:12+0000
012014,BIANDRONNO,VARESE,2032,912,2021-06-30T15:45:12+0000
012015,BISUSCHIO,VARESE,2608,1083,2021-06-30T15:45:12+0000
012016,BODIO LOMNAGO,VARESE,1498,766,2021-06-30T15:45:12+0000
012017,BREBBIA,VARESE,1962,890,2021-06-30T15:45:12+0000
012018,BREGANO,VARESE,500,221,2021-06-30T15:45:12+0000
012019,BRENTA,VARESE,1022,457,2021-06-30T15:45:12+0000
012020,BREZZO DI BEDERO,VARESE,648,249,2021-06-30T15:45:12+0000
012021,BRINZIO,VARESE,556,260,2021-06-30T15:45:12+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,669,282,2021-06-30T15:45:12+0000
012023,BRUNELLO,VARESE,604,261,2021-06-30T15:45:12+0000
012024,BRUSIMPIANO,VARESE,553,222,2021-06-30T15:45:12+0000
012025,BUGUGGIATE,VARESE,1994,950,2021-06-30T15:45:12+0000
012026,BUSTO ARSIZIO,VARESE,49015,23141,2021-06-30T15:45:12+0000
012027,CADEGLIANO-VICONAGO,VARESE,1162,544,2021-06-30T15:45:12+0000
012029,CAIRATE,VARESE,4509,2036,2021-06-30T15:45:12+0000
012030,CANTELLO,VARESE,2941,1346,2021-06-30T15:45:12+0000
012031,CARAVATE,VARESE,1504,632,2021-06-30T15:45:12+0000
012032,CARDANO AL CAMPO,VARESE,8481,3785,2021-06-30T15:45:12+0000
012033,CARNAGO,VARESE,4018,1775,2021-06-30T15:45:12+0000
012034,CARONNO PERTUSELLA,VARESE,10131,3980,2021-06-30T15:45:12+0000
012035,CARONNO VARESINO,VARESE,2803,1275,2021-06-30T15:45:12+0000
012036,CASALE LITTA,VARESE,1544,679,2021-06-30T15:45:12+0000
012037,CASALZUIGNO,VARESE,795,363,2021-06-30T15:45:12+0000
012038,CASCIAGO,VARESE,2415,1211,2021-06-30T15:45:12+0000
012039,CASORATE SEMPIONE,VARESE,3272,1490,2021-06-30T15:45:12+0000
012040,CASSANO MAGNAGO,VARESE,12649,5799,2021-06-30T15:45:12+0000
012041,CASSANO VALCUVIA,VARESE,324,139,2021-06-30T15:45:12+0000
