CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,255,227,2021-11-30T16:45:12+0000
012002,ALBIZZATE,VARESE,4227,3780,2021-11-30T16:45:12+0000
012003,ANGERA,VARESE,4175,3790,2021-11-30T16:45:12+0000
012004,ARCISATE,VARESE,8069,7183,2021-11-30T16:45:12+0000
012005,ARSAGO SEPRIO,VARESE,3789,3333,2021-11-30T16:45:12+0000
012006,AZZATE,VARESE,3661,3261,2021-11-30T16:45:12+0000
012007,AZZIO,VARESE,561,495,2021-11-30T16:45:12+0000
012008,BARASSO,VARESE,1403,1254,2021-11-30T16:45:12+0000
012009,BARDELLO,VARESE,1304,1150,2021-11-30T16:45:12+0000
012010,BEDERO VALCUVIA,VARESE,490,426,2021-11-30T16:45:12+0000
012011,BESANO,VARESE,1985,1782,2021-11-30T16:45:12+0000
012012,BESNATE,VARESE,4419,3942,2021-11-30T16:45:12+0000
012013,BESOZZO,VARESE,6969,6120,2021-11-30T16:45:12+0000
012014,BIANDRONNO,VARESE,2666,2375,2021-11-30T16:45:12+0000
012015,BISUSCHIO,VARESE,3398,3059,2021-11-30T16:45:12+0000
012016,BODIO LOMNAGO,VARESE,1890,1693,2021-11-30T16:45:12+0000
012017,BREBBIA,VARESE,2512,2219,2021-11-30T16:45:12+0000
012018,BREGANO,VARESE,665,574,2021-11-30T16:45:12+0000
012019,BRENTA,VARESE,1363,1173,2021-11-30T16:45:12+0000
012020,BREZZO DI BEDERO,VARESE,905,784,2021-11-30T16:45:12+0000
012021,BRINZIO,VARESE,671,603,2021-11-30T16:45:12+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,930,769,2021-11-30T16:45:12+0000
012023,BRUNELLO,VARESE,770,702,2021-11-30T16:45:12+0000
012024,BRUSIMPIANO,VARESE,802,686,2021-11-30T16:45:12+0000
012025,BUGUGGIATE,VARESE,2535,2237,2021-11-30T16:45:12+0000
012026,BUSTO ARSIZIO,VARESE,66687,59440,2021-11-30T16:45:12+0000
012027,CADEGLIANO-VICONAGO,VARESE,1595,1393,2021-11-30T16:45:12+0000
012029,CAIRATE,VARESE,6159,5484,2021-11-30T16:45:12+0000
012030,CANTELLO,VARESE,3808,3396,2021-11-30T16:45:12+0000
012031,CARAVATE,VARESE,1986,1740,2021-11-30T16:45:12+0000
