CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,254,224,2021-11-10T16:45:10+0000
012002,ALBIZZATE,VARESE,4184,3743,2021-11-10T16:45:10+0000
012003,ANGERA,VARESE,4150,3751,2021-11-10T16:45:10+0000
012004,ARCISATE,VARESE,8015,7084,2021-11-10T16:45:10+0000
012005,ARSAGO SEPRIO,VARESE,3767,3277,2021-11-10T16:45:10+0000
012006,AZZATE,VARESE,3632,3220,2021-11-10T16:45:10+0000
012007,AZZIO,VARESE,557,493,2021-11-10T16:45:10+0000
012008,BARASSO,VARESE,1395,1241,2021-11-10T16:45:10+0000
012009,BARDELLO,VARESE,1291,1145,2021-11-10T16:45:10+0000
012010,BEDERO VALCUVIA,VARESE,486,420,2021-11-10T16:45:10+0000
012011,BESANO,VARESE,1967,1763,2021-11-10T16:45:10+0000
012012,BESNATE,VARESE,4393,3894,2021-11-10T16:45:10+0000
012013,BESOZZO,VARESE,6930,6058,2021-11-10T16:45:10+0000
012014,BIANDRONNO,VARESE,2655,2362,2021-11-10T16:45:10+0000
012015,BISUSCHIO,VARESE,3378,3028,2021-11-10T16:45:10+0000
012016,BODIO LOMNAGO,VARESE,1883,1677,2021-11-10T16:45:10+0000
012017,BREBBIA,VARESE,2492,2193,2021-11-10T16:45:10+0000
012018,BREGANO,VARESE,661,573,2021-11-10T16:45:10+0000
012019,BRENTA,VARESE,1355,1151,2021-11-10T16:45:10+0000
012020,BREZZO DI BEDERO,VARESE,898,774,2021-11-10T16:45:10+0000
012021,BRINZIO,VARESE,667,596,2021-11-10T16:45:10+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,919,753,2021-11-10T16:45:10+0000
012023,BRUNELLO,VARESE,766,698,2021-11-10T16:45:10+0000
012024,BRUSIMPIANO,VARESE,787,676,2021-11-10T16:45:10+0000
012025,BUGUGGIATE,VARESE,2520,2221,2021-11-10T16:45:10+0000
012026,BUSTO ARSIZIO,VARESE,66334,58714,2021-11-10T16:45:10+0000
012027,CADEGLIANO-VICONAGO,VARESE,1582,1375,2021-11-10T16:45:10+0000
012029,CAIRATE,VARESE,6131,5433,2021-11-10T16:45:10+0000
012030,CANTELLO,VARESE,3774,3340,2021-11-10T16:45:10+0000
012031,CARAVATE,VARESE,1974,1715,2021-11-10T16:45:10+0000
012032,CARDANO AL CAMPO,VARESE,11581,10318,2021-11-10T16:45:10+0000
012033,CARNAGO,VARESE,5335,4719,2021-11-10T16:45:10+0000
012034,CARONNO PERTUSELLA,VARESE,13815,12500,2021-11-10T16:45:10+0000
012035,CARONNO VARESINO,VARESE,3835,3359,2021-11-10T16:45:10+0000
012036,CASALE LITTA,VARESE,2111,1881,2021-11-10T16:45:10+0000
012037,CASALZUIGNO,VARESE,1057,943,2021-11-10T16:45:10+0000
012038,CASCIAGO,VARESE,3025,2694,2021-11-10T16:45:10+0000
012039,CASORATE SEMPIONE,VARESE,4411,3934,2021-11-10T16:45:10+0000
012040,CASSANO MAGNAGO,VARESE,17081,15099,2021-11-10T16:45:10+0000
012041,CASSANO VALCUVIA,VARESE,431,388,2021-11-10T16:45:10+0000
012042,CASTELLANZA,VARESE,11531,10170,2021-11-10T16:45:10+0000
012043,CASTELLO CABIAGLIO,VARESE,361,314,2021-11-10T16:45:10+0000
012044,CASTELSEPRIO,VARESE,1085,962,2021-11-10T16:45:10+0000
012045,CASTELVECCANA,VARESE,1469,1294,2021-11-10T16:45:10+0000
012046,CASTIGLIONE OLONA,VARESE,6325,5579,2021-11-10T16:45:10+0000
012047,CASTRONNO,VARESE,4140,3621,2021-11-10T16:45:10+0000
012048,CAVARIA CON PREMEZZO,VARESE,4432,3941,2021-11-10T16:45:10+0000
012049,CAZZAGO BRABBIA,VARESE,606,539,2021-11-10T16:45:10+0000
012050,CISLAGO,VARESE,8253,7380,2021-11-10T16:45:10+0000
012051,CITTIGLIO,VARESE,2962,2531,2021-11-10T16:45:10+0000
012052,CLIVIO,VARESE,1540,1395,2021-11-10T16:45:10+0000
012053,COCQUIO-TREVISAGO,VARESE,3679,3239,2021-11-10T16:45:10+0000
012054,COMABBIO,VARESE,910,807,2021-11-10T16:45:10+0000
012055,COMERIO,VARESE,2237,1990,2021-11-10T16:45:10+0000
012056,CREMENAGA,VARESE,516,470,2021-11-10T16:45:10+0000
012057,CROSIO DELLA VALLE,VARESE,500,438,2021-11-10T16:45:10+0000
012058,CUASSO AL MONTE,VARESE,2682,2404,2021-11-10T16:45:10+0000
012059,CUGLIATE-FABIASCO,VARESE,2292,1965,2021-11-10T16:45:10+0000
012060,CUNARDO,VARESE,2133,1841,2021-11-10T16:45:10+0000
012061,CURIGLIA CON MONTEVIASCO,VARESE,115,102,2021-11-10T16:45:10+0000
012062,CUVEGLIO,VARESE,2505,2213,2021-11-10T16:45:10+0000
012063,CUVIO,VARESE,1312,1144,2021-11-10T16:45:10+0000
012064,DAVERIO,VARESE,2511,2254,2021-11-10T16:45:10+0000
012065,DUMENZA,VARESE,1020,892,2021-11-10T16:45:10+0000
012066,DUNO,VARESE,105,96,2021-11-10T16:45:10+0000
012067,FAGNANO OLONA,VARESE,9804,8798,2021-11-10T16:45:10+0000
012068,FERNO,VARESE,5250,4573,2021-11-10T16:45:10+0000
012069,FERRERA DI VARESE,VARESE,511,449,2021-11-10T16:45:10+0000
012070,GALLARATE,VARESE,40681,36436,2021-11-10T16:45:10+0000
012071,GALLIATE LOMBARDO,VARESE,798,724,2021-11-10T16:45:10+0000
012072,GAVIRATE,VARESE,7489,6574,2021-11-10T16:45:10+0000
012073,GAZZADA SCHIANNO,VARESE,3688,3321,2021-11-10T16:45:10+0000
012074,GEMONIO,VARESE,2246,1929,2021-11-10T16:45:10+0000
012075,GERENZANO,VARESE,8661,7844,2021-11-10T16:45:10+0000
012076,GERMIGNAGA,VARESE,2776,2401,2021-11-10T16:45:10+0000
012077,GOLASECCA,VARESE,2024,1794,2021-11-10T16:45:10+0000
012078,GORLA MAGGIORE,VARESE,4060,3647,2021-11-10T16:45:10+0000
012079,GORLA MINORE,VARESE,6546,5789,2021-11-10T16:45:10+0000
012080,GORNATE-OLONA,VARESE,1719,1494,2021-11-10T16:45:10+0000
012081,GRANTOLA,VARESE,966,839,2021-11-10T16:45:10+0000
012082,INARZO,VARESE,855,754,2021-11-10T16:45:10+0000
012083,INDUNO OLONA,VARESE,8438,7543,2021-11-10T16:45:10+0000
012084,ISPRA,VARESE,3930,3570,2021-11-10T16:45:10+0000
012085,JERAGO CON ORAGO,VARESE,4180,3715,2021-11-10T16:45:10+0000
012086,LAVENA PONTE TRESA,VARESE,4102,3505,2021-11-10T16:45:10+0000
012087,LAVENO-MOMBELLO,VARESE,6838,6082,2021-11-10T16:45:10+0000
012088,LEGGIUNO,VARESE,2795,2475,2021-11-10T16:45:10+0000
012089,LONATE CEPPINO,VARESE,4005,3553,2021-11-10T16:45:10+0000
012090,LONATE POZZOLO,VARESE,9354,8345,2021-11-10T16:45:10+0000
012091,LOZZA,VARESE,964,847,2021-11-10T16:45:10+0000
012092,LUINO,VARESE,10653,9151,2021-11-10T16:45:10+0000
012093,LUVINATE,VARESE,1059,967,2021-11-10T16:45:10+0000
012095,MALGESSO,VARESE,958,854,2021-11-10T16:45:10+0000
012096,MALNATE,VARESE,13045,11505,2021-11-10T16:45:10+0000
012097,MARCHIROLO,VARESE,2581,2265,2021-11-10T16:45:10+0000
012098,MARNATE,VARESE,6216,5463,2021-11-10T16:45:10+0000
012099,MARZIO,VARESE,252,220,2021-11-10T16:45:10+0000
012100,MASCIAGO PRIMO,VARESE,192,163,2021-11-10T16:45:10+0000
012101,MERCALLO,VARESE,1412,1271,2021-11-10T16:45:10+0000
012102,MESENZANA,VARESE,1159,986,2021-11-10T16:45:10+0000
012103,MONTEGRINO VALTRAVAGLIA,VARESE,1048,893,2021-11-10T16:45:10+0000
012104,MONVALLE,VARESE,1491,1279,2021-11-10T16:45:10+0000
012105,MORAZZONE,VARESE,3405,3005,2021-11-10T16:45:10+0000
012106,MORNAGO,VARESE,4003,3578,2021-11-10T16:45:10+0000
012107,OGGIONA CON SANTO STEFANO,VARESE,3437,3002,2021-11-10T16:45:10+0000
012108,OLGIATE OLONA,VARESE,9949,8812,2021-11-10T16:45:10+0000
012109,ORIGGIO,VARESE,6349,5727,2021-11-10T16:45:10+0000
012110,ORINO,VARESE,585,521,2021-11-10T16:45:10+0000
012113,PORTO CERESIO,VARESE,2242,1944,2021-11-10T16:45:10+0000
012114,PORTO VALTRAVAGLIA,VARESE,1787,1544,2021-11-10T16:45:10+0000
012115,RANCIO VALCUVIA,VARESE,645,551,2021-11-10T16:45:10+0000
012116,RANCO,VARESE,870,787,2021-11-10T16:45:10+0000
012117,SALTRIO,VARESE,2241,1997,2021-11-10T16:45:10+0000
012118,SAMARATE,VARESE,12828,11370,2021-11-10T16:45:10+0000
012119,SARONNO,VARESE,31539,28645,2021-11-10T16:45:10+0000
012120,SESTO CALENDE,VARESE,8221,7377,2021-11-10T16:45:10+0000
012121,SOLBIATE ARNO,VARESE,3172,2819,2021-11-10T16:45:10+0000
012122,SOLBIATE OLONA,VARESE,4332,3852,2021-11-10T16:45:10+0000
012123,SOMMA LOMBARDO,VARESE,13767,12271,2021-11-10T16:45:10+0000
012124,SUMIRAGO,VARESE,4830,4254,2021-11-10T16:45:10+0000
012125,TAINO,VARESE,2665,2417,2021-11-10T16:45:10+0000
012126,TERNATE,VARESE,2045,1812,2021-11-10T16:45:10+0000
012127,TRADATE,VARESE,15109,13476,2021-11-10T16:45:10+0000
012128,TRAVEDONA-MONATE,VARESE,3017,2732,2021-11-10T16:45:10+0000
012129,TRONZANO LAGO MAGGIORE,VARESE,151,131,2021-11-10T16:45:10+0000
