CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,245,206,2021-09-25T15:45:11+0000
012002,ALBIZZATE,VARESE,4064,3586,2021-09-25T15:45:11+0000
012003,ANGERA,VARESE,4037,3530,2021-09-25T15:45:11+0000
012004,ARCISATE,VARESE,7816,6690,2021-09-25T15:45:11+0000
012005,ARSAGO SEPRIO,VARESE,3620,3039,2021-09-25T15:45:11+0000
012006,AZZATE,VARESE,3493,3076,2021-09-25T15:45:11+0000
012007,AZZIO,VARESE,542,464,2021-09-25T15:45:11+0000
012008,BARASSO,VARESE,1366,1202,2021-09-25T15:45:11+0000
012009,BARDELLO,VARESE,1252,1100,2021-09-25T15:45:11+0000
012010,BEDERO VALCUVIA,VARESE,468,376,2021-09-25T15:45:11+0000
012011,BESANO,VARESE,1910,1644,2021-09-25T15:45:11+0000
012012,BESNATE,VARESE,4242,3687,2021-09-25T15:45:11+0000
012013,BESOZZO,VARESE,6660,5743,2021-09-25T15:45:11+0000
012014,BIANDRONNO,VARESE,2573,2260,2021-09-25T15:45:11+0000
012015,BISUSCHIO,VARESE,3304,2882,2021-09-25T15:45:11+0000
012016,BODIO LOMNAGO,VARESE,1840,1621,2021-09-25T15:45:11+0000
012017,BREBBIA,VARESE,2411,2095,2021-09-25T15:45:11+0000
012018,BREGANO,VARESE,638,554,2021-09-25T15:45:11+0000
012019,BRENTA,VARESE,1299,1065,2021-09-25T15:45:11+0000
012020,BREZZO DI BEDERO,VARESE,873,713,2021-09-25T15:45:11+0000
012021,BRINZIO,VARESE,654,578,2021-09-25T15:45:11+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,875,705,2021-09-25T15:45:11+0000
012023,BRUNELLO,VARESE,753,668,2021-09-25T15:45:11+0000
012024,BRUSIMPIANO,VARESE,752,617,2021-09-25T15:45:11+0000
012025,BUGUGGIATE,VARESE,2451,2139,2021-09-25T15:45:11+0000
012026,BUSTO ARSIZIO,VARESE,64147,55293,2021-09-25T15:45:11+0000
012027,CADEGLIANO-VICONAGO,VARESE,1513,1251,2021-09-25T15:45:11+0000
012029,CAIRATE,VARESE,5933,5107,2021-09-25T15:45:11+0000
012030,CANTELLO,VARESE,3670,3193,2021-09-25T15:45:11+0000
012031,CARAVATE,VARESE,1898,1605,2021-09-25T15:45:11+0000
012032,CARDANO AL CAMPO,VARESE,11218,9706,2021-09-25T15:45:11+0000
012033,CARNAGO,VARESE,5196,4467,2021-09-25T15:45:11+0000
012034,CARONNO PERTUSELLA,VARESE,13243,11253,2021-09-25T15:45:11+0000
012035,CARONNO VARESINO,VARESE,3725,3160,2021-09-25T15:45:11+0000
012036,CASALE LITTA,VARESE,2023,1780,2021-09-25T15:45:11+0000
012037,CASALZUIGNO,VARESE,1026,875,2021-09-25T15:45:11+0000
012038,CASCIAGO,VARESE,2959,2588,2021-09-25T15:45:11+0000
012039,CASORATE SEMPIONE,VARESE,4276,3692,2021-09-25T15:45:11+0000
012040,CASSANO MAGNAGO,VARESE,16512,14221,2021-09-25T15:45:11+0000
012041,CASSANO VALCUVIA,VARESE,418,354,2021-09-25T15:45:11+0000
012042,CASTELLANZA,VARESE,11152,9572,2021-09-25T15:45:11+0000
012043,CASTELLO CABIAGLIO,VARESE,347,301,2021-09-25T15:45:11+0000
012044,CASTELSEPRIO,VARESE,1053,929,2021-09-25T15:45:11+0000
012045,CASTELVECCANA,VARESE,1416,1191,2021-09-25T15:45:11+0000
012046,CASTIGLIONE OLONA,VARESE,6142,5255,2021-09-25T15:45:11+0000
012047,CASTRONNO,VARESE,4021,3439,2021-09-25T15:45:11+0000
012048,CAVARIA CON PREMEZZO,VARESE,4277,3723,2021-09-25T15:45:11+0000
012049,CAZZAGO BRABBIA,VARESE,589,518,2021-09-25T15:45:11+0000
012050,CISLAGO,VARESE,7985,6825,2021-09-25T15:45:11+0000
012051,CITTIGLIO,VARESE,2815,2344,2021-09-25T15:45:11+0000
012052,CLIVIO,VARESE,1494,1318,2021-09-25T15:45:11+0000
012053,COCQUIO-TREVISAGO,VARESE,3551,3040,2021-09-25T15:45:11+0000
012054,COMABBIO,VARESE,881,766,2021-09-25T15:45:11+0000
012055,COMERIO,VARESE,2182,1934,2021-09-25T15:45:11+0000
012056,CREMENAGA,VARESE,493,436,2021-09-25T15:45:11+0000
012057,CROSIO DELLA VALLE,VARESE,486,416,2021-09-25T15:45:11+0000
012058,CUASSO AL MONTE,VARESE,2581,2266,2021-09-25T15:45:11+0000
012059,CUGLIATE-FABIASCO,VARESE,2187,1807,2021-09-25T15:45:11+0000
012060,CUNARDO,VARESE,2048,1715,2021-09-25T15:45:11+0000
012061,CURIGLIA CON MONTEVIASCO,VARESE,107,96,2021-09-25T15:45:11+0000
012062,CUVEGLIO,VARESE,2438,2062,2021-09-25T15:45:11+0000
012063,CUVIO,VARESE,1246,1053,2021-09-25T15:45:11+0000
012064,DAVERIO,VARESE,2458,2165,2021-09-25T15:45:11+0000
012065,DUMENZA,VARESE,977,823,2021-09-25T15:45:11+0000
012066,DUNO,VARESE,101,82,2021-09-25T15:45:11+0000
012067,FAGNANO OLONA,VARESE,9521,8296,2021-09-25T15:45:11+0000
012068,FERNO,VARESE,5049,4279,2021-09-25T15:45:11+0000
012069,FERRERA DI VARESE,VARESE,486,415,2021-09-25T15:45:11+0000
012070,GALLARATE,VARESE,39395,34187,2021-09-25T15:45:11+0000
012071,GALLIATE LOMBARDO,VARESE,768,684,2021-09-25T15:45:11+0000
012072,GAVIRATE,VARESE,7263,6288,2021-09-25T15:45:11+0000
012073,GAZZADA SCHIANNO,VARESE,3587,3184,2021-09-25T15:45:11+0000
012074,GEMONIO,VARESE,2127,1760,2021-09-25T15:45:11+0000
012075,GERENZANO,VARESE,8396,7157,2021-09-25T15:45:11+0000
012076,GERMIGNAGA,VARESE,2666,2207,2021-09-25T15:45:11+0000
012077,GOLASECCA,VARESE,1939,1673,2021-09-25T15:45:11+0000
012078,GORLA MAGGIORE,VARESE,3924,3452,2021-09-25T15:45:11+0000
012079,GORLA MINORE,VARESE,6311,5419,2021-09-25T15:45:11+0000
012080,GORNATE-OLONA,VARESE,1674,1416,2021-09-25T15:45:11+0000
012081,GRANTOLA,VARESE,930,769,2021-09-25T15:45:11+0000
012082,INARZO,VARESE,822,722,2021-09-25T15:45:11+0000
012083,INDUNO OLONA,VARESE,8202,7163,2021-09-25T15:45:11+0000
012084,ISPRA,VARESE,3801,3345,2021-09-25T15:45:11+0000
012085,JERAGO CON ORAGO,VARESE,4061,3540,2021-09-25T15:45:11+0000
012086,LAVENA PONTE TRESA,VARESE,3915,3220,2021-09-25T15:45:11+0000
012087,LAVENO-MOMBELLO,VARESE,6607,5739,2021-09-25T15:45:11+0000
012088,LEGGIUNO,VARESE,2692,2323,2021-09-25T15:45:11+0000
012089,LONATE CEPPINO,VARESE,3858,3329,2021-09-25T15:45:11+0000
012090,LONATE POZZOLO,VARESE,9043,7776,2021-09-25T15:45:11+0000
012091,LOZZA,VARESE,927,806,2021-09-25T15:45:11+0000
012092,LUINO,VARESE,10236,8497,2021-09-25T15:45:11+0000
012093,LUVINATE,VARESE,1048,937,2021-09-25T15:45:11+0000
012095,MALGESSO,VARESE,929,809,2021-09-25T15:45:11+0000
012096,MALNATE,VARESE,12713,10938,2021-09-25T15:45:11+0000
012097,MARCHIROLO,VARESE,2473,2104,2021-09-25T15:45:11+0000
012098,MARNATE,VARESE,6037,5130,2021-09-25T15:45:11+0000
012099,MARZIO,VARESE,242,207,2021-09-25T15:45:11+0000
012100,MASCIAGO PRIMO,VARESE,183,154,2021-09-25T15:45:11+0000
012101,MERCALLO,VARESE,1369,1197,2021-09-25T15:45:11+0000
012102,MESENZANA,VARESE,1084,913,2021-09-25T15:45:11+0000
012103,MONTEGRINO VALTRAVAGLIA,VARESE,1004,809,2021-09-25T15:45:11+0000
012104,MONVALLE,VARESE,1444,1199,2021-09-25T15:45:11+0000
012105,MORAZZONE,VARESE,3319,2855,2021-09-25T15:45:11+0000
012106,MORNAGO,VARESE,3886,3388,2021-09-25T15:45:11+0000
012107,OGGIONA CON SANTO STEFANO,VARESE,3294,2825,2021-09-25T15:45:11+0000
012108,OLGIATE OLONA,VARESE,9637,8286,2021-09-25T15:45:11+0000
012109,ORIGGIO,VARESE,6121,5291,2021-09-25T15:45:11+0000
012110,ORINO,VARESE,564,476,2021-09-25T15:45:11+0000
012113,PORTO CERESIO,VARESE,2168,1833,2021-09-25T15:45:11+0000
012114,PORTO VALTRAVAGLIA,VARESE,1730,1439,2021-09-25T15:45:11+0000
012115,RANCIO VALCUVIA,VARESE,619,507,2021-09-25T15:45:11+0000
012116,RANCO,VARESE,847,745,2021-09-25T15:45:11+0000
012117,SALTRIO,VARESE,2181,1885,2021-09-25T15:45:11+0000
012118,SAMARATE,VARESE,12413,10724,2021-09-25T15:45:11+0000
012119,SARONNO,VARESE,30548,26342,2021-09-25T15:45:11+0000
012120,SESTO CALENDE,VARESE,7947,6933,2021-09-25T15:45:11+0000
012121,SOLBIATE ARNO,VARESE,3055,2657,2021-09-25T15:45:11+0000
012122,SOLBIATE OLONA,VARESE,4199,3623,2021-09-25T15:45:11+0000
012123,SOMMA LOMBARDO,VARESE,13260,11468,2021-09-25T15:45:11+0000
