CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,252,223,2021-10-30T15:45:09+0000
012002,ALBIZZATE,VARESE,4170,3731,2021-10-30T15:45:09+0000
012003,ANGERA,VARESE,4140,3739,2021-10-30T15:45:09+0000
012004,ARCISATE,VARESE,7991,7050,2021-10-30T15:45:09+0000
012005,ARSAGO SEPRIO,VARESE,3754,3257,2021-10-30T15:45:09+0000
012006,AZZATE,VARESE,3620,3201,2021-10-30T15:45:09+0000
012007,AZZIO,VARESE,555,493,2021-10-30T15:45:09+0000
012008,BARASSO,VARESE,1390,1238,2021-10-30T15:45:09+0000
012009,BARDELLO,VARESE,1286,1137,2021-10-30T15:45:09+0000
012010,BEDERO VALCUVIA,VARESE,484,419,2021-10-30T15:45:09+0000
012011,BESANO,VARESE,1961,1741,2021-10-30T15:45:09+0000
012012,BESNATE,VARESE,4379,3878,2021-10-30T15:45:09+0000
012013,BESOZZO,VARESE,6902,6028,2021-10-30T15:45:09+0000
012014,BIANDRONNO,VARESE,2649,2352,2021-10-30T15:45:09+0000
012015,BISUSCHIO,VARESE,3372,3015,2021-10-30T15:45:09+0000
012016,BODIO LOMNAGO,VARESE,1880,1671,2021-10-30T15:45:09+0000
012017,BREBBIA,VARESE,2476,2182,2021-10-30T15:45:09+0000
012018,BREGANO,VARESE,660,571,2021-10-30T15:45:09+0000
012019,BRENTA,VARESE,1352,1145,2021-10-30T15:45:09+0000
012020,BREZZO DI BEDERO,VARESE,896,769,2021-10-30T15:45:09+0000
012021,BRINZIO,VARESE,665,595,2021-10-30T15:45:09+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,914,751,2021-10-30T15:45:09+0000
012023,BRUNELLO,VARESE,765,695,2021-10-30T15:45:09+0000
012024,BRUSIMPIANO,VARESE,785,672,2021-10-30T15:45:09+0000
012025,BUGUGGIATE,VARESE,2511,2207,2021-10-30T15:45:09+0000
012026,BUSTO ARSIZIO,VARESE,66139,58490,2021-10-30T15:45:09+0000
012027,CADEGLIANO-VICONAGO,VARESE,1571,1367,2021-10-30T15:45:09+0000
012029,CAIRATE,VARESE,6114,5417,2021-10-30T15:45:09+0000
012030,CANTELLO,VARESE,3759,3331,2021-10-30T15:45:09+0000
012031,CARAVATE,VARESE,1966,1711,2021-10-30T15:45:09+0000
012032,CARDANO AL CAMPO,VARESE,11543,10288,2021-10-30T15:45:09+0000
012033,CARNAGO,VARESE,5327,4706,2021-10-30T15:45:09+0000
012034,CARONNO PERTUSELLA,VARESE,13785,12384,2021-10-30T15:45:09+0000
012035,CARONNO VARESINO,VARESE,3824,3341,2021-10-30T15:45:09+0000
012036,CASALE LITTA,VARESE,2103,1868,2021-10-30T15:45:09+0000
012037,CASALZUIGNO,VARESE,1054,938,2021-10-30T15:45:09+0000
012038,CASCIAGO,VARESE,3016,2680,2021-10-30T15:45:09+0000
012039,CASORATE SEMPIONE,VARESE,4405,3921,2021-10-30T15:45:09+0000
012040,CASSANO MAGNAGO,VARESE,17036,15040,2021-10-30T15:45:09+0000
012041,CASSANO VALCUVIA,VARESE,430,385,2021-10-30T15:45:09+0000
012042,CASTELLANZA,VARESE,11505,10125,2021-10-30T15:45:09+0000
012043,CASTELLO CABIAGLIO,VARESE,362,314,2021-10-30T15:45:09+0000
012044,CASTELSEPRIO,VARESE,1083,955,2021-10-30T15:45:09+0000
012045,CASTELVECCANA,VARESE,1465,1286,2021-10-30T15:45:09+0000
012046,CASTIGLIONE OLONA,VARESE,6316,5542,2021-10-30T15:45:09+0000
012047,CASTRONNO,VARESE,4127,3597,2021-10-30T15:45:09+0000
012048,CAVARIA CON PREMEZZO,VARESE,4421,3929,2021-10-30T15:45:09+0000
012049,CAZZAGO BRABBIA,VARESE,605,538,2021-10-30T15:45:09+0000
012050,CISLAGO,VARESE,8235,7325,2021-10-30T15:45:09+0000
012051,CITTIGLIO,VARESE,2946,2514,2021-10-30T15:45:09+0000
012052,CLIVIO,VARESE,1533,1386,2021-10-30T15:45:09+0000
012053,COCQUIO-TREVISAGO,VARESE,3668,3229,2021-10-30T15:45:09+0000
012054,COMABBIO,VARESE,905,804,2021-10-30T15:45:09+0000
012055,COMERIO,VARESE,2234,1984,2021-10-30T15:45:09+0000
012056,CREMENAGA,VARESE,515,470,2021-10-30T15:45:09+0000
012057,CROSIO DELLA VALLE,VARESE,498,436,2021-10-30T15:45:09+0000
012058,CUASSO AL MONTE,VARESE,2670,2385,2021-10-30T15:45:09+0000
012059,CUGLIATE-FABIASCO,VARESE,2283,1949,2021-10-30T15:45:09+0000
012060,CUNARDO,VARESE,2122,1837,2021-10-30T15:45:09+0000
012061,CURIGLIA CON MONTEVIASCO,VARESE,114,102,2021-10-30T15:45:09+0000
012062,CUVEGLIO,VARESE,2502,2208,2021-10-30T15:45:09+0000
012063,CUVIO,VARESE,1302,1138,2021-10-30T15:45:09+0000
