CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,279,250,2022-03-04T16:45:14+0000
012002,ALBIZZATE,VARESE,4484,4082,2022-03-04T16:45:14+0000
012003,ANGERA,VARESE,4435,4048,2022-03-04T16:45:14+0000
012004,ARCISATE,VARESE,8548,7752,2022-03-04T16:45:14+0000
012005,ARSAGO SEPRIO,VARESE,4031,3623,2022-03-04T16:45:14+0000
012006,AZZATE,VARESE,3904,3562,2022-03-04T16:45:14+0000
012007,AZZIO,VARESE,602,536,2022-03-04T16:45:14+0000
012008,BARASSO,VARESE,1481,1339,2022-03-04T16:45:14+0000
012009,BARDELLO,VARESE,1377,1229,2022-03-04T16:45:14+0000
012010,BEDERO VALCUVIA,VARESE,531,466,2022-03-04T16:45:14+0000
012011,BESANO,VARESE,2102,1914,2022-03-04T16:45:14+0000
012012,BESNATE,VARESE,4711,4276,2022-03-04T16:45:14+0000
012013,BESOZZO,VARESE,7374,6577,2022-03-04T16:45:14+0000
012014,BIANDRONNO,VARESE,2820,2556,2022-03-04T16:45:14+0000
012015,BISUSCHIO,VARESE,3648,3327,2022-03-04T16:45:14+0000
012016,BODIO LOMNAGO,VARESE,2030,1841,2022-03-04T16:45:14+0000
012017,BREBBIA,VARESE,2659,2385,2022-03-04T16:45:14+0000
012018,BREGANO,VARESE,716,632,2022-03-04T16:45:14+0000
012019,BRENTA,VARESE,1459,1270,2022-03-04T16:45:14+0000
012020,BREZZO DI BEDERO,VARESE,976,848,2022-03-04T16:45:14+0000
012021,BRINZIO,VARESE,691,627,2022-03-04T16:45:14+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,1002,846,2022-03-04T16:45:14+0000
012023,BRUNELLO,VARESE,810,752,2022-03-04T16:45:14+0000
012024,BRUSIMPIANO,VARESE,858,760,2022-03-04T16:45:14+0000
012025,BUGUGGIATE,VARESE,2688,2428,2022-03-04T16:45:14+0000
