CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,279,246,2022-02-14T16:45:15+0000
012002,ALBIZZATE,VARESE,4476,4046,2022-02-14T16:45:15+0000
012003,ANGERA,VARESE,4425,4014,2022-02-14T16:45:15+0000
012004,ARCISATE,VARESE,8535,7687,2022-02-14T16:45:15+0000
012005,ARSAGO SEPRIO,VARESE,4024,3585,2022-02-14T16:45:15+0000
012006,AZZATE,VARESE,3896,3538,2022-02-14T16:45:15+0000
012007,AZZIO,VARESE,600,528,2022-02-14T16:45:15+0000
012008,BARASSO,VARESE,1480,1330,2022-02-14T16:45:15+0000
012009,BARDELLO,VARESE,1375,1223,2022-02-14T16:45:15+0000
012010,BEDERO VALCUVIA,VARESE,527,464,2022-02-14T16:45:15+0000
012011,BESANO,VARESE,2098,1899,2022-02-14T16:45:15+0000
012012,BESNATE,VARESE,4708,4228,2022-02-14T16:45:15+0000
012013,BESOZZO,VARESE,7362,6537,2022-02-14T16:45:15+0000
012014,BIANDRONNO,VARESE,2817,2540,2022-02-14T16:45:15+0000
012015,BISUSCHIO,VARESE,3639,3284,2022-02-14T16:45:15+0000
012016,BODIO LOMNAGO,VARESE,2027,1835,2022-02-14T16:45:15+0000
012017,BREBBIA,VARESE,2658,2368,2022-02-14T16:45:15+0000
012018,BREGANO,VARESE,716,625,2022-02-14T16:45:15+0000
012019,BRENTA,VARESE,1454,1255,2022-02-14T16:45:15+0000
012020,BREZZO DI BEDERO,VARESE,975,844,2022-02-14T16:45:15+0000
012021,BRINZIO,VARESE,691,626,2022-02-14T16:45:15+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,1001,835,2022-02-14T16:45:15+0000
012023,BRUNELLO,VARESE,809,749,2022-02-14T16:45:15+0000
012024,BRUSIMPIANO,VARESE,856,757,2022-02-14T16:45:15+0000
012025,BUGUGGIATE,VARESE,2686,2410,2022-02-14T16:45:15+0000
012026,BUSTO ARSIZIO,VARESE,70642,63789,2022-02-14T16:45:15+0000
012027,CADEGLIANO-VICONAGO,VARESE,1719,1504,2022-02-14T16:45:15+0000
