CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,261,230,2021-12-27T16:45:14+0000
012002,ALBIZZATE,VARESE,4303,3859,2021-12-27T16:45:14+0000
012003,ANGERA,VARESE,4251,3824,2021-12-27T16:45:14+0000
012004,ARCISATE,VARESE,8206,7329,2021-12-27T16:45:14+0000
012005,ARSAGO SEPRIO,VARESE,3864,3416,2021-12-27T16:45:14+0000
012006,AZZATE,VARESE,3734,3344,2021-12-27T16:45:14+0000
012007,AZZIO,VARESE,570,500,2021-12-27T16:45:14+0000
012008,BARASSO,VARESE,1435,1270,2021-12-27T16:45:14+0000
012009,BARDELLO,VARESE,1328,1165,2021-12-27T16:45:14+0000
012010,BEDERO VALCUVIA,VARESE,505,430,2021-12-27T16:45:14+0000
012011,BESANO,VARESE,2018,1804,2021-12-27T16:45:14+0000
012012,BESNATE,VARESE,4503,4015,2021-12-27T16:45:14+0000
012013,BESOZZO,VARESE,7102,6220,2021-12-27T16:45:14+0000
012014,BIANDRONNO,VARESE,2710,2413,2021-12-27T16:45:14+0000
012015,BISUSCHIO,VARESE,3458,3104,2021-12-27T16:45:14+0000
012016,BODIO LOMNAGO,VARESE,1933,1716,2021-12-27T16:45:14+0000
012017,BREBBIA,VARESE,2546,2252,2021-12-27T16:45:14+0000
012018,BREGANO,VARESE,681,583,2021-12-27T16:45:14+0000
012019,BRENTA,VARESE,1387,1178,2021-12-27T16:45:14+0000
012020,BREZZO DI BEDERO,VARESE,931,792,2021-12-27T16:45:14+0000
012021,BRINZIO,VARESE,678,610,2021-12-27T16:45:14+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,951,785,2021-12-27T16:45:14+0000
012023,BRUNELLO,VARESE,790,717,2021-12-27T16:45:14+0000
012024,BRUSIMPIANO,VARESE,824,714,2021-12-27T16:45:14+0000
012025,BUGUGGIATE,VARESE,2587,2283,2021-12-27T16:45:14+0000
012026,BUSTO ARSIZIO,VARESE,67744,60795,2021-12-27T16:45:14+0000
012027,CADEGLIANO-VICONAGO,VARESE,1631,1406,2021-12-27T16:45:14+0000
012029,CAIRATE,VARESE,6272,5595,2021-12-27T16:45:14+0000
012030,CANTELLO,VARESE,3894,3474,2021-12-27T16:45:14+0000
012031,CARAVATE,VARESE,2015,1754,2021-12-27T16:45:14+0000
012032,CARDANO AL CAMPO,VARESE,11858,10713,2021-12-27T16:45:14+0000
012033,CARNAGO,VARESE,5455,4847,2021-12-27T16:45:14+0000
012034,CARONNO PERTUSELLA,VARESE,14094,12847,2021-12-27T16:45:14+0000
012035,CARONNO VARESINO,VARESE,3944,3457,2021-12-27T16:45:14+0000
012036,CASALE LITTA,VARESE,2180,1954,2021-12-27T16:45:14+0000
012037,CASALZUIGNO,VARESE,1090,957,2021-12-27T16:45:14+0000
012038,CASCIAGO,VARESE,3095,2754,2021-12-27T16:45:14+0000
012039,CASORATE SEMPIONE,VARESE,4503,4074,2021-12-27T16:45:14+0000
012040,CASSANO MAGNAGO,VARESE,17494,15610,2021-12-27T16:45:14+0000
012041,CASSANO VALCUVIA,VARESE,441,393,2021-12-27T16:45:14+0000
012042,CASTELLANZA,VARESE,11740,10478,2021-12-27T16:45:14+0000
012043,CASTELLO CABIAGLIO,VARESE,378,325,2021-12-27T16:45:14+0000
012044,CASTELSEPRIO,VARESE,1103,986,2021-12-27T16:45:14+0000
012045,CASTELVECCANA,VARESE,1495,1327,2021-12-27T16:45:14+0000
012046,CASTIGLIONE OLONA,VARESE,6444,5722,2021-12-27T16:45:14+0000
012047,CASTRONNO,VARESE,4237,3765,2021-12-27T16:45:14+0000
012048,CAVARIA CON PREMEZZO,VARESE,4542,4072,2021-12-27T16:45:14+0000
012049,CAZZAGO BRABBIA,VARESE,623,549,2021-12-27T16:45:14+0000
012050,CISLAGO,VARESE,8412,7554,2021-12-27T16:45:14+0000
012051,CITTIGLIO,VARESE,3048,2587,2021-12-27T16:45:14+0000
012052,CLIVIO,VARESE,1598,1437,2021-12-27T16:45:14+0000
012053,COCQUIO-TREVISAGO,VARESE,3773,3303,2021-12-27T16:45:14+0000
012054,COMABBIO,VARESE,932,833,2021-12-27T16:45:14+0000
012055,COMERIO,VARESE,2309,2040,2021-12-27T16:45:14+0000
012056,CREMENAGA,VARESE,532,478,2021-12-27T16:45:14+0000
012057,CROSIO DELLA VALLE,VARESE,512,453,2021-12-27T16:45:14+0000
012058,CUASSO AL MONTE,VARESE,2764,2494,2021-12-27T16:45:14+0000
012059,CUGLIATE-FABIASCO,VARESE,2367,2021,2021-12-27T16:45:14+0000
012060,CUNARDO,VARESE,2201,1885,2021-12-27T16:45:14+0000
012061,CURIGLIA CON MONTEVIASCO,VARESE,116,108,2021-12-27T16:45:14+0000
012062,CUVEGLIO,VARESE,2581,2256,2021-12-27T16:45:14+0000
012063,CUVIO,VARESE,1351,1176,2021-12-27T16:45:14+0000
012064,DAVERIO,VARESE,2574,2306,2021-12-27T16:45:14+0000
012065,DUMENZA,VARESE,1070,921,2021-12-27T16:45:14+0000
012066,DUNO,VARESE,108,99,2021-12-27T16:45:14+0000
012067,FAGNANO OLONA,VARESE,9992,9047,2021-12-27T16:45:14+0000
012068,FERNO,VARESE,5362,4773,2021-12-27T16:45:14+0000
012069,FERRERA DI VARESE,VARESE,528,458,2021-12-27T16:45:14+0000
012070,GALLARATE,VARESE,41708,37640,2021-12-27T16:45:14+0000
012071,GALLIATE LOMBARDO,VARESE,817,738,2021-12-27T16:45:14+0000
012072,GAVIRATE,VARESE,7651,6746,2021-12-27T16:45:14+0000
