CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,178,66,2021-06-14T15:45:12+0000
012002,ALBIZZATE,VARESE,2808,1054,2021-06-14T15:45:12+0000
012003,ANGERA,VARESE,2957,1127,2021-06-14T15:45:12+0000
012004,ARCISATE,VARESE,5182,1890,2021-06-14T15:45:12+0000
012005,ARSAGO SEPRIO,VARESE,2224,850,2021-06-14T15:45:12+0000
012006,AZZATE,VARESE,2471,926,2021-06-14T15:45:12+0000
012007,AZZIO,VARESE,391,121,2021-06-14T15:45:12+0000
012008,BARASSO,VARESE,984,453,2021-06-14T15:45:12+0000
012009,BARDELLO,VARESE,830,311,2021-06-14T15:45:12+0000
012010,BEDERO VALCUVIA,VARESE,332,111,2021-06-14T15:45:12+0000
012011,BESANO,VARESE,1233,503,2021-06-14T15:45:12+0000
012012,BESNATE,VARESE,2784,1144,2021-06-14T15:45:12+0000
012013,BESOZZO,VARESE,4521,1719,2021-06-14T15:45:12+0000
012014,BIANDRONNO,VARESE,1739,634,2021-06-14T15:45:12+0000
012015,BISUSCHIO,VARESE,2164,745,2021-06-14T15:45:12+0000
012016,BODIO LOMNAGO,VARESE,1337,571,2021-06-14T15:45:12+0000
012017,BREBBIA,VARESE,1692,627,2021-06-14T15:45:12+0000
012018,BREGANO,VARESE,431,152,2021-06-14T15:45:12+0000
012019,BRENTA,VARESE,912,308,2021-06-14T15:45:12+0000
012020,BREZZO DI BEDERO,VARESE,559,167,2021-06-14T15:45:12+0000
012021,BRINZIO,VARESE,496,167,2021-06-14T15:45:12+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,604,183,2021-06-14T15:45:12+0000
012023,BRUNELLO,VARESE,524,185,2021-06-14T15:45:12+0000
012024,BRUSIMPIANO,VARESE,486,155,2021-06-14T15:45:12+0000
012025,BUGUGGIATE,VARESE,1749,712,2021-06-14T15:45:12+0000
012026,BUSTO ARSIZIO,VARESE,41306,18175,2021-06-14T15:45:12+0000
012027,CADEGLIANO-VICONAGO,VARESE,1034,429,2021-06-14T15:45:12+0000
012029,CAIRATE,VARESE,3741,1531,2021-06-14T15:45:12+0000
012030,CANTELLO,VARESE,2509,995,2021-06-14T15:45:12+0000
012031,CARAVATE,VARESE,1325,438,2021-06-14T15:45:12+0000
012032,CARDANO AL CAMPO,VARESE,6963,2922,2021-06-14T15:45:12+0000
012033,CARNAGO,VARESE,3293,1272,2021-06-14T15:45:12+0000
012034,CARONNO PERTUSELLA,VARESE,8040,2804,2021-06-14T15:45:12+0000
012035,CARONNO VARESINO,VARESE,2433,890,2021-06-14T15:45:12+0000
012036,CASALE LITTA,VARESE,1347,473,2021-06-14T15:45:12+0000
012037,CASALZUIGNO,VARESE,708,264,2021-06-14T15:45:12+0000
012038,CASCIAGO,VARESE,2127,866,2021-06-14T15:45:12+0000
012039,CASORATE SEMPIONE,VARESE,2764,1125,2021-06-14T15:45:12+0000
012040,CASSANO MAGNAGO,VARESE,10680,4478,2021-06-14T15:45:12+0000
