CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2,date
012001,AGRA,VARESE,179,68,2021-06-15T15:45:13+0000
012002,ALBIZZATE,VARESE,2828,1085,2021-06-15T15:45:13+0000
012003,ANGERA,VARESE,2977,1156,2021-06-15T15:45:13+0000
012004,ARCISATE,VARESE,5224,1965,2021-06-15T15:45:13+0000
012005,ARSAGO SEPRIO,VARESE,2265,863,2021-06-15T15:45:13+0000
012006,AZZATE,VARESE,2491,943,2021-06-15T15:45:13+0000
012007,AZZIO,VARESE,393,133,2021-06-15T15:45:13+0000
012008,BARASSO,VARESE,991,466,2021-06-15T15:45:13+0000
012009,BARDELLO,VARESE,838,322,2021-06-15T15:45:13+0000
012010,BEDERO VALCUVIA,VARESE,336,115,2021-06-15T15:45:13+0000
012011,BESANO,VARESE,1242,521,2021-06-15T15:45:13+0000
012012,BESNATE,VARESE,2816,1166,2021-06-15T15:45:13+0000
012013,BESOZZO,VARESE,4555,1786,2021-06-15T15:45:13+0000
012014,BIANDRONNO,VARESE,1751,651,2021-06-15T15:45:13+0000
012015,BISUSCHIO,VARESE,2194,787,2021-06-15T15:45:13+0000
012016,BODIO LOMNAGO,VARESE,1346,592,2021-06-15T15:45:13+0000
012017,BREBBIA,VARESE,1705,649,2021-06-15T15:45:13+0000
012018,BREGANO,VARESE,436,158,2021-06-15T15:45:13+0000
012019,BRENTA,VARESE,923,329,2021-06-15T15:45:13+0000
012020,BREZZO DI BEDERO,VARESE,565,176,2021-06-15T15:45:13+0000
012021,BRINZIO,VARESE,498,175,2021-06-15T15:45:13+0000
012022,BRISSAGO-VALTRAVAGLIA,VARESE,606,197,2021-06-15T15:45:13+0000
012023,BRUNELLO,VARESE,529,191,2021-06-15T15:45:13+0000
012024,BRUSIMPIANO,VARESE,490,162,2021-06-15T15:45:13+0000
012025,BUGUGGIATE,VARESE,1763,742,2021-06-15T15:45:13+0000
012026,BUSTO ARSIZIO,VARESE,41788,18432,2021-06-15T15:45:13+0000
012027,CADEGLIANO-VICONAGO,VARESE,1049,442,2021-06-15T15:45:13+0000
012029,CAIRATE,VARESE,3787,1572,2021-06-15T15:45:13+0000
012030,CANTELLO,VARESE,2529,1027,2021-06-15T15:45:13+0000
012031,CARAVATE,VARESE,1335,454,2021-06-15T15:45:13+0000
012032,CARDANO AL CAMPO,VARESE,7058,2975,2021-06-15T15:45:13+0000
012033,CARNAGO,VARESE,3340,1297,2021-06-15T15:45:13+0000
012034,CARONNO PERTUSELLA,VARESE,8212,2872,2021-06-15T15:45:13+0000
012035,CARONNO VARESINO,VARESE,2447,922,2021-06-15T15:45:13+0000
012036,CASALE LITTA,VARESE,1362,501,2021-06-15T15:45:13+0000
012037,CASALZUIGNO,VARESE,716,275,2021-06-15T15:45:13+0000
012038,CASCIAGO,VARESE,2145,895,2021-06-15T15:45:13+0000
012039,CASORATE SEMPIONE,VARESE,2797,1146,2021-06-15T15:45:13+0000
