Codice ISTAT,ISTAT,Protezione Civile
110,Barletta-Andria-Trani,Bat
108,Monza e della Brianza,Monza Brianza
041,Pesaro e Urbino,Pesaro
035,Reggio nell'Emilia,Reggio Emilia
007,Valle d'Aosta/Vallée d'Aoste,AOSTA
