"3120700440","422242930462962702","CENTRO","LAZIO","GERANO","1.230","6.520,92","2.753,10","9.274,02"
"3120700450","254142930519710602","CENTRO","LAZIO","GORGA","706","3.742,90","812,20","4.555,10"
"3120700460","404542930516805801","CENTRO","LAZIO","GROTTAFERRATA","20.567","109.037,27","-","109.037,27"
"3120700470","953442930515440001","CENTRO","LAZIO","GUIDONIA MONTECELIO","89.671","475.396,55","169.882,50","645.279,05"
"3120700480","322742930519716202","CENTRO","LAZIO","JENNE","352","1.866,15","477,67","2.343,82"
"3120700490","752842930473388502","CENTRO","LAZIO","LABICO","6.514","34.534,39","14.849,09","49.383,48"
"3120700491","656442930472250401","CENTRO","LAZIO","LADISPOLI","41.584","220.460,24","103.945,15","324.405,39"
"3120700500","299542930517598002","CENTRO","LAZIO","LANUVIO","13.539","71.777,88","32.629,04","104.406,91"
"3120700501","389242930540877902","CENTRO","LAZIO","LARIANO","13.467","71.396,16","41.128,85","112.525,01"
"3120700510","718042930542813302","CENTRO","LAZIO","LICENZA","941","4.988,77","2.668,82","7.657,60"
"3120700511","477242930476480602","CENTRO","LAZIO","MAGLIANO ROMANO","1.402","7.432,79","2.905,03","10.337,82"
"3120700520","887142927963846701","CENTRO","LAZIO","MANDELA","922","4.888,04","1.291,42","6.179,47"
"3120700530","817942929800191402","CENTRO","LAZIO","MANZIANA","7.753","41.103,03","5.142,43","46.245,45"
"3120700540","944142930542121701","CENTRO","LAZIO","MARANO EQUO","775","4.108,71","482,38","4.591,09"
"3120700550","392642930473037902","CENTRO","LAZIO","MARCELLINA","7.155","37.932,69","21.423,46","59.356,15"
"3120700560","643742930542962201","CENTRO","LAZIO","MARINO","44.981","238.469,65","49.593,07","288.062,73"
"3120700570","494542930526270702","CENTRO","LAZIO","MAZZANO ROMANO","3.138","16.636,31","8.344,78","24.981,09"
"3120700580","449542930541325102","CENTRO","LAZIO","MENTANA","23.190","122.943,27","57.021,02","179.964,29"
"3120700590","274042930533205801","CENTRO","LAZIO","MONTE COMPATRI","12.200","64.679,08","24.080,33","88.759,42"
"3120700600","283842930519159102","CENTRO","LAZIO","MONTEFLAVIO","1.269","6.727,68","925,42","7.653,10"
"3120700610","369042930543856402","CENTRO","LAZIO","MONTELANICO","2.091","11.085,57","4.645,76","15.731,33"
"3120700620","792142930523805202","CENTRO","LAZIO","MONTELIBRETTI","5.282","28.002,86","11.899,45","39.902,31"
"3120700630","739042930473663702","CENTRO","LAZIO","MONTE PORZIO CATONE","8.758","46.431,10","-","46.431,10"
"3120700640","803742930445520301","CENTRO","LAZIO","MONTEROTONDO","41.287","218.885,68","63.705,02","282.590,69"
"3120700650","785342930474536401","CENTRO","LAZIO","MONTORIO ROMANO","1.897","10.057,07","4.719,89","14.776,95"
"3120700660","539742930456462402","CENTRO","LAZIO","MORICONE","2.553","13.534,89","6.360,97","19.895,86"
"3120700670","524342930456612601","CENTRO","LAZIO","MORLUPO","8.680","46.017,58","13.470,41","59.487,99"
"3120700680","214342930528543402","CENTRO","LAZIO","NAZZANO","1.391","7.374,48","3.324,98","10.699,45"
"3120700690","395242930457477202","CENTRO","LAZIO","NEMI","1.931","10.237,32","471,91","10.709,23"
"3120700700","872542930526772802","CENTRO","LAZIO","NEROLA","1.947","10.322,15","2.782,74","13.104,88"
"3120700710","505242930543535301","CENTRO","LAZIO","NETTUNO","49.995","265.051,70","119.003,54","384.055,24"
"3120700720","344742930474743902","CENTRO","LAZIO","OLEVANO ROMANO","6.614","35.064,54","17.147,44","52.211,98"
"3120700730","359642930474938401","CENTRO","LAZIO","PALESTRINA","22.065","116.979,01","49.603,14","166.582,15"
"3120700740","494042930525265502","CENTRO","LAZIO","PALOMBARA SABINA","13.178","69.864,01","30.161,62","100.025,63"
"3120700750","953542930454383101","CENTRO","LAZIO","PERCILE","217","1.150,44","678,54","1.828,98"
"3120700760","876242930524959801","CENTRO","LAZIO","PISONIANO","751","3.981,47","1.734,93","5.716,41"
"3120700770","284042930450482202","CENTRO","LAZIO","POLI","2.340","12.405,66","7.414,36","19.820,02"
"3120700780","539842930544496001","CENTRO","LAZIO","POMEZIA","63.792","338.197,37","76.315,60","414.512,97"
"3120700790","144442930475711802","CENTRO","LAZIO","PONZANO ROMANO","1.155","6.123,31","3.104,88","9.228,19"
"3120700800","208642930448971302","CENTRO","LAZIO","RIANO","10.687","56.657,82","17.899,68","74.557,49"
"3120700810","578542930449771801","CENTRO","LAZIO","RIGNANO FLAMINIO","10.391","55.088,55","22.330,35","77.418,90"
"3120700820","124242930458525101","CENTRO","LAZIO","RIOFREDDO","740","3.923,16","1.735,74","5.658,89"
"3120700830","693642930542975801","CENTRO","LAZIO","ROCCA CANTERANO","182","964,88","141,49","1.106,38"
"3120700840","669442930474293901","CENTRO","LAZIO","ROCCA DI CAVE","364","1.929,77","709,85","2.639,62"
"3120700850","546142930543021401","CENTRO","LAZIO","ROCCA DI PAPA","17.285","91.637,53","39.878,13","131.515,66"
"3120700860","127942930476460801","CENTRO","LAZIO","ROCCAGIOVINE","255","1.351,90","573,32","1.925,22"
"3120700870","702142930534562902","CENTRO","LAZIO","ROCCA PRIORA","12.170","64.520,03","22.542,68","87.062,71"
