OBJECTID,PROVINCIA,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
589,MANTOVA,20200325,94,1341,LOMBARDIA,1
590,MANTOVA,20200326,107,1448,LOMBARDIA,2
591,MANTOVA,20200327,109,1557,LOMBARDIA,3
592,MANTOVA,20200328,68,1625,LOMBARDIA,4
593,MANTOVA,20200329,38,1663,LOMBARDIA,5
594,MANTOVA,20200330,81,1744,LOMBARDIA,6
595,MANTOVA,20200331,69,1813,LOMBARDIA,7
596,MANTOVA,20200401,81,1894,LOMBARDIA,8
597,MANTOVA,20200402,69,1963,LOMBARDIA,9
598,MANTOVA,20200403,94,2057,LOMBARDIA,10
599,MANTOVA,20200404,32,2089,LOMBARDIA,11
600,MANTOVA,20200405,74,2163,LOMBARDIA,12
601,MANTOVA,20200406,83,2246,LOMBARDIA,13
602,MANTOVA,20200407,60,2306,LOMBARDIA,14
603,MANTOVA,20200408,91,2397,LOMBARDIA,15
604,MANTOVA,20200409,98,2495,LOMBARDIA,16
605,MANTOVA,20200410,79,2574,LOMBARDIA,17
606,MANTOVA,20200411,50,2624,LOMBARDIA,18
607,MANTOVA,20200412,8,2632,LOMBARDIA,19
608,MANTOVA,20200413,19,2651,LOMBARDIA,20
609,MANTOVA,20200414,33,2684,LOMBARDIA,21
610,MANTOVA,20200415,43,2727,LOMBARDIA,22
611,MANTOVA,20200416,51,2778,LOMBARDIA,23
612,MANTOVA,20200417,101,2879,LOMBARDIA,24
613,MANTOVA,20200418,29,2908,LOMBARDIA,25
614,MANTOVA,20200419,12,2920,LOMBARDIA,26
615,MANTOVA,20200420,56,2976,LOMBARDIA,27
616,MANTOVA,20200421,22,2998,LOMBARDIA,28
617,MANTOVA,20200422,46,3044,LOMBARDIA,29
618,MANTOVA,20200423,27,3071,LOMBARDIA,30
619,MANTOVA,20200424,18,3089,LOMBARDIA,31
620,MANTOVA,20200425,28,3117,LOMBARDIA,32
621,MANTOVA,20200426,4,3121,LOMBARDIA,33
622,MANTOVA,20200427,25,3146,LOMBARDIA,34
623,MANTOVA,20200428,14,3160,LOMBARDIA,35
624,MANTOVA,20200429,23,3183,LOMBARDIA,36
625,MANTOVA,20200430,13,3196,LOMBARDIA,37
626,MANTOVA,20200501,3,3199,LOMBARDIA,38
627,MANTOVA,20200502,4,3203,LOMBARDIA,39
628,MANTOVA,20200503,1,3204,LOMBARDIA,40
629,MANTOVA,20200504,10,3214,LOMBARDIA,41
630,MANTOVA,20200505,4,3218,LOMBARDIA,42
631,MANTOVA,20200506,14,3232,LOMBARDIA,43
632,MANTOVA,20200507,8,3240,LOMBARDIA,44
633,MANTOVA,20200508,7,3247,LOMBARDIA,45
634,MANTOVA,20200509,2,3249,LOMBARDIA,46
635,MANTOVA,20200510,2,3251,LOMBARDIA,47
636,MANTOVA,20200511,8,3259,LOMBARDIA,48
637,MANTOVA,20200512,8,3267,LOMBARDIA,49
638,MILANO,20200221,1,1,LOMBARDIA,50
789,MONZA E DELLA BRIANZA,20200503,14,4773,LOMBARDIA,51
790,MONZA E DELLA BRIANZA,20200504,42,4815,LOMBARDIA,52
791,MONZA E DELLA BRIANZA,20200505,65,4880,LOMBARDIA,53
792,MONZA E DELLA BRIANZA,20200506,41,4921,LOMBARDIA,54
793,MONZA E DELLA BRIANZA,20200507,37,4958,LOMBARDIA,55
794,MONZA E DELLA BRIANZA,20200508,29,4987,LOMBARDIA,56
795,MONZA E DELLA BRIANZA,20200509,7,4994,LOMBARDIA,57
796,MONZA E DELLA BRIANZA,20200510,4,4998,LOMBARDIA,58
797,MONZA E DELLA BRIANZA,20200511,25,5023,LOMBARDIA,59
798,MONZA E DELLA BRIANZA,20200512,121,5144,LOMBARDIA,60
799,PAVIA,20200221,1,1,LOMBARDIA,61
800,PAVIA,20200222,1,2,LOMBARDIA,62
801,PAVIA,20200223,8,10,LOMBARDIA,63
802,PAVIA,20200224,5,15,LOMBARDIA,64
803,PAVIA,20200225,5,20,LOMBARDIA,65
804,PAVIA,20200226,16,36,LOMBARDIA,66
805,PAVIA,20200227,17,53,LOMBARDIA,67
806,PAVIA,20200228,12,65,LOMBARDIA,68
807,PAVIA,20200229,13,78,LOMBARDIA,69
808,PAVIA,20200301,11,89,LOMBARDIA,70
809,PAVIA,20200302,15,104,LOMBARDIA,71
810,PAVIA,20200303,26,130,LOMBARDIA,72
811,PAVIA,20200304,17,147,LOMBARDIA,73
812,PAVIA,20200305,25,172,LOMBARDIA,74
813,PAVIA,20200306,34,206,LOMBARDIA,75
814,PAVIA,20200307,27,233,LOMBARDIA,76
815,PAVIA,20200308,25,258,LOMBARDIA,77
816,PAVIA,20200309,71,329,LOMBARDIA,78
817,PAVIA,20200310,63,392,LOMBARDIA,79
818,PAVIA,20200311,73,465,LOMBARDIA,80
819,PAVIA,20200312,53,518,LOMBARDIA,81
820,PAVIA,20200313,70,588,LOMBARDIA,82
821,PAVIA,20200314,62,650,LOMBARDIA,83
822,PAVIA,20200315,54,704,LOMBARDIA,84
