OBJECTID,PROVINCIA,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
586,LODI,20200316,150,1319,LOMBARDIA,1
587,LODI,20200317,95,1414,LOMBARDIA,2
588,LODI,20200318,79,1493,LOMBARDIA,3
589,LODI,20200319,69,1562,LOMBARDIA,4
590,LODI,20200320,76,1638,LOMBARDIA,5
591,LODI,20200321,25,1663,LOMBARDIA,6
592,LODI,20200322,19,1682,LOMBARDIA,7
593,LODI,20200323,74,1756,LOMBARDIA,8
594,LODI,20200324,41,1797,LOMBARDIA,9
595,LODI,20200325,54,1851,LOMBARDIA,10
596,LODI,20200326,59,1910,LOMBARDIA,11
597,LODI,20200327,53,1963,LOMBARDIA,12
598,LODI,20200328,33,1996,LOMBARDIA,13
599,LODI,20200329,10,2006,LOMBARDIA,14
600,LODI,20200330,48,2054,LOMBARDIA,15
601,LODI,20200331,44,2098,LOMBARDIA,16
602,LODI,20200401,31,2129,LOMBARDIA,17
603,LODI,20200402,36,2165,LOMBARDIA,18
604,LODI,20200403,34,2199,LOMBARDIA,19
605,LODI,20200404,30,2229,LOMBARDIA,20
606,LODI,20200405,6,2235,LOMBARDIA,21
607,LODI,20200406,58,2293,LOMBARDIA,22
608,LODI,20200407,38,2331,LOMBARDIA,23
609,LODI,20200408,42,2373,LOMBARDIA,24
610,LODI,20200409,93,2466,LOMBARDIA,25
611,LODI,20200410,81,2547,LOMBARDIA,26
612,LODI,20200411,18,2565,LOMBARDIA,27
613,LODI,20200412,9,2574,LOMBARDIA,28
614,LODI,20200413,8,2582,LOMBARDIA,29
615,LODI,20200414,17,2599,LOMBARDIA,30
616,LODI,20200415,53,2652,LOMBARDIA,31
617,LODI,20200416,50,2702,LOMBARDIA,32
618,LODI,20200417,25,2727,LOMBARDIA,33
619,LODI,20200418,19,2746,LOMBARDIA,34
620,LODI,20200419,2,2748,LOMBARDIA,35
621,LODI,20200420,16,2764,LOMBARDIA,36
622,LODI,20200421,36,2800,LOMBARDIA,37
623,LODI,20200422,47,2847,LOMBARDIA,38
624,LODI,20200423,33,2880,LOMBARDIA,39
625,LODI,20200424,39,2919,LOMBARDIA,40
626,LODI,20200425,14,2933,LOMBARDIA,41
627,LODI,20200426,10,2943,LOMBARDIA,42
628,LODI,20200427,14,2957,LOMBARDIA,43
629,LODI,20200428,22,2979,LOMBARDIA,44
630,LODI,20200429,9,2988,LOMBARDIA,45
631,LODI,20200430,49,3037,LOMBARDIA,46
632,LODI,20200501,3,3040,LOMBARDIA,47
633,LODI,20200502,22,3062,LOMBARDIA,48
634,LODI,20200503,17,3079,LOMBARDIA,49
635,LODI,20200504,51,3130,LOMBARDIA,50
874,MONZA E DELLA BRIANZA,20200328,91,2297,LOMBARDIA,51
875,MONZA E DELLA BRIANZA,20200329,53,2350,LOMBARDIA,52
876,MONZA E DELLA BRIANZA,20200330,131,2481,LOMBARDIA,53
877,MONZA E DELLA BRIANZA,20200331,99,2580,LOMBARDIA,54
878,MONZA E DELLA BRIANZA,20200401,141,2721,LOMBARDIA,55
879,MONZA E DELLA BRIANZA,20200402,167,2888,LOMBARDIA,56
880,MONZA E DELLA BRIANZA,20200403,120,3008,LOMBARDIA,57
881,MONZA E DELLA BRIANZA,20200404,66,3074,LOMBARDIA,58
882,MONZA E DELLA BRIANZA,20200405,30,3104,LOMBARDIA,59
883,MONZA E DELLA BRIANZA,20200406,110,3214,LOMBARDIA,60
884,MONZA E DELLA BRIANZA,20200407,118,3332,LOMBARDIA,61
885,MONZA E DELLA BRIANZA,20200408,86,3418,LOMBARDIA,62
886,MONZA E DELLA BRIANZA,20200409,103,3521,LOMBARDIA,63
887,MONZA E DELLA BRIANZA,20200410,99,3620,LOMBARDIA,64
888,MONZA E DELLA BRIANZA,20200411,80,3700,LOMBARDIA,65
889,MONZA E DELLA BRIANZA,20200412,35,3735,LOMBARDIA,66
890,MONZA E DELLA BRIANZA,20200413,51,3786,LOMBARDIA,67
891,MONZA E DELLA BRIANZA,20200414,75,3861,LOMBARDIA,68
892,MONZA E DELLA BRIANZA,20200415,66,3927,LOMBARDIA,69
893,MONZA E DELLA BRIANZA,20200416,73,4000,LOMBARDIA,70
894,MONZA E DELLA BRIANZA,20200417,65,4065,LOMBARDIA,71
895,MONZA E DELLA BRIANZA,20200418,50,4115,LOMBARDIA,72
896,MONZA E DELLA BRIANZA,20200419,9,4124,LOMBARDIA,73
897,MONZA E DELLA BRIANZA,20200420,47,4171,LOMBARDIA,74
898,MONZA E DELLA BRIANZA,20200421,85,4256,LOMBARDIA,75
899,MONZA E DELLA BRIANZA,20200422,44,4300,LOMBARDIA,76
900,MONZA E DELLA BRIANZA,20200423,70,4370,LOMBARDIA,77
901,MONZA E DELLA BRIANZA,20200424,78,4448,LOMBARDIA,78
902,MONZA E DELLA BRIANZA,20200425,54,4502,LOMBARDIA,79
903,MONZA E DELLA BRIANZA,20200426,41,4543,LOMBARDIA,80
827,MILANO,20200514,98,22155,LOMBARDIA,81
904,MONZA E DELLA BRIANZA,20200427,41,4584,LOMBARDIA,82
905,MONZA E DELLA BRIANZA,20200428,42,4626,LOMBARDIA,83
906,MONZA E DELLA BRIANZA,20200429,56,4682,LOMBARDIA,84
907,MONZA E DELLA BRIANZA,20200430,43,4725,LOMBARDIA,85
908,MONZA E DELLA BRIANZA,20200501,29,4754,LOMBARDIA,86
909,MONZA E DELLA BRIANZA,20200502,11,4765,LOMBARDIA,87
910,MONZA E DELLA BRIANZA,20200503,14,4779,LOMBARDIA,88
911,MONZA E DELLA BRIANZA,20200504,42,4821,LOMBARDIA,89
912,MONZA E DELLA BRIANZA,20200505,66,4887,LOMBARDIA,90
913,MONZA E DELLA BRIANZA,20200506,42,4929,LOMBARDIA,91
914,MONZA E DELLA BRIANZA,20200507,38,4967,LOMBARDIA,92
915,MONZA E DELLA BRIANZA,20200508,29,4996,LOMBARDIA,93
916,MONZA E DELLA BRIANZA,20200509,10,5006,LOMBARDIA,94
917,MONZA E DELLA BRIANZA,20200510,4,5010,LOMBARDIA,95
918,MONZA E DELLA BRIANZA,20200511,33,5043,LOMBARDIA,96
919,MONZA E DELLA BRIANZA,20200512,35,5078,LOMBARDIA,97
920,MONZA E DELLA BRIANZA,20200513,29,5107,LOMBARDIA,98
921,MONZA E DELLA BRIANZA,20200514,48,5155,LOMBARDIA,99
922,MONZA E DELLA BRIANZA,20200515,34,5189,LOMBARDIA,100
923,MONZA E DELLA BRIANZA,20200516,29,5218,LOMBARDIA,101
828,MILANO,20200515,93,22248,LOMBARDIA,102
829,MILANO,20200516,50,22298,LOMBARDIA,103
830,MILANO,20200517,16,22314,LOMBARDIA,104
831,MILANO,20200518,103,22417,LOMBARDIA,105
832,MILANO,20200519,72,22489,LOMBARDIA,106
833,MILANO,20200520,90,22579,LOMBARDIA,107
834,MILANO,20200521,72,22651,LOMBARDIA,108
835,MILANO,20200522,81,22732,LOMBARDIA,109
836,MILANO,20200523,15,22747,LOMBARDIA,110
837,MILANO,20200524,10,22757,LOMBARDIA,111
838,MILANO,20200525,54,22811,LOMBARDIA,112
839,MILANO,20200526,18,22829,LOMBARDIA,113
1234,MILANO,20200527,19,22914,LOMBARDIA,114
840,MONZA E DELLA BRIANZA,20200221,1,1,LOMBARDIA,115
1207,MONZA E DELLA BRIANZA,20200222,0,1,LOMBARDIA,116
841,MONZA E DELLA BRIANZA,20200223,2,3,LOMBARDIA,117
