OBJECTID,PROVINCIA,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
689,MILANO,20200507,129,21316,LOMBARDIA,1
690,MILANO,20200508,44,21360,LOMBARDIA,2
691,MILANO,20200509,22,21382,LOMBARDIA,3
692,MONZA E DELLA BRIANZA,20200221,1,1,LOMBARDIA,4
693,MONZA E DELLA BRIANZA,20200223,2,3,LOMBARDIA,5
694,MONZA E DELLA BRIANZA,20200224,1,4,LOMBARDIA,6
695,MONZA E DELLA BRIANZA,20200226,1,5,LOMBARDIA,7
696,MONZA E DELLA BRIANZA,20200227,1,6,LOMBARDIA,8
697,MONZA E DELLA BRIANZA,20200228,2,8,LOMBARDIA,9
698,MONZA E DELLA BRIANZA,20200229,3,11,LOMBARDIA,10
699,MONZA E DELLA BRIANZA,20200301,2,13,LOMBARDIA,11
700,MONZA E DELLA BRIANZA,20200302,7,20,LOMBARDIA,12
701,MONZA E DELLA BRIANZA,20200303,12,32,LOMBARDIA,13
702,MONZA E DELLA BRIANZA,20200304,14,46,LOMBARDIA,14
703,MONZA E DELLA BRIANZA,20200305,15,61,LOMBARDIA,15
704,MONZA E DELLA BRIANZA,20200306,34,95,LOMBARDIA,16
705,MONZA E DELLA BRIANZA,20200307,20,115,LOMBARDIA,17
706,MONZA E DELLA BRIANZA,20200308,19,134,LOMBARDIA,18
707,MONZA E DELLA BRIANZA,20200309,40,174,LOMBARDIA,19
708,MONZA E DELLA BRIANZA,20200310,36,210,LOMBARDIA,20
709,MONZA E DELLA BRIANZA,20200311,59,269,LOMBARDIA,21
710,MONZA E DELLA BRIANZA,20200312,92,361,LOMBARDIA,22
711,MONZA E DELLA BRIANZA,20200313,86,447,LOMBARDIA,23
712,MONZA E DELLA BRIANZA,20200314,58,505,LOMBARDIA,24
713,MONZA E DELLA BRIANZA,20200315,74,579,LOMBARDIA,25
714,MONZA E DELLA BRIANZA,20200316,145,724,LOMBARDIA,26
715,MONZA E DELLA BRIANZA,20200317,122,846,LOMBARDIA,27
716,MONZA E DELLA BRIANZA,20200318,135,981,LOMBARDIA,28
717,MONZA E DELLA BRIANZA,20200319,93,1074,LOMBARDIA,29
718,MONZA E DELLA BRIANZA,20200320,177,1251,LOMBARDIA,30
719,MONZA E DELLA BRIANZA,20200321,63,1314,LOMBARDIA,31
720,MONZA E DELLA BRIANZA,20200322,63,1377,LOMBARDIA,32
721,MONZA E DELLA BRIANZA,20200323,149,1526,LOMBARDIA,33
722,MONZA E DELLA BRIANZA,20200324,177,1703,LOMBARDIA,34
723,MONZA E DELLA BRIANZA,20200325,180,1883,LOMBARDIA,35
724,MONZA E DELLA BRIANZA,20200326,149,2032,LOMBARDIA,36
