date,nuoviCasiGiornalieri
2020-02-20T00:00:00,2
2020-02-21T00:00:00,31
2020-02-22T00:00:00,32
2020-02-23T00:00:00,47
2020-02-24T00:00:00,60
2020-02-25T00:00:00,95
2020-02-26T00:00:00,116
2020-02-27T00:00:00,147
2020-02-28T00:00:00,204
2020-02-29T00:00:00,250
2020-03-01T00:00:00,282
2020-03-02T00:00:00,396
2020-03-03T00:00:00,477
2020-03-04T00:00:00,629
2020-03-05T00:00:00,789
2020-03-06T00:00:00,903
2020-03-07T00:00:00,700
2020-03-08T00:00:00,769
2020-03-09T00:00:00,1214
2020-03-10T00:00:00,1351
2020-03-11T00:00:00,1334
2020-03-12T00:00:00,1360
2020-03-13T00:00:00,1718
2020-03-14T00:00:00,1372
2020-03-15T00:00:00,1192
2020-03-16T00:00:00,2133
2020-03-17T00:00:00,2085
2020-03-18T00:00:00,2160
2020-03-19T00:00:00,2231
2020-03-20T00:00:00,2224
2020-03-21T00:00:00,1409
2020-03-22T00:00:00,1163
2020-03-23T00:00:00,2190
2020-03-24T00:00:00,2155
2020-03-25T00:00:00,2048
2020-03-26T00:00:00,2045
2020-03-27T00:00:00,1987
2020-03-28T00:00:00,1362
2020-03-29T00:00:00,755
2020-03-30T00:00:00,1760
2020-03-31T00:00:00,1537
2020-04-01T00:00:00,1812
2020-04-02T00:00:00,1624
2020-04-03T00:00:00,1617
2020-04-04T00:00:00,1080
2020-04-05T00:00:00,635
2020-04-06T00:00:00,1565
2020-04-07T00:00:00,1483
2020-04-08T00:00:00,1495
2020-04-09T00:00:00,1925
2020-04-10T00:00:00,2052
2020-04-11T00:00:00,1134
2020-04-12T00:00:00,552
2020-04-13T00:00:00,567
2020-04-14T00:00:00,1148
2020-04-15T00:00:00,1382
2020-04-16T00:00:00,1254
2020-04-17T00:00:00,1305
2020-04-18T00:00:00,752
2020-04-19T00:00:00,388
2020-04-20T00:00:00,1154
2020-04-21T00:00:00,1073
2020-04-22T00:00:00,966
2020-04-23T00:00:00,1208
2020-04-24T00:00:00,1020
2020-04-25T00:00:00,496
2020-04-26T00:00:00,228
2020-04-27T00:00:00,924
2020-04-28T00:00:00,868
2020-04-29T00:00:00,1049
2020-04-30T00:00:00,1019
2020-05-01T00:00:00,258
2020-05-02T00:00:00,288
2020-05-03T00:00:00,115
2020-05-04T00:00:00,707
2020-05-05T00:00:00,759
2020-05-06T00:00:00,714
2020-05-07T00:00:00,686
2020-05-08T00:00:00,659
2020-05-09T00:00:00,247
2020-05-10T00:00:00,88
2020-05-11T00:00:00,455
2020-05-12T00:00:00,414
2020-05-13T00:00:00,415
2020-05-14T00:00:00,393
2020-05-15T00:00:00,351
2020-05-16T00:00:00,284
2020-05-17T00:00:00,87
2020-05-18T00:00:00,319
2020-05-19T00:00:00,360
2020-05-20T00:00:00,371
2020-05-21T00:00:00,346
2020-05-22T00:00:00,433
2020-05-23T00:00:00,162
2020-05-24T00:00:00,63
2020-05-25T00:00:00,288
2020-05-26T00:00:00,316
2020-05-27T00:00:00,343
2020-05-28T00:00:00,315
2020-05-29T00:00:00,219
2020-05-30T00:00:00,170
2020-05-31T00:00:00,25
2020-06-01T00:00:00,235
2020-06-02T00:00:00,31
2020-06-03T00:00:00,249
2020-06-04T00:00:00,243
2020-06-05T00:00:00,251
2020-06-06T00:00:00,119
2020-06-07T00:00:00,35
2020-06-08T00:00:00,174
2020-06-09T00:00:00,249
2020-06-10T00:00:00,241
2020-06-11T00:00:00,320
2020-06-12T00:00:00,279
2020-06-13T00:00:00,123
2020-06-14T00:00:00,40
2020-06-15T00:00:00,192
2020-06-16T00:00:00,168
2020-06-17T00:00:00,202
2020-06-18T00:00:00,135
2020-06-19T00:00:00,188
2020-06-20T00:00:00,60
2020-06-21T00:00:00,12
2020-06-22T00:00:00,168
2020-06-23T00:00:00,149
2020-06-24T00:00:00,117
2020-06-25T00:00:00,100
2020-06-26T00:00:00,105
2020-06-27T00:00:00,44
2020-06-28T00:00:00,27
2020-06-29T00:00:00,134
2020-06-30T00:00:00,95
2020-07-01T00:00:00,121
2020-07-02T00:00:00,128
2020-07-03T00:00:00,107
2020-07-04T00:00:00,102
2020-07-05T00:00:00,21
2020-07-06T00:00:00,129
2020-07-07T00:00:00,94
2020-07-08T00:00:00,117
2020-07-09T00:00:00,99
2020-07-10T00:00:00,105
2020-07-11T00:00:00,59
2020-07-12T00:00:00,11
2020-07-13T00:00:00,62
2020-07-14T00:00:00,78
2020-07-15T00:00:00,75
2020-07-16T00:00:00,66
2020-07-17T00:00:00,84
2020-07-18T00:00:00,49
2020-07-19T00:00:00,15
2020-07-20T00:00:00,70
2020-07-21T00:00:00,69
2020-07-22T00:00:00,61
2020-07-23T00:00:00,89
2020-07-24T00:00:00,82
2020-07-25T00:00:00,36
2020-07-26T00:00:00,15
2020-07-27T00:00:00,80
2020-07-28T00:00:00,69
2020-07-29T00:00:00,84
2020-07-30T00:00:00,49
2020-07-31T00:00:00,60
2020-08-01T00:00:00,34
2020-08-02T00:00:00,17
2020-08-03T00:00:00,169
2020-08-04T00:00:00,74
2020-08-05T00:00:00,82
2020-08-06T00:00:00,84
2020-08-07T00:00:00,81
2020-08-08T00:00:00,58
2020-08-09T00:00:00,21
2020-08-10T00:00:00,99
2020-08-11T00:00:00,95
2020-08-12T00:00:00,94
2020-08-13T00:00:00,98
2020-08-14T00:00:00,104
2020-08-15T00:00:00,19
2020-08-16T00:00:00,19
2020-08-17T00:00:00,146
2020-08-18T00:00:00,147
2020-08-19T00:00:00,167
2020-08-20T00:00:00,203
2020-08-21T00:00:00,274
2020-08-22T00:00:00,149
2020-08-23T00:00:00,52
2020-08-24T00:00:00,336
2020-08-25T00:00:00,343
2020-08-26T00:00:00,293
2020-08-27T00:00:00,351
2020-08-28T00:00:00,262
2020-08-29T00:00:00,157
2020-08-30T00:00:00,83
2020-08-31T00:00:00,314
2020-09-01T00:00:00,279
2020-09-02T00:00:00,337
2020-09-03T00:00:00,288
2020-09-04T00:00:00,293
2020-09-05T00:00:00,150
2020-09-06T00:00:00,63
2020-09-07T00:00:00,276
2020-09-08T00:00:00,242
2020-09-09T00:00:00,256
2020-09-10T00:00:00,246
2020-09-11T00:00:00,243
2020-09-12T00:00:00,142
2020-09-13T00:00:00,52
2020-09-14T00:00:00,222
2020-09-15T00:00:00,231
2020-09-16T00:00:00,213
2020-09-17T00:00:00,305
2020-09-18T00:00:00,271
2020-09-19T00:00:00,170
2020-09-20T00:00:00,35
2020-09-21T00:00:00,230
2020-09-22T00:00:00,228
2020-09-23T00:00:00,263
2020-09-24T00:00:00,321
2020-09-25T00:00:00,275
2020-09-26T00:00:00,140
2020-09-27T00:00:00,54
2020-09-28T00:00:00,273
2020-09-29T00:00:00,285
2020-09-30T00:00:00,347
2020-10-01T00:00:00,418
2020-10-02T00:00:00,436
2020-10-03T00:00:00,378
2020-10-04T00:00:00,87
2020-10-05T00:00:00,689
2020-10-06T00:00:00,833
