date,nuoviCasiGiornalieri
2020-12-11T00:00:00,190
2020-12-12T00:00:00,144
2020-12-13T00:00:00,10
2020-12-14T00:00:00,232
2020-12-15T00:00:00,168
2020-12-16T00:00:00,162
2020-12-17T00:00:00,123
2020-12-18T00:00:00,160
2020-12-19T00:00:00,101
2020-12-20T00:00:00,15
2020-12-21T00:00:00,176
2020-12-22T00:00:00,167
2020-12-23T00:00:00,232
2020-12-24T00:00:00,165
2020-12-25T00:00:00,13
2020-12-26T00:00:00,78
2020-12-27T00:00:00,49
2020-12-28T00:00:00,267
2020-12-29T00:00:00,289
2020-12-30T00:00:00,306
2020-12-31T00:00:00,186
2021-01-01T00:00:00,13
2021-01-02T00:00:00,239
2021-01-03T00:00:00,12
2021-01-04T00:00:00,334
2021-01-05T00:00:00,301
2021-01-06T00:00:00,7
2021-01-07T00:00:00,322
2021-01-08T00:00:00,336
2021-01-09T00:00:00,153
2021-01-10T00:00:00,14
2021-01-11T00:00:00,300
2021-01-12T00:00:00,238
2021-01-13T00:00:00,219
2021-01-14T00:00:00,243
2021-01-15T00:00:00,230
2021-01-16T00:00:00,171
2021-01-17T00:00:00,14
2021-01-18T00:00:00,307
2021-01-19T00:00:00,303
2021-01-20T00:00:00,295
2021-01-21T00:00:00,297
2021-01-22T00:00:00,322
2021-01-23T00:00:00,196
2021-01-24T00:00:00,23
2021-01-25T00:00:00,447
2021-01-26T00:00:00,397
2021-01-27T00:00:00,326
2021-01-28T00:00:00,336
2021-01-29T00:00:00,255
2021-01-30T00:00:00,277
2021-01-31T00:00:00,59
2021-02-01T00:00:00,434
2021-02-02T00:00:00,429
2021-02-03T00:00:00,424
2021-02-04T00:00:00,381
2021-02-05T00:00:00,399
2021-02-06T00:00:00,391
2021-02-07T00:00:00,51
2021-02-08T00:00:00,537
2021-02-09T00:00:00,426
2021-02-10T00:00:00,430
2021-02-11T00:00:00,391
2021-02-12T00:00:00,339
2021-02-13T00:00:00,253
2021-02-14T00:00:00,30
2021-02-15T00:00:00,381
2021-02-16T00:00:00,392
2021-02-17T00:00:00,316
2021-02-18T00:00:00,371
2021-02-19T00:00:00,322
2021-02-20T00:00:00,236
2021-02-21T00:00:00,42
2021-02-22T00:00:00,363
2021-02-23T00:00:00,268
2021-02-24T00:00:00,277
2021-02-25T00:00:00,288
2021-02-26T00:00:00,271
2021-02-27T00:00:00,178
2021-02-28T00:00:00,27
2021-03-01T00:00:00,299
2021-03-02T00:00:00,277
2021-03-03T00:00:00,294
2021-03-04T00:00:00,247
2021-03-05T00:00:00,292
2021-03-06T00:00:00,170
2021-03-07T00:00:00,22
2021-03-08T00:00:00,300
2021-03-09T00:00:00,300
2021-03-10T00:00:00,249
2021-03-11T00:00:00,243
2021-03-12T00:00:00,235
2021-03-13T00:00:00,191
2021-03-14T00:00:00,23
2021-03-15T00:00:00,296
2021-03-16T00:00:00,216
2021-03-17T00:00:00,169
2021-03-18T00:00:00,219
2021-03-19T00:00:00,167
2021-03-20T00:00:00,172
2021-03-21T00:00:00,10
2021-03-22T00:00:00,212
2021-03-23T00:00:00,258
2021-03-24T00:00:00,175
2021-03-25T00:00:00,237
2021-03-26T00:00:00,230
2021-03-27T00:00:00,140
2021-03-28T00:00:00,13
2021-03-29T00:00:00,235
2021-03-30T00:00:00,165
2021-03-31T00:00:00,196
2021-04-01T00:00:00,134
2021-04-02T00:00:00,155
2021-04-03T00:00:00,127
2021-04-04T00:00:00,14
2021-04-05T00:00:00,82
2021-04-06T00:00:00,185
2021-04-07T00:00:00,150
2021-04-08T00:00:00,185
2021-04-09T00:00:00,172
2021-04-10T00:00:00,110
2021-04-11T00:00:00,3
2021-04-12T00:00:00,146
2021-04-13T00:00:00,146
2021-04-14T00:00:00,129
2021-04-15T00:00:00,89
2021-04-16T00:00:00,133
2021-04-17T00:00:00,96
2021-04-18T00:00:00,9
2021-04-19T00:00:00,122
2021-04-20T00:00:00,115
2021-04-21T00:00:00,133
2021-04-22T00:00:00,129
2021-04-23T00:00:00,127
2021-04-24T00:00:00,89
2021-04-25T00:00:00,3
2021-04-26T00:00:00,146
2021-04-27T00:00:00,102
2021-04-28T00:00:00,157
2021-04-29T00:00:00,115
2021-04-30T00:00:00,118
2021-05-01T00:00:00,45
2021-05-02T00:00:00,9
2021-05-03T00:00:00,123
2021-05-04T00:00:00,119
2021-05-05T00:00:00,107
2021-05-06T00:00:00,108
2021-05-07T00:00:00,105
2021-05-08T00:00:00,84
2021-05-09T00:00:00,7
2021-05-10T00:00:00,109
2021-05-11T00:00:00,109
2021-05-12T00:00:00,107
2021-05-13T00:00:00,73
2021-05-14T00:00:00,63
2021-05-15T00:00:00,56
2021-05-16T00:00:00,5
2021-05-17T00:00:00,69
2021-05-18T00:00:00,57
2021-05-19T00:00:00,42
2021-05-20T00:00:00,47
2021-05-21T00:00:00,37
2021-05-22T00:00:00,38
2021-05-23T00:00:00,1
2021-05-24T00:00:00,53
2021-05-25T00:00:00,31
2021-05-26T00:00:00,24
2021-05-27T00:00:00,65
2021-05-28T00:00:00,41
2021-05-29T00:00:00,44
2021-05-30T00:00:00,3
2021-05-31T00:00:00,38
2021-06-01T00:00:00,26
2021-06-02T00:00:00,0
2021-06-03T00:00:00,38
2021-06-04T00:00:00,32
2021-06-05T00:00:00,19
2021-06-06T00:00:00,2
2021-06-07T00:00:00,31
2021-06-08T00:00:00,22
2021-06-09T00:00:00,29
2021-06-10T00:00:00,15
2021-06-11T00:00:00,22
2021-06-12T00:00:00,11
2021-06-13T00:00:00,6
2021-06-14T00:00:00,18
2021-06-15T00:00:00,13
2021-06-16T00:00:00,20
2021-06-17T00:00:00,12
2021-06-18T00:00:00,7
2021-06-19T00:00:00,32
2021-06-20T00:00:00,2
2021-06-21T00:00:00,17
2021-06-22T00:00:00,8
