date,regione,ricoveri,sintomatici,terapia_intensiva
2020-02-24T00:00:00,abruzzo,,1,
2020-02-25T00:00:00,abruzzo,,0,
2020-02-26T00:00:00,abruzzo,1,0,
2020-02-27T00:00:00,abruzzo,0,0,
2020-02-28T00:00:00,abruzzo,0,0,
2020-02-29T00:00:00,abruzzo,0,1,
2020-03-01T00:00:00,abruzzo,0,2,
2020-03-02T00:00:00,abruzzo,0,1,
2020-03-03T00:00:00,abruzzo,0,2,
2020-03-04T00:00:00,abruzzo,0,2,
2020-03-05T00:00:00,abruzzo,0,4,
2020-03-06T00:00:00,abruzzo,0,3,
2020-03-07T00:00:00,abruzzo,0,4,
2020-03-08T00:00:00,abruzzo,1,4,
2020-03-09T00:00:00,abruzzo,0,7,
2020-03-10T00:00:00,abruzzo,1,7,1
2020-03-11T00:00:00,abruzzo,1,8,0
2020-03-12T00:00:00,abruzzo,0,6,0
2020-03-13T00:00:00,abruzzo,1,11,0
2020-03-14T00:00:00,abruzzo,0,5,0
2020-03-15T00:00:00,abruzzo,0,8,1
2020-03-16T00:00:00,abruzzo,3,16,0
2020-03-17T00:00:00,abruzzo,2,10,0
2020-03-18T00:00:00,abruzzo,2,6,0
2020-03-19T00:00:00,abruzzo,2,7,0
2020-03-20T00:00:00,abruzzo,0,17,1
2020-03-21T00:00:00,abruzzo,2,8,0
2020-03-22T00:00:00,abruzzo,1,11,0
2020-03-23T00:00:00,abruzzo,2,16,0
2020-03-24T00:00:00,abruzzo,3,14,0
2020-03-25T00:00:00,abruzzo,2,10,0
2020-03-26T00:00:00,abruzzo,0,2,0
2020-03-27T00:00:00,abruzzo,1,6,0
2020-03-28T00:00:00,abruzzo,1,7,0
2020-03-29T00:00:00,abruzzo,0,4,0
2020-03-30T00:00:00,abruzzo,0,13,1
2020-03-31T00:00:00,abruzzo,4,7,0
2020-04-01T00:00:00,abruzzo,3,4,0
2020-04-02T00:00:00,abruzzo,2,7,0
2020-04-03T00:00:00,abruzzo,2,3,0
2020-04-04T00:00:00,abruzzo,1,8,0
2020-04-05T00:00:00,abruzzo,0,3,0
2020-04-06T00:00:00,abruzzo,2,7,0
2020-04-07T00:00:00,abruzzo,3,5,0
2020-04-08T00:00:00,abruzzo,1,6,0
2020-04-09T00:00:00,abruzzo,1,7,0
2020-04-10T00:00:00,abruzzo,1,4,1
2020-04-11T00:00:00,abruzzo,1,6,0
2020-04-12T00:00:00,abruzzo,1,5,0
2020-04-13T00:00:00,abruzzo,0,6,0
2020-04-14T00:00:00,abruzzo,0,3,0
2020-04-15T00:00:00,abruzzo,0,6,0
2020-04-16T00:00:00,abruzzo,1,1,0
2020-04-17T00:00:00,abruzzo,1,5,0
2020-04-18T00:00:00,abruzzo,2,2,0
2020-04-19T00:00:00,abruzzo,1,1,0
