date,regione,deceduti,ricoveri,sintomatici,terapia_intensiva
2020-02-12T00:00:00,abruzzo,,,1,
2020-02-13T00:00:00,abruzzo,,,0,
2020-02-14T00:00:00,abruzzo,,,0,
2020-02-15T00:00:00,abruzzo,,,1,
2020-02-16T00:00:00,abruzzo,,,1,
2020-02-17T00:00:00,abruzzo,,,0,
2020-02-18T00:00:00,abruzzo,,,0,
2020-02-19T00:00:00,abruzzo,,,0,
2020-02-20T00:00:00,abruzzo,,,0,
2020-02-21T00:00:00,abruzzo,,,0,
2020-02-22T00:00:00,abruzzo,,1,1,1
2020-02-23T00:00:00,abruzzo,,2,0,0
2020-02-24T00:00:00,abruzzo,,0,4,0
2020-02-25T00:00:00,abruzzo,,1,0,0
2020-02-26T00:00:00,abruzzo,,2,5,0
2020-02-27T00:00:00,abruzzo,,0,2,0
2020-02-28T00:00:00,abruzzo,,6,6,0
2020-02-29T00:00:00,abruzzo,,6,3,0
2020-03-01T00:00:00,abruzzo,,1,14,0
2020-03-02T00:00:00,abruzzo,,1,14,0
2020-03-03T00:00:00,abruzzo,,1,19,0
2020-03-04T00:00:00,abruzzo,1,4,17,0
2020-03-05T00:00:00,abruzzo,0,2,24,0
2020-03-06T00:00:00,abruzzo,0,4,30,0
2020-03-07T00:00:00,abruzzo,0,9,35,2
2020-03-08T00:00:00,abruzzo,0,6,52,0
2020-03-09T00:00:00,abruzzo,0,15,51,0
2020-03-10T00:00:00,abruzzo,1,11,85,3
2020-03-11T00:00:00,abruzzo,0,16,56,2
2020-03-12T00:00:00,abruzzo,0,12,72,3
2020-03-13T00:00:00,abruzzo,1,19,73,2
2020-03-14T00:00:00,abruzzo,0,22,65,1
2020-03-15T00:00:00,abruzzo,0,24,94,5
2020-03-16T00:00:00,abruzzo,1,31,72,3
2020-03-17T00:00:00,abruzzo,3,35,57,5
2020-03-18T00:00:00,abruzzo,2,30,59,4
2020-03-19T00:00:00,abruzzo,2,26,57,5
2020-03-20T00:00:00,abruzzo,3,28,89,11
2020-03-21T00:00:00,abruzzo,4,27,48,2
2020-03-22T00:00:00,abruzzo,5,32,63,4
2020-03-23T00:00:00,abruzzo,11,31,57,4
2020-03-24T00:00:00,abruzzo,7,32,40,6
2020-03-25T00:00:00,abruzzo,9,22,38,2
2020-03-26T00:00:00,abruzzo,5,29,33,7
2020-03-27T00:00:00,abruzzo,3,22,37,5
2020-03-28T00:00:00,abruzzo,9,17,39,5
2020-03-29T00:00:00,abruzzo,7,10,18,0
2020-03-30T00:00:00,abruzzo,3,10,39,6
2020-03-31T00:00:00,abruzzo,8,16,29,4
2020-04-01T00:00:00,abruzzo,4,16,37,1
2020-04-02T00:00:00,abruzzo,5,15,22,0
2020-04-03T00:00:00,abruzzo,7,13,20,1
2020-04-04T00:00:00,abruzzo,6,5,23,2
2020-04-05T00:00:00,abruzzo,4,8,14,1
2020-04-06T00:00:00,abruzzo,5,5,21,1
2020-04-07T00:00:00,abruzzo,2,11,14,1
2020-04-08T00:00:00,abruzzo,4,12,19,0
2020-04-09T00:00:00,abruzzo,3,6,26,2
2020-04-10T00:00:00,abruzzo,2,10,18,3
2020-04-11T00:00:00,abruzzo,3,11,16,2
2020-04-12T00:00:00,abruzzo,3,7,11,2
2020-04-13T00:00:00,abruzzo,4,4,15,0
2020-04-14T00:00:00,abruzzo,1,2,12,1
2020-04-15T00:00:00,abruzzo,2,8,20,0
2020-04-16T00:00:00,abruzzo,1,5,11,0
2020-04-17T00:00:00,abruzzo,3,6,8,0
2020-04-18T00:00:00,abruzzo,2,6,12,0
2020-04-19T00:00:00,abruzzo,2,3,3,1
2020-04-20T00:00:00,abruzzo,4,11,14,0
2020-04-21T00:00:00,abruzzo,3,3,4,1
2020-04-22T00:00:00,abruzzo,3,3,8,1
2020-04-23T00:00:00,abruzzo,3,8,5,0
2020-04-24T00:00:00,abruzzo,2,5,5,0
2020-04-25T00:00:00,abruzzo,2,2,2,0
2020-04-26T00:00:00,abruzzo,2,2,1,0
2020-04-27T00:00:00,abruzzo,1,0,6,0
2020-04-28T00:00:00,abruzzo,2,3,6,1
2020-04-29T00:00:00,abruzzo,4,3,4,0
2020-04-30T00:00:00,abruzzo,2,3,9,0
2020-05-01T00:00:00,abruzzo,1,1,2,0
2020-05-02T00:00:00,abruzzo,0,4,8,0
2020-05-03T00:00:00,abruzzo,1,1,3,0
2020-05-04T00:00:00,abruzzo,0,2,5,1
2020-05-05T00:00:00,abruzzo,3,0,6,0
2020-05-06T00:00:00,abruzzo,2,4,3,0
2020-05-07T00:00:00,abruzzo,3,0,1,0
2020-05-08T00:00:00,abruzzo,2,2,4,0
2020-05-09T00:00:00,abruzzo,0,1,1,0
2020-05-10T00:00:00,abruzzo,3,1,7,1
2020-05-11T00:00:00,abruzzo,2,0,5,0
2020-05-12T00:00:00,abruzzo,0,1,6,0
2020-05-13T00:00:00,abruzzo,1,0,0,0
2020-05-14T00:00:00,abruzzo,0,2,5,0
2020-05-15T00:00:00,abruzzo,0,3,3,0
2020-05-16T00:00:00,abruzzo,1,0,2,0
2020-05-17T00:00:00,abruzzo,2,1,0,0
2020-05-18T00:00:00,abruzzo,0,1,4,0
2020-05-19T00:00:00,abruzzo,0,0,5,0
2020-05-20T00:00:00,abruzzo,2,0,1,0
2020-05-21T00:00:00,abruzzo,0,0,2,0
2020-05-22T00:00:00,abruzzo,1,1,1,0
2020-05-23T00:00:00,abruzzo,2,0,1,0
2020-05-24T00:00:00,abruzzo,0,1,1,0
2020-05-25T00:00:00,abruzzo,0,0,2,0
2020-05-26T00:00:00,abruzzo,0,0,0,0
