date,regione,deceduti,ricoveri,sintomatici,terapia_intensiva
2020-02-18T00:00:00,abruzzo,,,1,
2020-02-19T00:00:00,abruzzo,,,0,
2020-02-20T00:00:00,abruzzo,,,0,
2020-02-21T00:00:00,abruzzo,,,0,
2020-02-22T00:00:00,abruzzo,,,0,
2020-02-23T00:00:00,abruzzo,,,0,
2020-02-24T00:00:00,abruzzo,,2,1,
2020-02-25T00:00:00,abruzzo,,1,0,
2020-02-26T00:00:00,abruzzo,,2,2,
2020-02-27T00:00:00,abruzzo,,0,1,
2020-02-28T00:00:00,abruzzo,,1,0,
2020-02-29T00:00:00,abruzzo,,0,1,
2020-03-01T00:00:00,abruzzo,,3,4,
2020-03-02T00:00:00,abruzzo,,2,0,
2020-03-03T00:00:00,abruzzo,,1,3,
2020-03-04T00:00:00,abruzzo,,2,1,
2020-03-05T00:00:00,abruzzo,,1,2,
2020-03-06T00:00:00,abruzzo,,0,5,
2020-03-07T00:00:00,abruzzo,,3,1,
2020-03-08T00:00:00,abruzzo,,4,0,
2020-03-09T00:00:00,abruzzo,,3,12,
2020-03-10T00:00:00,abruzzo,,2,14,
2020-03-11T00:00:00,abruzzo,,5,9,
2020-03-12T00:00:00,abruzzo,,3,9,1
2020-03-13T00:00:00,abruzzo,1,5,10,0
2020-03-14T00:00:00,abruzzo,1,4,7,0
2020-03-15T00:00:00,abruzzo,1,4,8,0
2020-03-16T00:00:00,abruzzo,0,7,6,0
2020-03-17T00:00:00,abruzzo,2,16,7,1
2020-03-18T00:00:00,abruzzo,2,6,6,0
2020-03-19T00:00:00,abruzzo,4,3,7,0
2020-03-20T00:00:00,abruzzo,8,12,7,0
2020-03-21T00:00:00,abruzzo,4,8,6,0
2020-03-22T00:00:00,abruzzo,2,3,11,0
2020-03-23T00:00:00,abruzzo,4,6,8,0
2020-03-24T00:00:00,abruzzo,1,8,7,0
2020-03-25T00:00:00,abruzzo,5,12,9,1
2020-03-26T00:00:00,abruzzo,4,5,4,2
2020-03-27T00:00:00,abruzzo,8,14,9,0
2020-03-28T00:00:00,abruzzo,4,11,8,0
2020-03-29T00:00:00,abruzzo,4,6,1,0
2020-03-30T00:00:00,abruzzo,4,3,3,0
2020-03-31T00:00:00,abruzzo,8,6,4,0
2020-04-01T00:00:00,abruzzo,6,8,13,1
2020-04-02T00:00:00,abruzzo,2,5,8,1
2020-04-03T00:00:00,abruzzo,2,12,4,1
2020-04-04T00:00:00,abruzzo,4,10,11,0
2020-04-05T00:00:00,abruzzo,7,9,8,0
2020-04-06T00:00:00,abruzzo,1,5,5,0
2020-04-07T00:00:00,abruzzo,6,4,2,2
2020-04-08T00:00:00,abruzzo,2,5,11,0
2020-04-09T00:00:00,abruzzo,3,12,7,0
2020-04-10T00:00:00,abruzzo,4,8,9,0
2020-04-11T00:00:00,abruzzo,5,8,6,0
2020-04-12T00:00:00,abruzzo,7,6,4,0
2020-04-13T00:00:00,abruzzo,0,5,12,0
2020-04-14T00:00:00,abruzzo,9,7,5,0
2020-04-15T00:00:00,abruzzo,2,2,11,0
2020-04-16T00:00:00,abruzzo,3,4,7,1
2020-04-17T00:00:00,abruzzo,5,8,13,0
2020-04-18T00:00:00,abruzzo,4,8,10,0
2020-04-19T00:00:00,abruzzo,3,7,8,0
2020-04-20T00:00:00,abruzzo,3,9,7,0
2020-04-21T00:00:00,abruzzo,4,11,6,0
2020-04-22T00:00:00,abruzzo,4,10,13,0
2020-04-23T00:00:00,abruzzo,0,9,7,0
2020-04-24T00:00:00,abruzzo,3,12,6,0
2020-04-25T00:00:00,abruzzo,4,1,0,0
2020-04-26T00:00:00,abruzzo,2,2,5,0
2020-04-27T00:00:00,abruzzo,9,2,4,0
