date,regione,ricoveri,sintomatici,terapia_intensiva
2020-02-12T00:00:00,abruzzo,,1,
2020-02-13T00:00:00,abruzzo,,0,
2020-02-14T00:00:00,abruzzo,,0,
2020-02-15T00:00:00,abruzzo,,1,
2020-02-16T00:00:00,abruzzo,,0,
2020-02-17T00:00:00,abruzzo,,0,
2020-02-18T00:00:00,abruzzo,,1,
2020-02-19T00:00:00,abruzzo,,0,
2020-02-20T00:00:00,abruzzo,,0,
2020-02-21T00:00:00,abruzzo,,0,
2020-02-22T00:00:00,abruzzo,,0,
2020-02-23T00:00:00,abruzzo,2,0,
2020-02-24T00:00:00,abruzzo,1,4,
2020-02-25T00:00:00,abruzzo,1,0,
2020-02-26T00:00:00,abruzzo,2,2,
2020-02-27T00:00:00,abruzzo,0,3,
2020-02-28T00:00:00,abruzzo,4,6,
2020-02-29T00:00:00,abruzzo,5,2,
2020-03-01T00:00:00,abruzzo,1,12,
2020-03-02T00:00:00,abruzzo,2,12,
2020-03-03T00:00:00,abruzzo,2,19,
2020-03-04T00:00:00,abruzzo,5,13,
2020-03-05T00:00:00,abruzzo,3,13,
2020-03-06T00:00:00,abruzzo,2,23,
2020-03-07T00:00:00,abruzzo,8,22,1
2020-03-08T00:00:00,abruzzo,7,36,0
2020-03-09T00:00:00,abruzzo,17,48,0
2020-03-10T00:00:00,abruzzo,10,72,2
2020-03-11T00:00:00,abruzzo,14,40,1
2020-03-12T00:00:00,abruzzo,11,55,1
2020-03-13T00:00:00,abruzzo,18,55,0
2020-03-14T00:00:00,abruzzo,19,51,1
2020-03-15T00:00:00,abruzzo,20,77,2
2020-03-16T00:00:00,abruzzo,29,47,2
2020-03-17T00:00:00,abruzzo,38,38,5
2020-03-18T00:00:00,abruzzo,22,45,2
2020-03-19T00:00:00,abruzzo,19,38,3
2020-03-20T00:00:00,abruzzo,28,60,5
2020-03-21T00:00:00,abruzzo,28,35,2
2020-03-22T00:00:00,abruzzo,22,52,2
2020-03-23T00:00:00,abruzzo,21,35,2
2020-03-24T00:00:00,abruzzo,25,25,3
2020-03-25T00:00:00,abruzzo,19,31,1
2020-03-26T00:00:00,abruzzo,25,30,8
2020-03-27T00:00:00,abruzzo,28,33,2
2020-03-28T00:00:00,abruzzo,18,36,3
2020-03-29T00:00:00,abruzzo,11,12,0
2020-03-30T00:00:00,abruzzo,8,26,3
2020-03-31T00:00:00,abruzzo,13,20,3
2020-04-01T00:00:00,abruzzo,18,41,0
2020-04-02T00:00:00,abruzzo,15,21,1
2020-04-03T00:00:00,abruzzo,20,17,1
2020-04-04T00:00:00,abruzzo,12,24,2
2020-04-05T00:00:00,abruzzo,15,18,0
2020-04-06T00:00:00,abruzzo,6,17,1
2020-04-07T00:00:00,abruzzo,10,10,3
2020-04-08T00:00:00,abruzzo,13,19,0
2020-04-09T00:00:00,abruzzo,15,22,1
2020-04-10T00:00:00,abruzzo,16,21,2
2020-04-11T00:00:00,abruzzo,12,14,2
2020-04-12T00:00:00,abruzzo,10,8,1
2020-04-13T00:00:00,abruzzo,8,21,0
2020-04-14T00:00:00,abruzzo,8,14,1
2020-04-15T00:00:00,abruzzo,6,21,0
2020-04-16T00:00:00,abruzzo,6,15,1
2020-04-17T00:00:00,abruzzo,12,15,0
2020-04-18T00:00:00,abruzzo,11,17,0
2020-04-19T00:00:00,abruzzo,8,10,1
2020-04-20T00:00:00,abruzzo,14,13,0
2020-04-21T00:00:00,abruzzo,13,9,1
2020-04-22T00:00:00,abruzzo,11,19,1
2020-04-23T00:00:00,abruzzo,14,10,0
2020-04-24T00:00:00,abruzzo,15,11,0
2020-04-25T00:00:00,abruzzo,2,0,0
2020-04-26T00:00:00,abruzzo,4,6,0
2020-04-27T00:00:00,abruzzo,2,9,0
2020-04-28T00:00:00,abruzzo,3,8,1
2020-04-29T00:00:00,abruzzo,7,8,0
2020-04-30T00:00:00,abruzzo,4,11,0
2020-05-01T00:00:00,abruzzo,5,4,0
2020-05-02T00:00:00,abruzzo,5,7,0
2020-05-03T00:00:00,abruzzo,1,2,0
2020-05-04T00:00:00,abruzzo,3,5,1
2020-05-05T00:00:00,abruzzo,3,7,0
2020-05-06T00:00:00,abruzzo,3,3,0
2020-05-07T00:00:00,abruzzo,0,2,0
2020-05-08T00:00:00,abruzzo,3,4,0
2020-05-09T00:00:00,abruzzo,2,3,0
2020-05-10T00:00:00,abruzzo,0,5,0
2020-05-11T00:00:00,abruzzo,1,5,0
2020-05-12T00:00:00,abruzzo,2,7,0
2020-05-13T00:00:00,abruzzo,1,0,0
2020-05-14T00:00:00,abruzzo,1,5,0
2020-05-15T00:00:00,abruzzo,3,4,0
2020-05-16T00:00:00,abruzzo,0,2,0
2020-05-17T00:00:00,abruzzo,2,0,0
2020-05-18T00:00:00,abruzzo,2,4,0
2020-05-19T00:00:00,abruzzo,0,6,0
2020-05-20T00:00:00,abruzzo,0,1,0
2020-05-21T00:00:00,abruzzo,1,3,0
2020-05-22T00:00:00,abruzzo,2,1,0
2020-05-23T00:00:00,abruzzo,0,0,0
2020-05-24T00:00:00,abruzzo,1,1,0
2020-05-25T00:00:00,abruzzo,1,1,0
2020-05-26T00:00:00,abruzzo,0,1,0
2020-05-27T00:00:00,abruzzo,0,2,0
2020-05-28T00:00:00,abruzzo,0,2,0
2020-05-29T00:00:00,abruzzo,0,2,0
2020-05-30T00:00:00,abruzzo,0,0,0
2020-05-31T00:00:00,abruzzo,1,1,0
2020-06-01T00:00:00,abruzzo,1,0,0
2020-06-02T00:00:00,abruzzo,1,0,0
2020-06-03T00:00:00,abruzzo,1,0,0
