date,regione,deceduti,positivi,ricoveri,terapia_intensiva
2020-02-22T00:00:00,abruzzo,,,1,1
2020-02-23T00:00:00,abruzzo,,,2,0
2020-02-24T00:00:00,abruzzo,,1,2,0
2020-02-25T00:00:00,abruzzo,,0,2,0
2020-02-26T00:00:00,abruzzo,,1,4,0
2020-02-27T00:00:00,abruzzo,,0,0,0
2020-02-28T00:00:00,abruzzo,,1,7,0
2020-02-29T00:00:00,abruzzo,,3,6,0
2020-03-01T00:00:00,abruzzo,,0,4,0
2020-03-02T00:00:00,abruzzo,,1,3,0
2020-03-03T00:00:00,abruzzo,,1,2,0
2020-03-04T00:00:00,abruzzo,1,1,6,0
2020-03-05T00:00:00,abruzzo,0,1,3,0
2020-03-06T00:00:00,abruzzo,0,3,4,0
2020-03-07T00:00:00,abruzzo,0,5,12,2
2020-03-08T00:00:00,abruzzo,0,12,10,0
2020-03-09T00:00:00,abruzzo,0,28,18,0
2020-03-10T00:00:00,abruzzo,1,27,13,3
2020-03-11T00:00:00,abruzzo,0,33,21,2
2020-03-12T00:00:00,abruzzo,0,22,15,4
2020-03-13T00:00:00,abruzzo,2,60,24,2
2020-03-14T00:00:00,abruzzo,1,56,26,1
2020-03-15T00:00:00,abruzzo,1,21,28,5
2020-03-16T00:00:00,abruzzo,1,51,38,3
2020-03-17T00:00:00,abruzzo,5,99,51,6
2020-03-18T00:00:00,abruzzo,4,108,36,4
2020-03-19T00:00:00,abruzzo,6,64,29,5
2020-03-20T00:00:00,abruzzo,11,99,40,11
2020-03-21T00:00:00,abruzzo,8,85,35,2
2020-03-22T00:00:00,abruzzo,7,59,35,4
2020-03-23T00:00:00,abruzzo,15,150,37,4
2020-03-24T00:00:00,abruzzo,8,165,40,6
2020-03-25T00:00:00,abruzzo,14,66,34,3
2020-03-26T00:00:00,abruzzo,9,107,34,9
2020-03-27T00:00:00,abruzzo,11,113,36,5
2020-03-28T00:00:00,abruzzo,13,87,28,5
2020-03-29T00:00:00,abruzzo,11,38,16,0
2020-03-30T00:00:00,abruzzo,7,87,13,6
2020-03-31T00:00:00,abruzzo,16,134,22,4
2020-04-01T00:00:00,abruzzo,10,81,24,2
2020-04-02T00:00:00,abruzzo,7,78,20,1
2020-04-03T00:00:00,abruzzo,9,59,25,2
2020-04-04T00:00:00,abruzzo,10,57,15,2
2020-04-05T00:00:00,abruzzo,11,22,17,1
2020-04-06T00:00:00,abruzzo,6,84,10,1
2020-04-07T00:00:00,abruzzo,8,104,15,3
2020-04-08T00:00:00,abruzzo,6,55,17,0
2020-04-09T00:00:00,abruzzo,6,58,18,2
2020-04-10T00:00:00,abruzzo,6,60,18,3
2020-04-11T00:00:00,abruzzo,8,61,19,2
2020-04-12T00:00:00,abruzzo,10,18,13,2
2020-04-13T00:00:00,abruzzo,4,17,9,0
2020-04-14T00:00:00,abruzzo,10,50,9,1
2020-04-15T00:00:00,abruzzo,4,54,10,0
2020-04-16T00:00:00,abruzzo,4,26,9,1
2020-04-17T00:00:00,abruzzo,8,45,14,0
2020-04-18T00:00:00,abruzzo,6,19,14,0
2020-04-19T00:00:00,abruzzo,5,7,10,1
2020-04-20T00:00:00,abruzzo,7,58,20,0
2020-04-21T00:00:00,abruzzo,7,12,14,1
2020-04-22T00:00:00,abruzzo,7,19,13,1
2020-04-23T00:00:00,abruzzo,3,24,17,0
2020-04-24T00:00:00,abruzzo,5,22,17,0
2020-04-25T00:00:00,abruzzo,6,7,3,0
2020-04-26T00:00:00,abruzzo,4,10,4,0
2020-04-27T00:00:00,abruzzo,10,22,2,0
2020-04-28T00:00:00,abruzzo,5,15,6,1
2020-04-29T00:00:00,abruzzo,4,33,7,0
