DATA_DECESSO,DECESSI,iss_date
11/08/2020,7,08/08/2022
12/08/2020,5,08/08/2022
13/08/2020,8,08/08/2022
14/08/2020,10,08/08/2022
15/08/2020,<5,08/08/2022
16/08/2020,10,08/08/2022
17/08/2020,<5,08/08/2022
18/08/2020,6,08/08/2022
19/08/2020,7,08/08/2022
20/08/2020,11,08/08/2022
21/08/2020,<5,08/08/2022
22/08/2020,6,08/08/2022
23/08/2020,<5,08/08/2022
24/08/2020,7,08/08/2022
25/08/2020,6,08/08/2022
26/08/2020,10,08/08/2022
27/08/2020,6,08/08/2022
29/08/2020,<5,08/08/2022
30/08/2020,7,08/08/2022
31/08/2020,9,08/08/2022
01/09/2020,9,08/08/2022
02/09/2020,11,08/08/2022
03/09/2020,11,08/08/2022
04/09/2020,11,08/08/2022
05/09/2020,14,08/08/2022
06/09/2020,6,08/08/2022
07/09/2020,19,08/08/2022
08/09/2020,<5,08/08/2022
09/09/2020,7,08/08/2022
10/09/2020,9,08/08/2022
11/09/2020,9,08/08/2022
12/09/2020,14,08/08/2022
13/09/2020,14,08/08/2022
14/09/2020,13,08/08/2022
15/09/2020,21,08/08/2022
16/09/2020,16,08/08/2022
17/09/2020,16,08/08/2022
18/09/2020,24,08/08/2022
19/09/2020,16,08/08/2022
20/09/2020,19,08/08/2022
21/09/2020,16,08/08/2022
22/09/2020,13,08/08/2022
23/09/2020,26,08/08/2022
24/09/2020,21,08/08/2022
25/09/2020,29,08/08/2022
26/09/2020,19,08/08/2022
27/09/2020,25,08/08/2022
28/09/2020,21,08/08/2022
29/09/2020,25,08/08/2022
30/09/2020,19,08/08/2022
01/10/2020,26,08/08/2022
02/10/2020,30,08/08/2022
03/10/2020,17,08/08/2022
04/10/2020,20,08/08/2022
05/10/2020,38,08/08/2022
06/10/2020,24,08/08/2022
07/10/2020,33,08/08/2022
08/10/2020,39,08/08/2022
09/10/2020,44,08/08/2022
10/10/2020,52,08/08/2022
11/10/2020,56,08/08/2022
12/10/2020,75,08/08/2022
13/10/2020,69,08/08/2022
14/10/2020,71,08/08/2022
15/10/2020,69,08/08/2022
16/10/2020,102,08/08/2022
17/10/2020,88,08/08/2022
18/10/2020,102,08/08/2022
19/10/2020,104,08/08/2022
20/10/2020,143,08/08/2022
21/10/2020,145,08/08/2022
22/10/2020,160,08/08/2022
23/10/2020,176,08/08/2022
24/10/2020,208,08/08/2022
25/10/2020,197,08/08/2022
26/10/2020,248,08/08/2022
27/10/2020,237,08/08/2022
28/10/2020,303,08/08/2022
29/10/2020,298,08/08/2022
30/10/2020,354,08/08/2022
31/10/2020,371,08/08/2022
01/11/2020,361,08/08/2022
02/11/2020,449,08/08/2022
03/11/2020,431,08/08/2022
04/11/2020,466,08/08/2022
05/11/2020,547,08/08/2022
06/11/2020,518,08/08/2022
07/11/2020,502,08/08/2022
08/11/2020,568,08/08/2022
09/11/2020,603,08/08/2022
10/11/2020,661,08/08/2022
11/11/2020,675,08/08/2022
12/11/2020,725,08/08/2022
13/11/2020,667,08/08/2022
14/11/2020,694,08/08/2022
15/11/2020,722,08/08/2022
16/11/2020,764,08/08/2022
17/11/2020,791,08/08/2022
18/11/2020,802,08/08/2022
19/11/2020,810,08/08/2022
20/11/2020,779,08/08/2022
21/11/2020,681,08/08/2022
22/11/2020,729,08/08/2022
23/11/2020,764,08/08/2022
24/11/2020,769,08/08/2022
25/11/2020,825,08/08/2022
26/11/2020,735,08/08/2022
27/11/2020,775,08/08/2022
28/11/2020,730,08/08/2022
29/11/2020,672,08/08/2022
30/11/2020,694,08/08/2022
01/12/2020,655,08/08/2022
02/12/2020,719,08/08/2022
03/12/2020,660,08/08/2022
04/12/2020,695,08/08/2022
05/12/2020,630,08/08/2022
06/12/2020,649,08/08/2022
07/12/2020,645,08/08/2022
08/12/2020,601,08/08/2022
09/12/2020,690,08/08/2022
10/12/2020,628,08/08/2022
11/12/2020,609,08/08/2022
12/12/2020,595,08/08/2022
13/12/2020,569,08/08/2022
14/12/2020,573,08/08/2022
15/12/2020,584,08/08/2022
16/12/2020,641,08/08/2022
17/12/2020,590,08/08/2022
18/12/2020,554,08/08/2022
19/12/2020,512,08/08/2022
20/12/2020,501,08/08/2022
21/12/2020,508,08/08/2022
22/12/2020,500,08/08/2022
23/12/2020,503,08/08/2022
24/12/2020,488,08/08/2022
25/12/2020,424,08/08/2022
26/12/2020,434,08/08/2022
27/12/2020,421,08/08/2022
28/12/2020,505,08/08/2022
29/12/2020,449,08/08/2022
