DATA_DECESSO,DECESSI,iss_date
21/06/2022,51,08/08/2022
22/06/2022,58,08/08/2022
23/06/2022,48,08/08/2022
24/06/2022,52,08/08/2022
26/06/2022,47,08/08/2022
02/07/2022,61,08/08/2022
03/07/2022,59,08/08/2022
05/07/2022,95,08/08/2022
07/07/2022,100,08/08/2022
11/07/2022,87,08/08/2022
13/07/2022,93,08/08/2022
15/07/2022,114,08/08/2022
16/07/2022,114,08/08/2022
17/07/2022,129,08/08/2022
18/07/2022,131,08/08/2022
19/07/2022,135,08/08/2022
20/07/2022,133,08/08/2022
21/07/2022,119,08/08/2022
22/07/2022,121,08/08/2022
23/07/2022,158,08/08/2022
24/07/2022,124,08/08/2022
25/07/2022,148,08/08/2022
26/07/2022,134,08/08/2022
27/07/2022,154,08/08/2022
28/07/2022,116,08/08/2022
29/07/2022,112,08/08/2022
30/07/2022,97,08/08/2022
31/07/2022,93,08/08/2022
01/08/2022,117,08/08/2022
02/08/2022,111,08/08/2022
03/08/2022,108,08/08/2022
04/08/2022,89,08/08/2022
05/08/2022,52,08/08/2022
06/08/2022,22,08/08/2022
07/08/2022,5,08/08/2022
08/08/2022,<5,08/08/2022
