DATA_INIZIO_SINTOMI,CASI,iss_date
06/01/2021,7830,20/10/2022
06/01/2022,40823,20/10/2022
06/02/2020,24,20/10/2022
06/02/2021,6406,20/10/2022
06/02/2022,18153,20/10/2022
06/03/2020,2971,20/10/2022
06/03/2021,12360,20/10/2022
06/03/2022,13556,20/10/2022
06/04/2020,2458,20/10/2022
06/04/2021,8631,20/10/2022
06/04/2022,21647,20/10/2022
06/05/2020,565,20/10/2022
06/05/2021,4117,20/10/2022
06/05/2022,11885,20/10/2022
06/06/2020,98,20/10/2022
06/06/2021,783,20/10/2022
06/06/2022,8703,20/10/2022
06/07/2020,102,20/10/2022
06/07/2021,811,20/10/2022
06/07/2022,28384,20/10/2022
06/08/2020,209,20/10/2022
06/08/2021,3592,20/10/2022
06/08/2022,7987,20/10/2022
06/09/2020,538,20/10/2022
06/09/2021,3072,20/10/2022
06/09/2022,5815,20/10/2022
06/10/2020,3216,20/10/2022
06/10/2021,1645,20/10/2022
06/10/2022,12504,20/10/2022
06/11/2020,18347,20/10/2022
06/11/2021,3873,20/10/2022
06/12/2020,6413,20/10/2022
06/12/2021,10664,20/10/2022
07/01/2021,8091,20/10/2022
07/01/2022,46383,20/10/2022
07/02/2020,22,20/10/2022
07/02/2021,5872,20/10/2022
07/02/2022,24667,20/10/2022
07/03/2020,3127,20/10/2022
07/03/2021,11595,20/10/2022
07/03/2022,19835,20/10/2022
07/04/2020,2273,20/10/2022
07/04/2021,8588,20/10/2022
07/04/2022,19611,20/10/2022
07/05/2020,499,20/10/2022
07/05/2021,3902,20/10/2022
07/05/2022,10777,20/10/2022
07/06/2020,74,20/10/2022
07/06/2021,935,20/10/2022
07/06/2022,8160,20/10/2022
07/07/2020,108,20/10/2022
07/07/2021,872,20/10/2022
07/07/2022,25656,20/10/2022
07/08/2020,216,20/10/2022
07/08/2021,3357,20/10/2022
07/08/2022,7084,20/10/2022
07/09/2020,821,20/10/2022
07/09/2021,2844,20/10/2022
07/09/2022,5645,20/10/2022
07/10/2020,3720,20/10/2022
07/10/2021,1451,20/10/2022
07/10/2022,12259,20/10/2022
07/11/2020,16782,20/10/2022
07/11/2021,4117,20/10/2022
07/12/2020,8775,20/10/2022
07/12/2021,10220,20/10/2022
08/01/2021,7708,20/10/2022
08/01/2022,41451,20/10/2022
08/02/2020,17,20/10/2022
08/02/2021,7333,20/10/2022
08/02/2022,19971,20/10/2022
08/03/2020,3701,20/10/2022
08/03/2021,15394,20/10/2022
08/03/2022,18090,20/10/2022
08/04/2020,2146,20/10/2022
08/04/2021,8337,20/10/2022
08/04/2022,18421,20/10/2022
08/05/2020,521,20/10/2022
08/05/2021,3428,20/10/2022
08/05/2022,10651,20/10/2022
08/06/2020,135,20/10/2022
08/06/2021,789,20/10/2022
08/06/2022,7982,20/10/2022
08/07/2020,105,20/10/2022
08/07/2021,904,20/10/2022
08/07/2022,24007,20/10/2022
08/08/2020,266,20/10/2022
08/08/2021,3383,20/10/2022
08/08/2022,11306,20/10/2022
08/09/2020,695,20/10/2022
08/09/2021,2709,20/10/2022
