DATA_INIZIO_SINTOMI,CASI,iss_date
26/03/2022,20051,20/10/2022
26/04/2020,676,20/10/2022
26/04/2021,7092,20/10/2022
26/04/2022,22839,20/10/2022
26/05/2020,186,20/10/2022
26/05/2021,1577,20/10/2022
26/05/2022,5784,20/10/2022
26/06/2020,110,20/10/2022
26/06/2021,322,20/10/2022
26/06/2022,16736,20/10/2022
26/07/2020,102,20/10/2022
26/07/2021,3805,20/10/2022
26/07/2022,17416,20/10/2022
26/08/2020,641,20/10/2022
26/08/2021,3278,20/10/2022
26/08/2022,6429,20/10/2022
26/09/2020,973,20/10/2022
26/09/2021,1680,20/10/2022
26/09/2022,21117,20/10/2022
26/10/2020,19439,20/10/2022
26/10/2021,2878,20/10/2022
26/11/2020,9573,20/10/2022
26/11/2021,7666,20/10/2022
26/12/2020,8413,20/10/2022
26/12/2021,41948,20/10/2022
27/01/2021,6134,20/10/2022
27/01/2022,32469,20/10/2022
27/02/2020,897,20/10/2022
27/02/2021,10151,20/10/2022
27/02/2022,10234,20/10/2022
27/03/2020,3526,20/10/2022
27/03/2021,10106,20/10/2022
27/03/2022,19015,20/10/2022
27/04/2020,1124,20/10/2022
27/04/2021,6219,20/10/2022
27/04/2022,18435,20/10/2022
27/05/2020,213,20/10/2022
27/05/2021,1460,20/10/2022
27/05/2022,5465,20/10/2022
27/06/2020,77,20/10/2022
27/06/2021,380,20/10/2022
27/06/2022,26036,20/10/2022
27/07/2020,138,20/10/2022
27/07/2021,3782,20/10/2022
27/07/2022,15768,20/10/2022
27/08/2020,587,20/10/2022
27/08/2021,3192,20/10/2022
27/08/2022,5792,20/10/2022
27/09/2020,1021,20/10/2022
27/09/2021,2153,20/10/2022
27/09/2022,21169,20/10/2022
27/10/2020,17180,20/10/2022
27/10/2021,3080,20/10/2022
27/11/2020,9359,20/10/2022
27/11/2021,7321,20/10/2022
27/12/2020,9101,20/10/2022
27/12/2021,59231,20/10/2022
28/01/2020,15,20/10/2022
28/01/2021,6024,20/10/2022
28/01/2022,30203,20/10/2022
28/02/2020,1207,20/10/2022
28/02/2021,9512,20/10/2022
28/02/2022,15464,20/10/2022
28/03/2020,3149,20/10/2022
28/03/2021,9457,20/10/2022
28/03/2022,28922,20/10/2022
28/04/2020,872,20/10/2022
28/04/2021,5930,20/10/2022
28/04/2022,16115,20/10/2022
28/05/2020,173,20/10/2022
28/05/2021,1391,20/10/2022
28/05/2022,4700,20/10/2022
28/06/2020,61,20/10/2022
28/06/2021,461,20/10/2022
28/06/2022,23483,20/10/2022
28/07/2020,143,20/10/2022
28/07/2021,3652,20/10/2022
28/07/2022,13951,20/10/2022
28/08/2020,599,20/10/2022
28/08/2021,3008,20/10/2022
28/08/2022,5460,20/10/2022
28/09/2020,1389,20/10/2022
28/09/2021,1954,20/10/2022
28/09/2022,12053,20/10/2022
28/10/2020,18220,20/10/2022
28/10/2021,3034,20/10/2022
28/11/2020,8935,20/10/2022
28/11/2021,7348,20/10/2022
28/12/2020,11341,20/10/2022
28/12/2021,57213,20/10/2022
29/01/2020,21,20/10/2022
29/01/2021,5837,20/10/2022
29/01/2022,26046,20/10/2022
29/02/2020,1077,20/10/2022
29/03/2020,2379,20/10/2022
29/03/2021,11885,20/10/2022
29/03/2022,24054,20/10/2022
29/04/2020,925,20/10/2022
29/04/2021,5269,20/10/2022
29/04/2022,14189,20/10/2022
29/05/2020,142,20/10/2022
29/05/2021,1160,20/10/2022
29/05/2022,4202,20/10/2022
29/06/2020,102,20/10/2022
29/06/2021,482,20/10/2022
29/06/2022,22745,20/10/2022
29/07/2020,143,20/10/2022
29/07/2021,3322,20/10/2022
29/07/2022,12765,20/10/2022
29/08/2020,450,20/10/2022
29/08/2021,2898,20/10/2022
29/08/2022,8742,20/10/2022
29/09/2020,1302,20/10/2022
29/09/2021,1811,20/10/2022
29/09/2022,10314,20/10/2022
29/10/2020,18436,20/10/2022
29/10/2021,2832,20/10/2022
29/11/2020,6977,20/10/2022
29/11/2021,9133,20/10/2022
29/12/2020,9809,20/10/2022
29/12/2021,51548,20/10/2022
30/01/2020,29,20/10/2022
30/01/2021,5669,20/10/2022
30/01/2022,24226,20/10/2022
30/03/2020,3676,20/10/2022
30/03/2021,10334,20/10/2022
30/03/2022,23181,20/10/2022
30/04/2020,868,20/10/2022
30/04/2021,4902,20/10/2022
30/04/2022,12098,20/10/2022
30/05/2020,122,20/10/2022
30/05/2021,1120,20/10/2022
30/05/2022,6769,20/10/2022
30/06/2020,71,20/10/2022
30/06/2021,552,20/10/2022
30/06/2022,22394,20/10/2022
30/07/2020,124,20/10/2022
30/07/2021,3298,20/10/2022
30/07/2022,11032,20/10/2022
30/08/2020,452,20/10/2022
30/08/2021,3558,20/10/2022
30/08/2022,6650,20/10/2022
30/09/2020,1721,20/10/2022
30/09/2021,1689,20/10/2022
30/09/2022,9957,20/10/2022
30/10/2020,17965,20/10/2022
30/10/2021,2965,20/10/2022
30/11/2020,9957,20/10/2022
30/11/2021,8521,20/10/2022
30/12/2020,9656,20/10/2022
30/12/2021,44074,20/10/2022
31/01/2020,34,20/10/2022
31/01/2021,5211,20/10/2022
31/01/2022,33832,20/10/2022
31/03/2020,2599,20/10/2022
31/03/2021,9108,20/10/2022
31/03/2022,20220,20/10/2022
31/05/2020,69,20/10/2022
31/05/2021,1223,20/10/2022
31/05/2022,5452,20/10/2022
31/07/2020,125,20/10/2022
31/07/2021,3050,20/10/2022
31/07/2022,9362,20/10/2022
31/08/2020,585,20/10/2022
31/08/2021,3099,20/10/2022
31/08/2022,6071,20/10/2022
31/10/2020,14715,20/10/2022
31/10/2021,2674,20/10/2022
31/12/2020,9180,20/10/2022
31/12/2021,37327,20/10/2022
,14857757,20/10/2022
