DATARICOVERO1,RICOVERI,iss_date
05/11/2022,514,12/01/2023
05/12/2020,1437,12/01/2023
05/12/2021,459,12/01/2023
05/12/2022,910,12/01/2023
06/01/2021,1221,12/01/2023
06/01/2022,1579,12/01/2023
06/01/2023,276,12/01/2023
06/02/2021,896,12/01/2023
06/02/2022,923,12/01/2023
06/03/2020,1224,12/01/2023
06/03/2021,1581,12/01/2023
06/03/2022,473,12/01/2023
06/04/2020,1044,12/01/2023
06/04/2021,1602,12/01/2023
06/04/2022,812,12/01/2023
06/05/2020,316,12/01/2023
06/05/2021,676,12/01/2023
06/05/2022,575,12/01/2023
06/06/2020,56,12/01/2023
06/06/2021,161,12/01/2023
06/06/2022,361,12/01/2023
06/07/2020,92,12/01/2023
06/07/2021,68,12/01/2023
06/07/2022,974,12/01/2023
06/08/2020,74,12/01/2023
06/08/2021,314,12/01/2023
06/08/2022,508,12/01/2023
06/09/2020,128,12/01/2023
06/09/2021,344,12/01/2023
06/09/2022,296,12/01/2023
06/10/2020,509,12/01/2023
06/10/2021,153,12/01/2023
06/10/2022,546,12/01/2023
06/11/2020,2578,12/01/2023
06/11/2021,261,12/01/2023
06/11/2022,393,12/01/2023
06/12/2020,1270,12/01/2023
06/12/2021,640,12/01/2023
06/12/2022,852,12/01/2023
07/01/2021,1408,12/01/2023
07/01/2022,1698,12/01/2023
07/01/2023,332,12/01/2023
07/02/2021,850,12/01/2023
07/02/2022,1175,12/01/2023
07/03/2020,1203,12/01/2023
07/03/2021,1380,12/01/2023
07/03/2022,602,12/01/2023
07/04/2020,1055,12/01/2023
07/04/2021,1475,12/01/2023
07/04/2022,828,12/01/2023
07/05/2020,313,12/01/2023
07/05/2021,674,12/01/2023
07/05/2022,457,12/01/2023
07/06/2020,52,12/01/2023
07/06/2021,189,12/01/2023
07/06/2022,364,12/01/2023
07/07/2020,71,12/01/2023
07/07/2021,87,12/01/2023
07/07/2022,1019,12/01/2023
07/08/2020,84,12/01/2023
07/08/2021,285,12/01/2023
07/08/2022,427,12/01/2023
07/09/2020,226,12/01/2023
07/09/2021,340,12/01/2023
07/09/2022,322,12/01/2023
07/10/2020,496,12/01/2023
07/10/2021,166,12/01/2023
07/10/2022,602,12/01/2023
07/11/2020,2436,12/01/2023
07/11/2021,248,12/01/2023
07/11/2022,581,12/01/2023
07/12/2020,1422,12/01/2023
07/12/2021,557,12/01/2023
07/12/2022,761,12/01/2023
08/01/2021,1472,12/01/2023
08/01/2022,1638,12/01/2023
08/01/2023,238,12/01/2023
08/02/2021,1023,12/01/2023
08/02/2022,1125,12/01/2023
08/03/2020,1158,12/01/2023
08/03/2021,1846,12/01/2023
08/03/2022,614,12/01/2023
08/04/2020,1068,12/01/2023
08/04/2021,1370,12/01/2023
08/04/2022,778,12/01/2023
08/05/2020,309,12/01/2023
08/05/2021,613,12/01/2023
08/05/2022,403,12/01/2023
08/06/2020,140,12/01/2023
08/06/2021,167,12/01/2023
08/06/2022,361,12/01/2023
08/07/2020,80,12/01/2023
08/07/2021,92,12/01/2023
08/07/2022,955,12/01/2023
08/08/2020,60,12/01/2023
08/08/2021,267,12/01/2023
08/08/2022,552,12/01/2023
