DATARICOVERO1,RICOVERI,iss_date
25/05/2021,253,12/01/2023
25/05/2022,385,12/01/2023
25/06/2020,78,12/01/2023
25/06/2021,65,12/01/2023
25/06/2022,652,12/01/2023
25/07/2020,70,12/01/2023
25/07/2021,214,12/01/2023
25/07/2022,903,12/01/2023
25/08/2020,157,12/01/2023
25/08/2021,367,12/01/2023
25/08/2022,316,12/01/2023
25/09/2020,287,12/01/2023
25/09/2021,183,12/01/2023
25/09/2022,282,12/01/2023
25/10/2020,1658,12/01/2023
25/10/2021,230,12/01/2023
25/10/2022,597,12/01/2023
25/11/2020,1859,12/01/2023
25/11/2021,469,12/01/2023
25/11/2022,666,12/01/2023
25/12/2020,993,12/01/2023
25/12/2021,907,12/01/2023
25/12/2022,404,12/01/2023
26/01/2021,976,12/01/2023
26/01/2022,1522,12/01/2023
26/02/2020,272,12/01/2023
26/02/2021,1352,12/01/2023
26/02/2022,523,12/01/2023
26/03/2020,2132,12/01/2023
26/03/2021,1904,12/01/2023
26/03/2022,747,12/01/2023
26/04/2020,369,12/01/2023
26/04/2021,997,12/01/2023
26/04/2022,757,12/01/2023
26/05/2020,136,12/01/2023
26/05/2021,291,12/01/2023
26/05/2022,350,12/01/2023
26/06/2020,101,12/01/2023
26/06/2021,68,12/01/2023
26/06/2022,519,12/01/2023
26/07/2020,50,12/01/2023
26/07/2021,215,12/01/2023
26/07/2022,869,12/01/2023
26/08/2020,156,12/01/2023
26/08/2021,409,12/01/2023
26/08/2022,357,12/01/2023
26/09/2020,221,12/01/2023
26/09/2021,157,12/01/2023
26/09/2022,453,12/01/2023
26/10/2020,2004,12/01/2023
26/10/2021,222,12/01/2023
26/10/2022,523,12/01/2023
26/11/2020,1781,12/01/2023
26/11/2021,492,12/01/2023
26/11/2022,611,12/01/2023
26/12/2020,1150,12/01/2023
26/12/2021,927,12/01/2023
26/12/2022,428,12/01/2023
27/01/2021,927,12/01/2023
27/01/2022,1471,12/01/2023
27/02/2020,315,12/01/2023
27/02/2021,1335,12/01/2023
27/02/2022,431,12/01/2023
27/03/2020,2254,12/01/2023
27/03/2021,1696,12/01/2023
27/03/2022,640,12/01/2023
27/04/2020,469,12/01/2023
27/04/2021,928,12/01/2023
27/04/2022,750,12/01/2023
27/05/2020,127,12/01/2023
27/05/2021,228,12/01/2023
27/05/2022,322,12/01/2023
27/06/2020,49,12/01/2023
27/06/2021,57,12/01/2023
27/06/2022,782,12/01/2023
27/07/2020,83,12/01/2023
27/07/2021,210,12/01/2023
27/07/2022,801,12/01/2023
27/08/2020,153,12/01/2023
27/08/2021,382,12/01/2023
27/08/2022,313,12/01/2023
27/09/2020,196,12/01/2023
27/09/2021,223,12/01/2023
27/09/2022,461,12/01/2023
27/10/2020,1977,12/01/2023
27/10/2021,264,12/01/2023
27/10/2022,531,12/01/2023
27/11/2020,1784,12/01/2023
27/11/2021,444,12/01/2023
27/11/2022,510,12/01/2023
27/12/2020,1203,12/01/2023
27/12/2021,1215,12/01/2023
27/12/2022,690,12/01/2023
28/01/2021,983,12/01/2023
28/01/2022,1403,12/01/2023
28/02/2020,379,12/01/2023
28/02/2021,1166,12/01/2023
28/02/2022,619,12/01/2023
28/03/2020,1753,12/01/2023
28/03/2021,1401,12/01/2023
28/03/2022,854,12/01/2023
28/04/2020,459,12/01/2023
28/04/2021,969,12/01/2023
28/04/2022,706,12/01/2023
28/05/2020,92,12/01/2023
28/05/2021,272,12/01/2023
28/05/2022,287,12/01/2023
28/06/2020,39,12/01/2023
28/06/2021,78,12/01/2023
28/06/2022,745,12/01/2023
28/07/2020,72,12/01/2023
28/07/2021,225,12/01/2023
28/07/2022,742,12/01/2023
28/08/2020,158,12/01/2023
28/08/2021,365,12/01/2023
28/08/2022,240,12/01/2023
28/09/2020,300,12/01/2023
28/09/2021,188,12/01/2023
28/09/2022,482,12/01/2023
28/10/2020,2021,12/01/2023
28/10/2021,239,12/01/2023
28/10/2022,519,12/01/2023
28/11/2020,1611,12/01/2023
28/11/2021,386,12/01/2023
28/11/2022,757,12/01/2023
28/12/2020,1364,12/01/2023
28/12/2021,1253,12/01/2023
28/12/2022,605,12/01/2023
29/01/2021,1029,12/01/2023
29/01/2022,1289,12/01/2023
29/02/2020,374,12/01/2023
29/03/2020,1443,12/01/2023
29/03/2021,1854,12/01/2023
29/03/2022,893,12/01/2023
29/04/2020,424,12/01/2023
29/04/2021,847,12/01/2023
29/04/2022,669,12/01/2023
29/05/2020,131,12/01/2023
29/05/2021,218,12/01/2023
29/05/2022,262,12/01/2023
29/06/2020,113,12/01/2023
29/06/2021,72,12/01/2023
29/06/2022,798,12/01/2023
29/07/2020,84,12/01/2023
29/07/2021,214,12/01/2023
29/07/2022,668,12/01/2023
29/08/2020,115,12/01/2023
29/08/2021,322,12/01/2023
29/08/2022,359,12/01/2023
29/09/2020,297,12/01/2023
29/09/2021,169,12/01/2023
29/09/2022,504,12/01/2023
29/10/2020,2120,12/01/2023
29/10/2021,251,12/01/2023
29/10/2022,390,12/01/2023
29/11/2020,1374,12/01/2023
29/11/2021,514,12/01/2023
29/11/2022,726,12/01/2023
29/12/2020,1414,12/01/2023
29/12/2021,1352,12/01/2023
29/12/2022,612,12/01/2023
30/01/2021,905,12/01/2023
30/01/2022,1086,12/01/2023
30/03/2020,1693,12/01/2023
30/03/2021,1758,12/01/2023
30/03/2022,824,12/01/2023
30/04/2020,384,12/01/2023
30/04/2021,892,12/01/2023
30/04/2022,532,12/01/2023
30/05/2020,93,12/01/2023
30/05/2021,185,12/01/2023
30/05/2022,333,12/01/2023
30/06/2020,84,12/01/2023
30/06/2021,66,12/01/2023
30/06/2022,837,12/01/2023
30/07/2020,67,12/01/2023
30/07/2021,258,12/01/2023
30/07/2022,599,12/01/2023
30/08/2020,117,12/01/2023
30/08/2021,326,12/01/2023
30/08/2022,350,12/01/2023
30/09/2020,273,12/01/2023
30/09/2021,180,12/01/2023
30/09/2022,478,12/01/2023
30/10/2020,2302,12/01/2023
30/10/2021,247,12/01/2023
30/10/2022,363,12/01/2023
30/11/2020,1603,12/01/2023
30/11/2021,480,12/01/2023
30/11/2022,728,12/01/2023
30/12/2020,1344,12/01/2023
30/12/2021,1250,12/01/2023
30/12/2022,574,12/01/2023
31/01/2021,828,12/01/2023
31/01/2022,1449,12/01/2023
31/03/2020,1602,12/01/2023
31/03/2021,1719,12/01/2023
31/03/2022,885,12/01/2023
31/05/2020,64,12/01/2023
31/05/2021,220,12/01/2023
31/05/2022,343,12/01/2023
31/07/2020,93,12/01/2023
31/07/2021,231,12/01/2023
31/07/2022,478,12/01/2023
31/08/2020,150,12/01/2023
31/08/2021,347,12/01/2023
31/08/2022,339,12/01/2023
31/10/2020,2070,12/01/2023
31/10/2021,236,12/01/2023
31/10/2022,553,12/01/2023
31/12/2020,1373,12/01/2023
31/12/2021,1346,12/01/2023
31/12/2022,418,12/01/2023
,24831248,12/01/2023
