DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
25/03/2021,23250,15/12/2022
25/03/2022,75530,15/12/2022
25/04/2020,1665,15/12/2022
25/04/2021,5270,15/12/2022
25/04/2022,28908,15/12/2022
25/05/2020,513,15/12/2022
25/05/2021,4046,15/12/2022
25/05/2022,22313,15/12/2022
25/06/2020,203,15/12/2022
25/06/2021,856,15/12/2022
25/06/2022,50156,15/12/2022
25/07/2020,196,15/12/2022
25/07/2021,2207,15/12/2022
25/07/2022,96215,15/12/2022
25/08/2020,1594,15/12/2022
25/08/2021,7760,15/12/2022
25/08/2022,21801,15/12/2022
25/09/2020,2103,15/12/2022
25/09/2021,2922,15/12/2022
25/09/2022,9651,15/12/2022
25/10/2020,11341,15/12/2022
25/10/2021,4936,15/12/2022
25/10/2022,33218,15/12/2022
25/11/2020,27496,15/12/2022
25/11/2021,13602,15/12/2022
25/11/2022,31574,15/12/2022
25/12/2020,4594,15/12/2022
25/12/2021,15589,15/12/2022
26/01/2021,14675,15/12/2022
26/01/2022,152907,15/12/2022
26/02/2020,278,15/12/2022
26/02/2021,21025,15/12/2022
26/02/2022,31461,15/12/2022
26/03/2020,5702,15/12/2022
26/03/2021,23506,15/12/2022
26/03/2022,61213,15/12/2022
26/04/2020,1017,15/12/2022
26/04/2021,13711,15/12/2022
26/04/2022,100316,15/12/2022
26/05/2020,540,15/12/2022
26/05/2021,3699,15/12/2022
26/05/2022,19693,15/12/2022
26/06/2020,186,15/12/2022
26/06/2021,657,15/12/2022
26/06/2022,23778,15/12/2022
26/07/2020,91,15/12/2022
26/07/2021,6330,15/12/2022
26/07/2022,63753,15/12/2022
26/08/2020,1544,15/12/2022
26/08/2021,7017,15/12/2022
26/08/2022,22404,15/12/2022
26/09/2020,1496,15/12/2022
26/09/2021,1322,15/12/2022
26/09/2022,47430,15/12/2022
26/10/2020,28783,15/12/2022
26/10/2021,5150,15/12/2022
26/10/2022,31529,15/12/2022
26/11/2020,26607,15/12/2022
26/11/2021,14189,15/12/2022
26/11/2022,24203,15/12/2022
26/12/2020,7982,15/12/2022
26/12/2021,29548,15/12/2022
27/01/2021,13408,15/12/2022
27/01/2022,135299,15/12/2022
27/02/2020,286,15/12/2022
27/02/2021,16040,15/12/2022
27/02/2022,15454,15/12/2022
27/03/2020,5790,15/12/2022
27/03/2021,17372,15/12/2022
27/03/2022,27523,15/12/2022
27/04/2020,1981,15/12/2022
27/04/2021,14461,15/12/2022
27/04/2022,64330,15/12/2022
27/05/2020,523,15/12/2022
27/05/2021,3422,15/12/2022
27/05/2022,18676,15/12/2022
27/06/2020,124,15/12/2022
27/06/2021,278,15/12/2022
27/06/2022,105729,15/12/2022
27/07/2020,326,15/12/2022
27/07/2021,6430,15/12/2022
27/07/2022,59784,15/12/2022
27/08/2020,1524,15/12/2022
27/08/2021,7068,15/12/2022
27/08/2022,17704,15/12/2022
27/09/2020,908,15/12/2022
27/09/2021,3539,15/12/2022
27/09/2022,36996,15/12/2022
27/10/2020,31838,15/12/2022
27/10/2021,5244,15/12/2022
27/10/2022,28349,15/12/2022
27/11/2020,24498,15/12/2022
27/11/2021,12414,15/12/2022
27/11/2022,10888,15/12/2022
27/12/2020,7741,15/12/2022
27/12/2021,113584,15/12/2022
28/01/2021,12271,15/12/2022
28/01/2022,132594,15/12/2022
28/02/2020,353,15/12/2022
28/02/2021,7105,15/12/2022
28/02/2022,53245,15/12/2022
28/03/2020,4530,15/12/2022
28/03/2021,8212,15/12/2022
28/03/2022,109550,15/12/2022
28/04/2020,2241,15/12/2022
28/04/2021,13798,15/12/2022
28/04/2022,57836,15/12/2022
28/05/2020,516,15/12/2022
28/05/2021,3421,15/12/2022
28/05/2022,14945,15/12/2022
28/06/2020,66,15/12/2022
28/06/2021,840,15/12/2022
28/06/2022,80390,15/12/2022
28/07/2020,319,15/12/2022
28/07/2021,6182,15/12/2022
28/07/2022,53157,15/12/2022
28/08/2020,1464,15/12/2022
28/08/2021,5608,15/12/2022
28/08/2022,7630,15/12/2022
28/09/2020,2282,15/12/2022
28/09/2021,3687,15/12/2022
28/09/2022,37699,15/12/2022
28/10/2020,34309,15/12/2022
28/10/2021,5101,15/12/2022
28/10/2022,26499,15/12/2022
28/11/2020,18246,15/12/2022
28/11/2021,5778,15/12/2022
28/11/2022,53942,15/12/2022
28/12/2020,19243,15/12/2022
28/12/2021,131933,15/12/2022
29/01/2020,<5,15/12/2022
29/01/2021,13035,15/12/2022
29/01/2022,103442,15/12/2022
29/02/2020,372,15/12/2022
29/03/2020,3011,15/12/2022
29/03/2021,22449,15/12/2022
29/03/2022,79428,15/12/2022
29/04/2020,2328,15/12/2022
29/04/2021,12453,15/12/2022
29/04/2022,54028,15/12/2022
29/05/2020,386,15/12/2022
29/05/2021,2702,15/12/2022
29/05/2022,7078,15/12/2022
29/06/2020,231,15/12/2022
29/06/2021,805,15/12/2022
29/06/2022,85084,15/12/2022
29/07/2020,473,15/12/2022
29/07/2021,5959,15/12/2022
29/07/2022,50540,15/12/2022
29/08/2020,1081,15/12/2022
29/08/2021,2910,15/12/2022
29/08/2022,32974,15/12/2022
29/09/2020,2330,15/12/2022
29/09/2021,3470,15/12/2022
29/09/2022,34876,15/12/2022
29/10/2020,33381,15/12/2022
29/10/2021,5098,15/12/2022
29/10/2022,19120,15/12/2022
29/11/2020,8258,15/12/2022
29/11/2021,16252,15/12/2022
29/11/2022,35273,15/12/2022
29/12/2020,24233,15/12/2022
29/12/2021,162531,15/12/2022
30/01/2021,10288,15/12/2022
30/01/2022,46897,15/12/2022
30/03/2020,5087,15/12/2022
30/03/2021,23477,15/12/2022
30/03/2022,77215,15/12/2022
30/04/2020,2268,15/12/2022
30/04/2021,12957,15/12/2022
30/04/2022,41020,15/12/2022
30/05/2020,286,15/12/2022
30/05/2021,1192,15/12/2022
30/05/2022,26125,15/12/2022
30/06/2020,203,15/12/2022
30/06/2021,883,15/12/2022
30/06/2022,87425,15/12/2022
30/07/2020,409,15/12/2022
30/07/2021,6219,15/12/2022
30/07/2022,38731,15/12/2022
30/08/2020,576,15/12/2022
30/08/2021,6878,15/12/2022
30/08/2022,21237,15/12/2022
30/09/2020,2626,15/12/2022
30/09/2021,3319,15/12/2022
30/09/2022,34614,15/12/2022
30/10/2020,35616,15/12/2022
30/10/2021,4590,15/12/2022
30/10/2022,7481,15/12/2022
30/11/2020,22593,15/12/2022
30/11/2021,16420,15/12/2022
30/11/2022,34719,15/12/2022
30/12/2020,23978,15/12/2022
30/12/2021,170689,15/12/2022
31/01/2021,4823,15/12/2022
31/01/2022,153269,15/12/2022
31/03/2020,5361,15/12/2022
31/03/2021,22298,15/12/2022
31/03/2022,74156,15/12/2022
31/05/2020,89,15/12/2022
31/05/2021,2976,15/12/2022
31/05/2022,18663,15/12/2022
31/07/2020,324,15/12/2022
31/07/2021,4972,15/12/2022
31/07/2022,16137,15/12/2022
31/08/2020,1425,15/12/2022
31/08/2021,7095,15/12/2022
31/08/2022,20612,15/12/2022
31/10/2020,25833,15/12/2022
31/10/2021,2207,15/12/2022
31/10/2022,33882,15/12/2022
31/12/2020,19240,15/12/2022
31/12/2021,142913,15/12/2022
,<5,15/12/2022
