X,Y,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,ObjectId
13.39843823,42.35122196,"1583600400000",ITA,"13",Abruzzo,42.35122196,13.39843823,"11",,"11",,"11","2",,,"11","123","1"
15.80514834,40.63947052,"1583600400000",ITA,"17",Basilicata,40.63947052,15.80514834,"1",,"1","2","3","0",,,"3","75","2"
11.35662422,46.49933453,"1583600400000",ITA,"4",Bolzano,46.49933453,11.35662422,"8",,"8","1","9","5",,,"9","36","3"
15.6434527,38.10922769,"1583600400000",ITA,"18",Calabria,38.10922769,15.6434527,"2",,"2","2","4","0",,,"4","113","4"
14.25084984,40.83956555,"1583600400000",ITA,"15",Campania,40.83956555,14.25084984,"16",,"16","45","61","4",,,"61","612","5"
11.3417208,44.49436681,"1583600400000",ITA,"8",Emilia Romagna,44.49436681,11.3417208,"464","64","528","409","937","121","25","48","1010","3604","6"
13.76813649,45.6494354,"1583600400000",ITA,"6",Friuli V. G. ,45.6494354,13.76813649,"7","1","8","31","39","11","3",,"42","577","7"
12.48366722,41.89277044,"1583600400000",ITA,"12",Lazio,41.89277044,12.48366722,"43","8","51","21","72","22","3","1","76","1582","8"
8.9326992,44.41149315,"1583600400000",ITA,"7",Liguria,44.41149315,8.9326992,"26","6","32","10","42","18","5","4","51","331","9"
9.190347404,45.46679409,"1583600400000",ITA,"3",Lombardia,45.46679409,9.190347404,"1661","359","2020","722","2742","734","524","154","3420","15778","10"
13.5188753,43.61675973,"1583600400000",ITA,"11",Marche,43.61675973,13.5188753,"94","36","130","71","201","46",,"6","207","816","11"
14.65916051,41.55774754,"1583600400000",ITA,"14",Molise,41.55774754,14.65916051,"3","2","5","9","14","2",,,"14","112","12"
7.680687483,45.0732745,"1583600400000",ITA,"1",Piemonte,45.0732745,7.680687483,"110","38","148","54","202","63",,"5","207","1046","13"
16.86736689,41.12559576,"1583600400000",ITA,"16",Puglia,41.12559576,16.86736689,"9","2","11","12","23","8","1","2","26","395","14"
9.110616306,39.21531192,"1583600400000",ITA,"20",Sardegna,39.21531192,9.110616306,"2",,"2","3","5","0",,,"5","99","15"
13.3623567,38.11569725,"1583600400000",ITA,"19",Sicilia,38.11569725,13.3623567,"8",,"8","25","33","11","2",,"35","643","16"
11.25588885,43.76923077,"1583600400000",ITA,"9",Toscana,43.76923077,11.25588885,"54","7","61","51","112","34","1",,"113","1331","17"
11.12123097,46.06893511,"1583600400000",ITA,"4",Trento,46.06893511,11.12123097,"6","1","7","7","14","4",,,"14","194","18"
12.38824698,43.10675841,"1583600400000",ITA,"10",Umbria,43.10675841,12.38824698,"2","2","4","20","24","8",,,"24","134","19"
7.320149366,45.73750286,"1583600400000",ITA,"2",Valle d'Aosta,45.73750286,7.320149366,"1",,"1","7","8","1",,,"8","32","20"
12.33845213,45.43490485,"1583600400000",ITA,"5",Veneto,45.43490485,12.33845213,"123","41","164","341","505","51","25","13","543","14429","21"
