X,Y,data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,ObjectId
13.39843823,42.35122196,"1596466800000",ITA,"13",Abruzzo,42.35122196,13.39843823,"14",,"14","3","17","6",,,"17","163","1"
15.80514834,40.63947052,"1596466800000",ITA,"17",Basilicata,40.63947052,15.80514834,"2",,"2","2","4","1",,,"4","123","2"
11.35662422,46.49933453,"1596466800000",ITA,"21",Bolzano,46.49933453,11.35662422,"8",,"8","1","9","0",,,"9","36","3"
15.6434527,38.10922769,"1596466800000",ITA,"18",Calabria,38.10922769,15.6434527,"5",,"5","4","9","5",,,"9","113","4"
14.25084984,40.83956555,"1596466800000",ITA,"15",Campania,40.83956555,14.25084984,"30","7","37","63","100","39","1",,"101","980","5"
11.3417208,44.49436681,"1596466800000",ITA,"8",Emilia Romagna,44.49436681,11.3417208,"542","75","617","480","1097","160","27","56","1180","4344","6"
13.76813649,45.6494354,"1596466800000",ITA,"6",Friuli V. G. ,45.6494354,13.76813649,"7","1","8","45","53","14","3","1","57","997","7"
12.48366722,41.89277044,"1596466800000",ITA,"12",Lazio,41.89277044,12.48366722,"47","8","55","26","81","9","3","3","87","1929","8"
8.9326992,44.41149315,"1596466800000",ITA,"7",Liguria,44.41149315,8.9326992,"39","11","50","17","67","25","5","6","78","401","9"
9.190347404,45.46679409,"1596466800000",ITA,"3",Lombardia,45.46679409,9.190347404,"2217","399","2616","756","3372","630","550","267","4189","18534","10"
13.5188753,43.61675973,"1596466800000",ITA,"11",Marche,43.61675973,13.5188753,"110","41","151","114","265","64",,"7","272","1025","11"
14.65916051,41.55774754,"1596466800000",ITA,"14",Molise,41.55774754,14.65916051,"4","2","6","8","14","0",,,"14","116","12"
7.680687483,45.0732745,"1596466800000",ITA,"1",Piemonte,45.0732745,7.680687483,"245","45","290","65","355","153",,"5","360","1636","13"
16.86736689,41.12559576,"1596466800000",ITA,"16",Puglia,41.12559576,16.86736689,"17","3","20","16","36","13","1","3","40","627","14"
9.110616306,39.21531192,"1596466800000",ITA,"20",Sardegna,39.21531192,9.110616306,"5",,"5","6","11","6",,,"11","149","15"
13.3623567,38.11569725,"1596466800000",ITA,"19",Sicilia,38.11569725,13.3623567,"18",,"18","33","51","18","2",,"53","791","16"
11.25588885,43.76923077,"1596466800000",ITA,"9",Toscana,43.76923077,11.25588885,"91","7","98","67","165","53","1",,"166","1618","17"
11.12123097,46.06893511,"1596466800000",ITA,"22",Trento,46.06893511,11.12123097,"7","2","9","14","23","9",,,"23","228","18"
12.38824698,43.10675841,"1596466800000",ITA,"10",Umbria,43.10675841,12.38824698,"2","2","4","22","26","2",,,"26","168","19"
7.320149366,45.73750286,"1596466800000",ITA,"2",Valle d'Aosta,45.73750286,7.320149366,"1",,"1","8","9","1",,,"9","41","20"
12.33845213,45.43490485,"1596466800000",ITA,"5",Veneto,45.43490485,12.33845213,"146","47","193","430","623","118","29","18","670","15918","21"
