OBJECTID,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
1,20200220,3,3,LOMBARDIA,1
2,20200221,30,33,LOMBARDIA,2
3,20200222,32,65,LOMBARDIA,3
4,20200223,47,112,LOMBARDIA,4
5,20200224,60,172,LOMBARDIA,5
6,20200225,96,268,LOMBARDIA,6
7,20200226,116,384,LOMBARDIA,7
8,20200227,147,531,LOMBARDIA,8
9,20200228,204,735,LOMBARDIA,9
10,20200229,250,985,LOMBARDIA,10
11,20200301,283,1268,LOMBARDIA,11
12,20200302,396,1664,LOMBARDIA,12
13,20200303,477,2141,LOMBARDIA,13
14,20200304,629,2770,LOMBARDIA,14
15,20200305,790,3560,LOMBARDIA,15
16,20200306,904,4464,LOMBARDIA,16
17,20200307,701,5165,LOMBARDIA,17
18,20200308,770,5935,LOMBARDIA,18
19,20200309,1215,7150,LOMBARDIA,19
20,20200310,1353,8503,LOMBARDIA,20
21,20200311,1335,9838,LOMBARDIA,21
22,20200312,1361,11199,LOMBARDIA,22
23,20200313,1721,12920,LOMBARDIA,23
24,20200314,1374,14294,LOMBARDIA,24
25,20200315,1194,15488,LOMBARDIA,25
26,20200316,2133,17621,LOMBARDIA,26
27,20200317,2086,19707,LOMBARDIA,27
28,20200318,2161,21868,LOMBARDIA,28
29,20200319,2231,24099,LOMBARDIA,29
30,20200320,2225,26324,LOMBARDIA,30
31,20200321,1409,27733,LOMBARDIA,31
32,20200322,1163,28896,LOMBARDIA,32
33,20200323,2191,31087,LOMBARDIA,33
34,20200324,2157,33244,LOMBARDIA,34
35,20200325,2051,35295,LOMBARDIA,35
36,20200326,2052,37347,LOMBARDIA,36
37,20200327,1991,39338,LOMBARDIA,37
38,20200328,1362,40700,LOMBARDIA,38
39,20200329,756,41456,LOMBARDIA,39
40,20200330,1759,43215,LOMBARDIA,40
41,20200331,1540,44755,LOMBARDIA,41
42,20200401,1812,46567,LOMBARDIA,42
43,20200402,1625,48192,LOMBARDIA,43
44,20200403,1617,49809,LOMBARDIA,44
45,20200404,1081,50890,LOMBARDIA,45
46,20200405,639,51529,LOMBARDIA,46
47,20200406,1568,53097,LOMBARDIA,47
48,20200407,1488,54585,LOMBARDIA,48
49,20200408,1500,56085,LOMBARDIA,49
50,20200409,1928,58013,LOMBARDIA,50
51,20200410,2051,60064,LOMBARDIA,51
52,20200411,1136,61200,LOMBARDIA,52
53,20200412,553,61753,LOMBARDIA,53
54,20200413,566,62319,LOMBARDIA,54
55,20200414,1150,63469,LOMBARDIA,55
56,20200415,1382,64851,LOMBARDIA,56
57,20200416,1252,66103,LOMBARDIA,57
58,20200417,1308,67411,LOMBARDIA,58
117,20200615,195,92159,LOMBARDIA,59
118,20200616,169,92328,LOMBARDIA,60
119,20200617,204,92532,LOMBARDIA,61
120,20200618,137,92669,LOMBARDIA,62
121,20200619,188,92857,LOMBARDIA,63
122,20200620,60,92917,LOMBARDIA,64
123,20200621,12,92929,LOMBARDIA,65
124,20200622,169,93098,LOMBARDIA,66
125,20200623,149,93247,LOMBARDIA,67
126,20200624,117,93364,LOMBARDIA,68
127,20200625,101,93465,LOMBARDIA,69
128,20200626,107,93572,LOMBARDIA,70
129,20200627,45,93617,LOMBARDIA,71
130,20200628,28,93645,LOMBARDIA,72
131,20200629,136,93781,LOMBARDIA,73
132,20200630,98,93879,LOMBARDIA,74
133,20200701,124,94003,LOMBARDIA,75
134,20200702,130,94133,LOMBARDIA,76
135,20200703,108,94241,LOMBARDIA,77
136,20200704,102,94343,LOMBARDIA,78
137,20200705,22,94365,LOMBARDIA,79
138,20200706,129,94494,LOMBARDIA,80
139,20200707,94,94588,LOMBARDIA,81
140,20200708,118,94706,LOMBARDIA,82
141,20200709,99,94805,LOMBARDIA,83
142,20200710,106,94911,LOMBARDIA,84
143,20200711,59,94970,LOMBARDIA,85
144,20200712,11,94981,LOMBARDIA,86
145,20200713,62,95043,LOMBARDIA,87
146,20200714,78,95121,LOMBARDIA,88
147,20200715,75,95196,LOMBARDIA,89
148,20200716,66,95262,LOMBARDIA,90
149,20200717,85,95347,LOMBARDIA,91
150,20200718,49,95396,LOMBARDIA,92
151,20200719,15,95411,LOMBARDIA,93
152,20200720,71,95482,LOMBARDIA,94
153,20200721,69,95551,LOMBARDIA,95
154,20200722,61,95612,LOMBARDIA,96
155,20200723,90,95702,LOMBARDIA,97
156,20200724,84,95786,LOMBARDIA,98
157,20200725,38,95824,LOMBARDIA,99
158,20200726,15,95839,LOMBARDIA,100
159,20200727,80,95919,LOMBARDIA,101
160,20200728,69,95988,LOMBARDIA,102
161,20200729,84,96072,LOMBARDIA,103
162,20200730,49,96121,LOMBARDIA,104
