OBJECTID,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
52,20200411,1136,61307,LOMBARDIA,1
53,20200412,553,61860,LOMBARDIA,2
54,20200413,568,62428,LOMBARDIA,3
55,20200414,1152,63580,LOMBARDIA,4
56,20200415,1383,64963,LOMBARDIA,5
57,20200416,1255,66218,LOMBARDIA,6
58,20200417,1308,67526,LOMBARDIA,7
59,20200418,758,68284,LOMBARDIA,8
60,20200419,392,68676,LOMBARDIA,9
61,20200420,1162,69838,LOMBARDIA,10
62,20200421,1074,70912,LOMBARDIA,11
63,20200422,970,71882,LOMBARDIA,12
64,20200423,1212,73094,LOMBARDIA,13
65,20200424,1028,74122,LOMBARDIA,14
66,20200425,496,74618,LOMBARDIA,15
67,20200426,229,74847,LOMBARDIA,16
68,20200427,929,75776,LOMBARDIA,17
69,20200428,872,76648,LOMBARDIA,18
70,20200429,1050,77698,LOMBARDIA,19
71,20200430,1036,78734,LOMBARDIA,20
72,20200501,260,78994,LOMBARDIA,21
73,20200502,287,79281,LOMBARDIA,22
74,20200503,116,79397,LOMBARDIA,23
75,20200504,713,80110,LOMBARDIA,24
76,20200505,765,80875,LOMBARDIA,25
77,20200506,718,81593,LOMBARDIA,26
78,20200507,700,82293,LOMBARDIA,27
79,20200508,665,82958,LOMBARDIA,28
80,20200509,250,83208,LOMBARDIA,29
81,20200510,89,83297,LOMBARDIA,30
82,20200511,475,83772,LOMBARDIA,31
83,20200512,431,84203,LOMBARDIA,32
84,20200513,418,84621,LOMBARDIA,33
85,20200514,397,85018,LOMBARDIA,34
86,20200515,362,85380,LOMBARDIA,35
87,20200516,300,85680,LOMBARDIA,36
88,20200517,86,85766,LOMBARDIA,37
89,20200518,321,86087,LOMBARDIA,38
90,20200519,364,86451,LOMBARDIA,39
91,20200520,373,86824,LOMBARDIA,40
92,20200521,349,87173,LOMBARDIA,41
93,20200522,437,87610,LOMBARDIA,42
94,20200523,167,87777,LOMBARDIA,43
95,20200524,65,87842,LOMBARDIA,44
96,20200525,289,88131,LOMBARDIA,45
97,20200526,323,88454,LOMBARDIA,46
98,20200527,352,88806,LOMBARDIA,47
99,20200528,318,89124,LOMBARDIA,48
100,20200529,223,89347,LOMBARDIA,49
101,20200530,173,89520,LOMBARDIA,50
102,20200531,26,89546,LOMBARDIA,51
103,20200601,246,89792,LOMBARDIA,52
104,20200602,31,89823,LOMBARDIA,53
105,20200603,253,90076,LOMBARDIA,54
106,20200604,249,90325,LOMBARDIA,55
107,20200605,255,90580,LOMBARDIA,56
108,20200606,117,90697,LOMBARDIA,57
109,20200607,35,90732,LOMBARDIA,58
110,20200608,173,90905,LOMBARDIA,59
111,20200609,250,91155,LOMBARDIA,60
112,20200610,241,91396,LOMBARDIA,61
113,20200611,323,91719,LOMBARDIA,62
114,20200612,281,92000,LOMBARDIA,63
115,20200613,122,92122,LOMBARDIA,64
116,20200614,40,92162,LOMBARDIA,65
117,20200615,195,92357,LOMBARDIA,66
118,20200616,170,92527,LOMBARDIA,67
119,20200617,204,92731,LOMBARDIA,68
120,20200618,138,92869,LOMBARDIA,69
121,20200619,187,93056,LOMBARDIA,70
122,20200620,60,93116,LOMBARDIA,71
123,20200621,12,93128,LOMBARDIA,72
124,20200622,171,93299,LOMBARDIA,73
125,20200623,149,93448,LOMBARDIA,74
126,20200624,116,93564,LOMBARDIA,75
127,20200625,100,93664,LOMBARDIA,76
128,20200626,105,93769,LOMBARDIA,77
129,20200627,45,93814,LOMBARDIA,78
130,20200628,29,93843,LOMBARDIA,79
131,20200629,137,93980,LOMBARDIA,80
132,20200630,99,94079,LOMBARDIA,81
133,20200701,125,94204,LOMBARDIA,82
134,20200702,129,94333,LOMBARDIA,83
135,20200703,109,94442,LOMBARDIA,84
136,20200704,102,94544,LOMBARDIA,85
137,20200705,22,94566,LOMBARDIA,86
138,20200706,131,94697,LOMBARDIA,87
139,20200707,94,94791,LOMBARDIA,88
140,20200708,118,94909,LOMBARDIA,89
141,20200709,99,95008,LOMBARDIA,90
142,20200710,106,95114,LOMBARDIA,91
143,20200711,59,95173,LOMBARDIA,92
144,20200712,11,95184,LOMBARDIA,93
145,20200713,59,95243,LOMBARDIA,94
146,20200714,78,95321,LOMBARDIA,95
147,20200715,78,95399,LOMBARDIA,96
148,20200716,63,95462,LOMBARDIA,97
149,20200717,71,95533,LOMBARDIA,98
150,20200718,35,95568,LOMBARDIA,99
151,20200719,11,95579,LOMBARDIA,100
152,20200720,3,95582,LOMBARDIA,101
1,20200220,3,3,LOMBARDIA,102
2,20200221,31,34,LOMBARDIA,103
3,20200222,32,66,LOMBARDIA,104
4,20200223,47,113,LOMBARDIA,105
5,20200224,60,173,LOMBARDIA,106
6,20200225,97,270,LOMBARDIA,107
7,20200226,118,388,LOMBARDIA,108
8,20200227,147,535,LOMBARDIA,109
9,20200228,206,741,LOMBARDIA,110
10,20200229,250,991,LOMBARDIA,111
11,20200301,284,1275,LOMBARDIA,112
12,20200302,399,1674,LOMBARDIA,113
13,20200303,478,2152,LOMBARDIA,114
14,20200304,630,2782,LOMBARDIA,115
15,20200305,794,3576,LOMBARDIA,116
16,20200306,907,4483,LOMBARDIA,117
17,20200307,703,5186,LOMBARDIA,118
18,20200308,775,5961,LOMBARDIA,119
19,20200309,1220,7181,LOMBARDIA,120
20,20200310,1357,8538,LOMBARDIA,121
21,20200311,1336,9874,LOMBARDIA,122
22,20200312,1364,11238,LOMBARDIA,123
23,20200313,1724,12962,LOMBARDIA,124
24,20200314,1376,14338,LOMBARDIA,125
25,20200315,1195,15533,LOMBARDIA,126
26,20200316,2135,17668,LOMBARDIA,127
27,20200317,2089,19757,LOMBARDIA,128
28,20200318,2162,21919,LOMBARDIA,129
29,20200319,2232,24151,LOMBARDIA,130
30,20200320,2227,26378,LOMBARDIA,131
31,20200321,1411,27789,LOMBARDIA,132
32,20200322,1163,28952,LOMBARDIA,133
33,20200323,2193,31145,LOMBARDIA,134
34,20200324,2162,33307,LOMBARDIA,135
35,20200325,2053,35360,LOMBARDIA,136
36,20200326,2057,37417,LOMBARDIA,137
37,20200327,1996,39413,LOMBARDIA,138
38,20200328,1364,40777,LOMBARDIA,139
39,20200329,758,41535,LOMBARDIA,140
40,20200330,1762,43297,LOMBARDIA,141
41,20200331,1544,44841,LOMBARDIA,142
42,20200401,1814,46655,LOMBARDIA,143
43,20200402,1626,48281,LOMBARDIA,144
44,20200403,1619,49900,LOMBARDIA,145
45,20200404,1081,50981,LOMBARDIA,146
46,20200405,641,51622,LOMBARDIA,147
47,20200406,1573,53195,LOMBARDIA,148
48,20200407,1492,54687,LOMBARDIA,149
49,20200408,1502,56189,LOMBARDIA,150
50,20200409,1930,58119,LOMBARDIA,151
51,20200410,2052,60171,LOMBARDIA,152
