Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,700,1496,73,189,0,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Basilicata,165,429,20,88,13,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Calabria,390,886,34,152,25,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Campania,1999,5226,166,620,36,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Emilia-Romagna,2717,5554,248,747,10,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Friuli Venezia Giulia,632,1277,59,175,0,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Lazio,3178,6421,360,943,194,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Liguria,912,1827,99,222,12,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Lombardia,6792,14453,822,1394,136,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Marche,518,1185,87,193,65,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Molise,64,239,10,34,12,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
P.A. Bolzano,418,557,32,77,2,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
P.A. Trento,415,604,47,90,15,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Piemonte,4351,5824,357,628,99,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Puglia,1596,3431,227,456,70,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Sardegna,591,1653,70,181,27,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Sicilia,1431,4241,216,810,196,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Toscana,1418,5033,263,603,3,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Umbria,327,758,57,130,2,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Valle d'Aosta,109,204,11,33,4,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Veneto,2477,6000,309,1000,0,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
Italia,31200,67298,3567,8765,921,Dati della Protezione Civile del 04 Dicembre 2020 ore 19:53
