codice_regione,regione
13,Abruzzo
17,Basilicata
18,Calabria
15,Campania
08,Emilia-Romagna
06,Friuli-Venezia Giulia
12,Lazio
07,Liguria
03,Lombardia
11,Marche
14,Molise
21,P.A. Bolzano
22,P.A. Trento
01,Piemonte
16,Puglia
20,Sardegna
19,Sicilia
09,Toscana
10,Umbria
02,Valle d'Aosta
05,Veneto
