ITTER107,TIME_PERIOD,OBS_VALUE,Name
ITF2,2020,300516,Molise
ITF4,2020,3953305,Puglia
ITF5,2020,553254,Basilicata
ITF1,2020,1293941,Abruzzo
ITE2,2020,870165,Umbria
ITE3,2020,1512672,Marche
ITC4,2020,10027602,Lombardia
ITC1,2020,4311217,Piemonte
ITC3,2020,1524826,Liguria
ITD5,2020,4464119,Emilia-Romagna
ITD1,2020,532644,Provincia Autonoma Bolzano / Bozen
ITD3,2020,4879133,Veneto
ITD4,2020,1206216,Friuli-Venezia Giulia
ITE1,2020,3692555,Toscana
ITD2,2020,545425,Provincia Autonoma Trento
ITG2,2020,1611621,Sardegna
ITE4,2020,5755700,Lazio
ITC2,2020,125034,Valle d'Aosta / Vallée d'Aoste
ITF6,2020,1894110,Calabria
ITG1,2020,4875290,Sicilia
ITF3,2020,5712143,Campania
