DATAFLOW,FREQ,ETA,ITTER107,SESSO,STATO_CIV,TIPO_INDDEM,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:22_289(1.4),A,TOTAL,001001,9,99,JAN,2020,2621,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001002,9,99,JAN,2020,3598,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001003,9,99,JAN,2020,441,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001004,9,99,JAN,2020,1644,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001006,9,99,JAN,2020,6426,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001007,9,99,JAN,2020,248,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001008,9,99,JAN,2020,16945,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001009,9,99,JAN,2020,2041,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001010,9,99,JAN,2020,492,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001011,9,99,JAN,2020,846,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001012,9,99,JAN,2020,1081,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001013,9,99,JAN,2020,12611,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001014,9,99,JAN,2020,1244,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001015,9,99,JAN,2020,797,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001016,9,99,JAN,2020,3153,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001017,9,99,JAN,2020,531,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001018,9,99,JAN,2020,3601,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001019,9,99,JAN,2020,114,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001020,9,99,JAN,2020,3191,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001021,9,99,JAN,2020,1567,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001022,9,99,JAN,2020,3148,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001023,9,99,JAN,2020,578,,,,,,,,,
IT1:22_289(1.4),A,TOTAL,001024,9,99,JAN,2020,17785,,,,,,,,,
