X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1583712000000","2","0","1778"
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1583798400000","1","0","1779"
9.79704601,45.65497454,"66","3016084",COSTA DI MEZZATE,BERGAMO,BG,LOMBARDIA,9.79704601,45.65497454,"66","1583884800000","1","0","1780"
10.08937782,45.83916914,"1408","3016086",COSTA VOLPINO,BERGAMO,BG,LOMBARDIA,10.08937782,45.83916914,"1408","1583020800000","1","0","1781"
10.08937782,45.83916914,"1408","3016086",COSTA VOLPINO,BERGAMO,BG,LOMBARDIA,10.08937782,45.83916914,"1408","1583452800000","2","0","1782"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1582934400000","0","1","1783"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1583020800000","0","1","1784"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1583107200000","1","0","1785"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1583193600000","2","2","1786"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1583280000000","1","0","1787"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1583366400000","1","0","1788"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1583452800000","1","0","1789"
9.78864412,45.50569962,"1424","3016087",COVO,BERGAMO,BG,LOMBARDIA,9.78864412,45.50569962,"1424","1583798400000","1","0","1790"
9.91909477,45.6617308,"1493","3016088",CREDARO,BERGAMO,BG,LOMBARDIA,9.91909477,45.6617308,"1493","1582848000000","1","0","1791"
9.91909477,45.6617308,"1493","3016088",CREDARO,BERGAMO,BG,LOMBARDIA,9.91909477,45.6617308,"1493","1582934400000","1","0","1792"
9.91909477,45.6617308,"1493","3016088",CREDARO,BERGAMO,BG,LOMBARDIA,9.91909477,45.6617308,"1493","1583280000000","1","0","1793"
9.91909477,45.6617308,"1493","3016088",CREDARO,BERGAMO,BG,LOMBARDIA,9.91909477,45.6617308,"1493","1583798400000","1","0","1794"
9.60658484,45.68639058,"1499","3016089",CURNO,BERGAMO,BG,LOMBARDIA,9.60658484,45.68639058,"1499","1582588800000","1","0","1795"
9.60658484,45.68639058,"1499","3016089",CURNO,BERGAMO,BG,LOMBARDIA,9.60658484,45.68639058,"1499","1583020800000","2","0","1796"
9.60658484,45.68639058,"1499","3016089",CURNO,BERGAMO,BG,LOMBARDIA,9.60658484,45.68639058,"1499","1583107200000","2","0","1797"
