X,Y,OBJECTID,COD_ISTATN,NOME_COM,NOME_PRO,SIG_PRO,NOME_REG,COORDX,COORDY,OBJECTID_1,DATA_RICEVIMENTO_TAMPONE,POSITIVI,DECEDUTI,FID
10.17297313,46.02441398,"1202","3016195",SCHILPARIO,BERGAMO,BG,LOMBARDIA,10.17297313,46.02441398,"1202","1583798400000","1","0","1653"
9.62972609,45.77514014,"134","3016196",SEDRINA,BERGAMO,BG,LOMBARDIA,9.62972609,45.77514014,"134","1582588800000","1","0","1654"
9.62972609,45.77514014,"134","3016196",SEDRINA,BERGAMO,BG,LOMBARDIA,9.62972609,45.77514014,"134","1582761600000","0","1","1655"
9.62972609,45.77514014,"134","3016196",SEDRINA,BERGAMO,BG,LOMBARDIA,9.62972609,45.77514014,"134","1583366400000","0","1","1656"
9.62972609,45.77514014,"134","3016196",SEDRINA,BERGAMO,BG,LOMBARDIA,9.62972609,45.77514014,"134","1583452800000","3","0","1657"
9.93185469,45.63547484,"534","3017038",CAPRIOLO,BRESCIA,BS,LOMBARDIA,9.93185469,45.63547484,"534","1583625600000","5","0","1658"
9.74006103,45.69546517,"1332","3016160",PEDRENGO,BERGAMO,BG,LOMBARDIA,9.74006103,45.69546517,"1332","1582761600000","1","0","1659"
9.71465447,45.57285937,"1019","3016079",COLOGNO AL SERIO,BERGAMO,BG,LOMBARDIA,9.71465447,45.57285937,"1019","1583539200000","1","0","1660"
9.9421239,45.75834744,"456","3016137",MONASTEROLO DEL CASTELLO,BERGAMO,BG,LOMBARDIA,9.9421239,45.75834744,"456","1583452800000","1","0","1661"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1582848000000","3","0","1662"
9.93185469,45.63547484,"534","3017038",CAPRIOLO,BRESCIA,BS,LOMBARDIA,9.93185469,45.63547484,"534","1583712000000","1","0","1663"
9.9421239,45.75834744,"456","3016137",MONASTEROLO DEL CASTELLO,BERGAMO,BG,LOMBARDIA,9.9421239,45.75834744,"456","1583798400000","1","0","1664"
9.74006103,45.69546517,"1332","3016160",PEDRENGO,BERGAMO,BG,LOMBARDIA,9.74006103,45.69546517,"1332","1583280000000","3","0","1665"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1582934400000","2","1","1666"
9.71465447,45.57285937,"1019","3016079",COLOGNO AL SERIO,BERGAMO,BG,LOMBARDIA,9.71465447,45.57285937,"1019","1583625600000","3","0","1667"
9.93185469,45.63547484,"534","3017038",CAPRIOLO,BRESCIA,BS,LOMBARDIA,9.93185469,45.63547484,"534","1583798400000","4","0","1668"
9.7995435,45.67216233,"93","3016139",MONTELLO,BERGAMO,BG,LOMBARDIA,9.7995435,45.67216233,"93","1582502400000","1","0","1669"
9.74006103,45.69546517,"1332","3016160",PEDRENGO,BERGAMO,BG,LOMBARDIA,9.74006103,45.69546517,"1332","1583366400000","1","0","1670"
9.74453215,45.72409902,"697","3016240",VILLA DI SERIO,BERGAMO,BG,LOMBARDIA,9.74453215,45.72409902,"697","1583020800000","4","0","1671"
