gps:lat,gps:lng,nome,sigla_provincia,totale_casi,data_caricamento
42.8766675,11.6726755,Abbadia San Salvatore,52001,2,1623184203
43.892127,10.997658,Agliana,47002,3,1623184203
42.8711099,11.5401091,Arcidosso,53001,1,1623184203
43.4632839,11.8796336,Arezzo,51002,1,1623184203
44.2166706,9.9674972,Aulla,45001,5,1623184203
43.7070297,12.1845078,Badia Tedalda,51003,2,1623184203
44.0109245,10.5916505,Bagni di Lucca,46002,1,1623184203
43.7316252,11.3317605,Bagno a Ripoli,48001,11,1623184203
44.3146799,9.9945108,Bagnone,45002,8,1623184203
43.548029,11.196283,Barberino Tavarnelle,48054,4,1623184203
44.0756341,10.4822833,Barga,46003,2,1623184203
43.694125,11.8158559,Bibbiena,51004,1,1623184203
43.9543788,11.3847483,Borgo San Lorenzo,48004,3,1623184203
43.9784081,10.5430409,Borgo a Mozzano,46004,2,1623184203
43.4780645,11.6148932,Bucine,51005,8,1623184203
43.8897853,10.726696,Buggiano,47003,3,1623184203
43.7343014,10.5183622,Calci,50003,1,1623184203
43.683762,10.6142337,Calcinaia,50004,1,1623184203
43.8963044,11.1957172,Calenzano,48005,4,1623184203
43.9421402,10.2969083,Camaiore,46005,10,1623184203
43.8274885,11.1277659,Campi Bisenzio,48006,11,1623184203
44.0217426,11.0797475,Cantagallo,100001,1,1623184203
43.8418933,10.5733254,Capannori,46007,19,1623184203
43.8007472,11.0146187,Carmignano,100002,4,1623184203
44.0793245,10.097677,Carrara,45003,23,1623184203
43.5169868,10.608395,Casciana Terme Lari,50040,2,1623184203
43.6759139,10.5558967,Cascina,50008,4,1623184203
43.6041852,10.9697129,Castelfiorentino,48010,1,1623184203
43.6212129,11.556909,Castelfranco Piandiscò,51040,3,1623184203
43.7763978,10.6759772,Castelfranco di Sotto,50009,1,1623184203
44.1094753,10.4135465,Castelnuovo di Garfagnana,46009,3,1623184203
43.344702,11.9187902,Castiglion Fiorentino,51012,1,1623184203
42.7638947,10.8750204,Castiglione della Pescaia,53006,1,1623184203
43.3176381,10.4958678,Cecina,49007,2,1623184203
43.5476586,11.0415461,Certaldo,48012,2,1623184203
43.0155186,11.9447749,Chiusi,52011,2,1623184203
43.5915707,10.4756991,Collesalvetti,49008,2,1623184203
43.2750634,11.98512,Cortona,51017,1,1623184203
43.8909894,11.523296,Dicomano,48013,9,1623184203
43.7178919,10.9477782,Empoli,48014,12,1623184203
43.9974511,10.428412,Fabbriche di Vergemoli,46036,2,1623184203
43.8064785,11.2931525,Fiesole,48015,5,1623184203
43.6617059,11.4488661,Figline e Incisa Valdarno,48052,7,1623184203
44.368953,9.9576849,Filattiera,45006,3,1623184203
43.7695604,11.2558136,Firenze,48017,150,1623184203
44.1966541,10.1031202,Fivizzano,45007,17,1623184203
43.2647764,11.8093583,Foiano della Chiana,51018,2,1623184203
42.9226887,10.7593003,Follonica,53009,1,1623184203
43.9579617,10.1672792,Forte dei Marmi,46013,4,1623184203
44.1324547,10.0172472,Fosdinovo,45008,2,1623184203
43.727867,10.806722,Fucecchio,48019,3,1623184203
44.0449275,10.4284178,Gallicano,46015,1,1623184203
43.5228733,10.9467939,Gambassi Terme,48020,4,1623184203
43.5830644,11.3186815,Greve in Chianti,48021,3,1623184203
42.7635254,11.1123634,Grosseto,53011,9,1623184203
43.6845156,11.2581395,Impruneta,48022,9,1623184203
43.8326609,10.8893993,Larciano,47006,1,1623184203
43.7701635,11.1128957,Lastra a Signa,48024,2,1623184203
43.4693957,11.6852782,Laterina Pergine Valdarno,51042,1,1623184203
44.2653695,10.0391107,Licciana Nardi,45009,5,1623184203
43.548473,10.3105674,Livorno,49009,35,1623184203
43.8551331,11.6044014,Londa,48025,1,1623184203
43.8376211,10.4950609,Lucca,46017,17,1623184203
44.0354437,10.1393221,Massa,45010,34,1623184203
43.8720628,10.3373655,Massarosa,46018,6,1623184203
44.1713076,10.2081593,Minucciano,46019,1,1623184203
44.0714428,10.4177592,Molazzana,46020,1,1623184203
43.86922,10.8146443,Monsummano Terme,47009,3,1623184203
